Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
A431 Unclassified Unclassified 30609389	3/795	0.0030158138726409877	0.032862233655208635	0	0	14.545454545454545	84.42015336808865	TGFB2;COL5A1;AGR2
MCF7 Secretory Unclassified 30609389	4/1808	0.0034591824900219613	0.032862233655208635	0	0	10.082039911308204	57.13212737560245	TGFB2;COL5A1;IGFBP3;AGR2
HCC827 Unclassified Unclassified 30609389	2/586	0.02134305572754321	0.13517268627444032	0	0	11.077625570776256	42.61594517000741	COL5A1;AGR2
MCF7 Cytosol C4 30609389	1/120	0.04701183027422738	0.165383599210981	0	0	23.857142857142858	72.93977888059271	ALDH1A3
U251 Unclassified Unclassified 30609389	2/942	0.05136260024393388	0.165383599210981	0	0	6.756028368794326	20.05760099579826	TGFB2;IGFBP3
A431 Cytosol C4 30609389	1/161	0.06262484148102337	0.165383599210981	0	0	17.707142857142856	49.05929049133134	ALDH1A3
MCF7 Cytosol C5 30609389	1/172	0.0667754258809193	0.165383599210981	0	0	16.55889724310777	44.81533303064938	UGDH
U251 Cytosol Unclassified 30609389	3/2632	0.07649389734898937	0.165383599210981	0	0	3.9626473944465577	10.18616073035116	ALDH1A3;UGDH;NNMT
H322 Cytosol C5 30609389	1/219	0.08432915615708339	0.165383599210981	0	0	12.958060288335517	32.04564088950677	UGDH
HCC827 Secretory Unclassified 30609389	2/1326	0.09418763654221715	0.165383599210981	0	0	4.699899295065459	11.10335394666394	TGFB2;IGFBP3
HCC827 Cytosol C5 30609389	1/250	0.09574839954319952	0.165383599210981	0	0	11.327022375215146	26.57354977580402	UGDH
U251 Secretory S3 30609389	1/280	0.10668044112882412	0.16891069845397153	0	0	10.093701996927804	22.588871779629923	COL5A1
A431 Secretory S1 30609389	1/509	0.18638800986389908	0.27241324518569865	0	0	5.479190101237346	9.204626806592294	IGFBP3
H322 Unclassified Unclassified 30609389	1/635	0.2275322656813275	0.2954611231466887	0	0	4.361874718341595	6.4575951059187595	NNMT
H322 Secretory Unclassified 30609389	1/653	0.23325878143159637	0.2954611231466887	0	0	4.237510955302366	6.168149726910573	IGFBP3
HCC827 Cytosol Unclassified 30609389	2/2501	0.26384186606607224	0.29611151586960993	0	0	2.3333333333333335	3.1089458107803014	ALDH1A3;NNMT
H322 Cytosol Unclassified 30609389	2/2508	0.2649418826201773	0.29611151586960993	0	0	2.3258845437616387	3.0893440225441875	ALDH1A3;COL5A1
H322 Nuclear N4 30609389	1/893	0.3061398456412703	0.3231476148435631	0	0	3.0589365791159513	3.6209038193450933	AGR2
A431 Cytosol Unclassified 30609389	1/2549	0.6640808631031682	0.6640808631031682	0	0	0.978021978021978	0.4003546220586529	UGDH
