Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vitamin D Receptor Pathway WP2877	2/182	0.0022243682619392407	0.03349917018114993	0	0	36.68888888888889	224.1060917402512	TGFB2;IGFBP3
Methylation Pathways WP704	1/9	0.003594908666217628	0.03349917018114993	0	0	356.85714285714283	2008.4764659134423	NNMT
Platelet-mediated interactions with vascular and circulating cells WP4462	1/17	0.00678090602009761	0.03349917018114993	0	0	178.35714285714286	890.6521752159383	TGFB2
miR-509-3p alteration of YAP1/ECM axis WP3967	1/17	0.00678090602009761	0.03349917018114993	0	0	178.35714285714286	890.6521752159383	COL5A1
miRNA targets in ECM and membrane receptors WP2911	1/22	0.008767627745742801	0.03349917018114993	0	0	135.85714285714286	643.5130349149837	COL5A1
Immune response to tuberculosis WP4197	1/23	0.009164554745730224	0.03349917018114993	0	0	129.67532467532467	608.4900471331728	IFITM1
Glucuronidation WP698	1/26	0.010354501736256563	0.03349917018114993	0	0	114.09714285714286	521.4620402892078	UGDH
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	1/28	0.011147105113416074	0.03349917018114993	0	0	105.63492063492063	474.9953903533844	TGFB2
Selective expression of chemokine receptors during T-cell polarization WP4494	1/29	0.011543198536568492	0.03349917018114993	0	0	101.85714285714286	454.4518266085444	TGFB2
Extracellular vesicle-mediated signaling in recipient cells WP2870	1/30	0.01193915316674268	0.03349917018114993	0	0	98.33990147783251	435.442406227662	TGFB2
16p11.2 distal deletion syndrome WP4950	1/31	0.012334969042911155	0.03349917018114993	0	0	95.05714285714286	417.8062796500496	IFITM1
Ethanol effects on histone modifications WP3996	1/31	0.012334969042911155	0.03349917018114993	0	0	95.05714285714286	417.8062796500496	ALDH1A3
Signal transduction through IL1R WP4496	1/33	0.013126184702817524	0.03349917018114993	0	0	89.10714285714286	386.1142784895618	TGFB2
Type 2 papillary renal cell carcinoma WP4241	1/34	0.013521584565055974	0.03349917018114993	0	0	86.40259740259741	371.8308142207318	TGFB2
p38 MAPK Signaling Pathway WP400	1/34	0.013521584565055974	0.03349917018114993	0	0	86.40259740259741	371.8308142207318	TGFB2
Host-pathogen interaction of human coronaviruses - MAPK signaling WP4877	1/36	0.014311968554805366	0.03349917018114993	0	0	81.45714285714286	345.92071940977723	IFITM1
Photodynamic therapy-induced HIF-1 survival signaling WP3614	1/37	0.014706952762456068	0.03349917018114993	0	0	79.19047619047619	334.1390605677817	IGFBP3
Neovascularisation processes WP4331	1/37	0.014706952762456068	0.03349917018114993	0	0	79.19047619047619	334.1390605677817	TGFB2
Vitamin A and carotenoid metabolism WP716	1/43	0.017073951550447674	0.03641031487741524	0	0	67.85714285714286	276.1922295799092	ALDH1A3
Envelope proteins and their potential roles in EDMD physiopathology WP4535	1/46	0.018255584335152574	0.03641031487741524	0	0	63.32380952380952	253.50320962011816	TGFB2
Development of ureteric collection system WP5053	1/47	0.01864918566892	0.03641031487741524	0	0	61.94409937888199	246.6584798233955	TGFB2
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	1/55	0.02179302948367254	0.04061428221957155	0	0	52.74603174603175	201.8150262928954	TGFB2
Endochondral Ossification with Skeletal Dysplasias WP4808	1/64	0.025319318033677134	0.04280633802218218	0	0	45.19047619047619	166.12866893112047	TGFB2
Endochondral Ossification WP474	1/64	0.025319318033677134	0.04280633802218218	0	0	45.19047619047619	166.12866893112047	TGFB2
SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039	1/66	0.026101425623281816	0.04280633802218218	0	0	43.79560439560439	159.66849674970803	IFITM1
Chromosomal and microsatellite instability in colorectal cancer  WP4216	1/73	0.028834479875414456	0.044377743816096216	0	0	39.523809523809526	140.15867684434946	TGFB2
16p11.2 proximal deletion syndrome WP4949	1/74	0.02922436787889263	0.044377743816096216	0	0	38.980430528375734	137.70820955371116	IGFBP3
Pathways in clear cell renal cell carcinoma WP4018	1/85	0.03350410581625606	0.04791024403197359	0	0	33.857142857142854	114.98181239681574	TGFB2
Allograft Rejection WP2328	1/89	0.035056276120956284	0.04791024403197359	0	0	32.311688311688314	108.27002521488092	COL5A1
Pancreatic adenocarcinoma pathway WP4263	1/89	0.035056276120956284	0.04791024403197359	0	0	32.311688311688314	108.27002521488092	TGFB2
Senescence and Autophagy in Cancer WP615	1/105	0.0412431688635261	0.05454741688401839	0	0	27.318681318681318	87.09932616586799	IGFBP3
Cell cycle WP179	1/120	0.04701183027422738	0.06023390753885383	0	0	23.857142857142858	72.93977888059271	TGFB2
NRF2 pathway WP2884	1/146	0.05693892725701245	0.07074230356174274	0	0	19.553694581280787	56.03650936963659	TGFB2
Hepatitis B infection WP4666	1/152	0.05921690386794933	0.0708920931517133	0	0	18.77105014191107	53.05727873294568	TGFB2
Myometrial relaxation and contraction pathways WP289	1/156	0.06073287883778701	0.0708920931517133	0	0	18.28294930875576	51.21547862254709	IGFBP3
Epithelial to mesenchymal transition in colorectal cancer WP4239	1/160	0.062246715938089725	0.0708920931517133	0	0	17.81940700808625	49.47824757789535	TGFB2
Metapathway biotransformation Phase I and II WP702	1/183	0.07090992067371144	0.0785758580438424	0	0	15.54945054945055	41.14920963136887	NNMT
MAPK Signaling Pathway WP382	1/246	0.09428198637600053	0.10172530108989532	0	0	11.514285714285714	27.190584236877303	TGFB2
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	1/303	0.1149831829216247	0.12087975640478495	0	0	9.314096499526963	20.14610568709965	COL5A1
Nuclear Receptors Meta-Pathway WP2882	1/319	0.1207191050086845	0.12373708263390161	0	0	8.838274932614555	18.686666393634923	TGFB2
VEGFA-VEGFR2 Signaling Pathway WP3888	1/432	0.16031127239744908	0.16031127239744908	0	0	6.483592973152138	11.869111032646105	IGFBP3
