Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DYRK1A human kinase ARCHS4 coexpression	8/299	1.3296974371170049E-8	3.018413182255601E-6	0	0	23.520693261616614	426.56492637586706	ATF7IP;KDM3A;PRKCB;KAT6A;USP12;EP300;NAP1L1;STK4
GRK3 human kinase ARCHS4 coexpression	7/299	3.0078227188364346E-7	2.2759191905862356E-5	0	0	19.654537671232877	295.14981760986126	MBD5;PRKCB;KAT6A;EP300;ARRB1;STK4;JAK2
RIOK3 human kinase ARCHS4 coexpression	7/299	3.0078227188364346E-7	2.2759191905862356E-5	0	0	19.654537671232877	295.14981760986126	GFI1B;MAX;USP12;UIMC1;TET2;STK4;JAK2
MARK3 human kinase ARCHS4 coexpression	6/299	5.706849681165172E-6	2.590909755248988E-4	0	0	16.116860068259385	194.5924446627604	MBD5;KMT2A;KAT6A;USP12;EP300;JAK2
BRAF human kinase ARCHS4 coexpression	6/299	5.706849681165172E-6	2.590909755248988E-4	0	0	16.116860068259385	194.5924446627604	KDM3A;KMT2A;CHD9;KAT6A;TET2;EP300
ROCK1 human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	KAT6A;TET2;EP300;STK4;JAK2
CLK1 human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	ATF7IP;KDM3A;KAT6A;TET2;STK4
MAPK6 human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	PRKAB2;CDH1;ZMYND8;NAP1L1;JARID2
STRADB human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	GFI1B;MAX;USP12;STK4;JAK2
ATM human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	PRKCB;KAT6A;TET2;STK4;JAK2
PIK3CA human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	KDM3A;KAT6A;USP12;STK4;JAK2
PIK3CG human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	MAX;PRKCB;PRKCD;STK4;JAK2
SMG1 human kinase ARCHS4 coexpression	5/299	8.920195954013921E-5	0.0015576034473547384	0	0	12.86957090528519	120.00369803744451	MBD5;KMT2A;KAT6A;EP300;STK4
PRKX human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	KAT6A;EP300;STK4;JARID2
CDK13 human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	KMT2A;KAT6A;EP300;STK4
PRPF4B human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	KMT2A;KAT6A;EP300;NAP1L1
MAP3K1 human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	PRKCB;KAT6A;STK4;JAK2
MAP3K2 human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	KAT6A;TET2;STK4;JAK2
MAP3K5 human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	PRKCB;PRKCD;STK4;JAK2
IGF1R human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	KMT2A;CDH1;ZMYND8;EP300
BMP2K human kinase ARCHS4 coexpression	4/299	0.0011204626748540756	0.012111667961517867	0	0	9.880225988700564	67.12638950543031	PRKCB;USP12;EP300;JAK2
LATS1 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	KMT2A;KAT6A;EP300
STK38L human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	TET2;JARID2;JAK2
SNRK human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	PRKCB;KAT6A;STK4
TSSK4 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	KAT6A;EP300;STK4
CDK17 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	PRKCB;USP12;TET2
CDK19 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	TLE4;KAT6A;EP300
CLK4 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	CHD9;TET2;STK4
HIPK1 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	CDH1;KAT6A;EP300
MAP4K2 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	MAX;PRKCB;PRKCD
STK4 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	PRKCB;KAT6A;JAK2
TAOK1 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	KMT2A;KAT6A;EP300
LRRK2 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	TET2;STK4;JAK2
BTK human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	MAX;PRKCB;PRKCD
JAK2 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	PRKCB;TET2;STK4
TLK2 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	KAT6A;USP12;EP300
WNK1 human kinase ARCHS4 coexpression	3/299	0.010912583235150743	0.06695017282105996	0	0	7.12101833976834	32.171612454868864	KMT2A;KAT6A;EP300
MAST3 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;PADI4
PRKCB human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	MAX;STK4
RPS6KB1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CDH1;ZMYND8
STK38 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;STK4
DAPK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	USP12;ARRB1
MKNK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
PIM1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;PRKCD
PIM3 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	USP12;PRKCD
SIK3 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;EP300
STK17A human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CTR9;STK4
STK17B human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	APOBEC3C;STK4
TRIB1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;EP300
CDK12 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KAT6A;EP300
CDK8 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CTR9;NAP1L1
DYRK2 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KAT6A;STK4
GSK3B human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KAT6A;EP300
MAPK13 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	VDR;PRKCD
MAPK14 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
NEK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	MBD5;TLK1
NEK3 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKAB2;TLK1
NEK4 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	GFI1B;EP300
MAP2K5 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	ATF7IP;KDM3A
MAP2K6 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKAB2;UIMC1
PAK2 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;STK4
STK26 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	NAP1L1;JARID2
TNIK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;KAT6A
ACVR2B human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKAB2;JARID2
ILK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	GFI1B;MAX
IRAK3 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
KSR1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	HDAC5;EP300
TESK2 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;TET2
BMX human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	TET2;PADI4
EPHA1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CDH1;JARID2
FES human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
FGR human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
FYN human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KAT6A;STK4
ITK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KAT6A;STK4
JAK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	STK4;JAK2
MST1R human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CDH1;VDR
PTK2B human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;PRKCD
SRC human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	USP12;PRKCD
STYK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	CDH1;VDR
SYK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCB;PRKCD
AAK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	MBD5;KMT2A
EIF2AK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	GFI1B;MAX
EIF2AK2 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	STK4;JAK2
ERN1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;STK4
MLKL human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	PRKCD;PADI4
PXK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	MAX;PRKCB
SCYL2 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	USP12;TET2
STK35 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	EP300;JARID2
TBCK human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	ATF7IP;MBD5
TBK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	TLK1;JAK2
ALPK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	MBD5;TET2
PDK1 human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KDM3A;MBD5
ATR human kinase ARCHS4 coexpression	2/299	0.07801174145842542	0.19041575603293087	0	0	4.567978636944154	11.652438122914264	KDM3A;STK4
CDC42BPA human kinase ARCHS4 coexpression	1/299	0.3733088998141916	0.3733088998141916	0	0	2.2003355704697984	2.168098569388509	TLK1
CDC42BPG human kinase ARCHS4 coexpression	1/299	0.3733088998141916	0.3733088998141916	0	0	2.2003355704697984	2.168098569388509	CDH1
