Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Attenuation of GPCR Signaling Homo sapiens h agpcrPathway	2/13	1.7943408999380463E-4	0.006818495419764576	0	0	125.12852664576802	1079.3214581392901	PRKCB;ARRB1
Erythropoietin mediated neuroprotection through NF-kB Homo sapiens h eponfkbPathway	2/13	1.7943408999380463E-4	0.006818495419764576	0	0	125.12852664576802	1079.3214581392901	EP300;JAK2
TGF beta signaling pathway Homo sapiens h tgfbPathway	2/20	4.3414010265241555E-4	0.007957403046315559	0	0	76.44061302681992	591.8141768431133	CDH1;EP300
Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK) Homo sapiens h hdacPathway	2/21	4.7937621131243017E-4	0.007957403046315559	0	0	72.41379310344827	553.4604208232837	HDAC5;EP300
Growth Hormone Signaling Pathway Homo sapiens h ghPathway	2/22	5.268052091926898E-4	0.007957403046315559	0	0	68.78965517241379	519.2710735545378	PRKCB;JAK2
TPO Signaling Pathway Homo sapiens h TPOPathway	2/24	6.28216029972281E-4	0.007957403046315559	0	0	62.529780564263326	461.00871434328997	PRKCB;JAK2
Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	2/27	7.966177692185978E-4	0.008142153900589762	0	0	55.01793103448276	392.5603973248657	VDR;EP300
Role of ERBB2 in Signal Transduction and Oncology Homo sapiens h her2Pathway	2/28	8.570688316410276E-4	0.008142153900589762	0	0	52.89920424403183	373.5737744029888	EP300;JAK2
Role of MEF2D in T-cell Apoptosis Homo sapiens h mef2dPathway	2/30	9.844083630700538E-4	0.008312781732591566	0	0	49.11576354679803	340.05150286391984	PRKCB;EP300
Bioactive Peptide Induced Signaling Pathway Homo sapiens h biopeptidesPathway	2/33	0.0011914158391229605	0.009054760377334499	0	0	44.3559510567297	298.6314482014049	PRKCB;JAK2
Mechanism of Gene Regulation by Peroxisome Proliferators via PPARa Homo sapiens h pparaPathway	2/52	0.002937791521612053	0.01931705037859662	0	0	27.474482758620688	160.1789039869191	PRKCB;EP300
Keratinocyte Differentiation Homo sapiens h keratinocytePathway	2/53	0.003050060586094204	0.01931705037859662	0	0	26.934415145368494	156.02012683130314	PRKCB;PRKCD
Acetylation and Deacetylation of RelA in Nucleus Homo sapiens h RELAPathway	1/5	0.007726694289035996	0.041944911854766835	0	0	166.375	809.0939625056958	EP300
Pelp1 Modulation of Estrogen Receptor Activity Homo sapiens h pelp1Pathway	1/5	0.007726694289035996	0.041944911854766835	0	0	166.375	809.0939625056958	EP300
IFN gamma signaling pathway  Homo sapiens h ifngPathway	1/6	0.009265092249714469	0.045990249085629334	0	0	133.09333333333333	623.0766346487915	JAK2
CBL mediated ligand-induced downregulation of EGF receptors Homo sapiens h cblPathway	1/8	0.012334969042911155	0.045990249085629334	0	0	95.05714285714286	417.8062796500496	PRKCB
g-Secretase mediated ErbB4 Signaling Pathway  Homo sapiens h erbB4pathway	1/8	0.012334969042911155	0.045990249085629334	0	0	95.05714285714286	417.8062796500496	PRKCB
SUMOylation as a mechanism to modulate CtBP-dependent gene responses Homo sapiens h ctbp1Pathway	1/8	0.012334969042911155	0.045990249085629334	0	0	95.05714285714286	417.8062796500496	CDH1
Stat3 Signaling Pathway Homo sapiens h stat3Pathway	1/8	0.012334969042911155	0.045990249085629334	0	0	95.05714285714286	417.8062796500496	JAK2
NO2-dependent IL 12 Pathway in NK cells Homo sapiens h no2il12Pathway	1/9	0.013866454289070039	0.045990249085629334	0	0	83.17083333333333	355.82833874131705	JAK2
Role of PPAR-gamma Coactivators in Obesity and Thermogenesis Homo sapiens h ppargPathway	1/9	0.013866454289070039	0.045990249085629334	0	0	83.17083333333333	355.82833874131705	EP300
Reversal of Insulin Resistance by Leptin Homo sapiens h leptinPathway	1/10	0.015395641764484845	0.045990249085629334	0	0	73.92592592592592	308.5424792813036	PRKAB2
Overview of telomerase protein component gene hTert Transcriptional Regulation  Homo sapiens h tertpathway	1/10	0.015395641764484845	0.045990249085629334	0	0	73.92592592592592	308.5424792813036	MAX
Activation of PKC through G-protein coupled receptors Homo sapiens h pkcPathway	1/11	0.016922534733464	0.045990249085629334	0	0	66.53	271.3831303578043	PRKCB
EPO Signaling Pathway Homo sapiens h epoPathway	1/11	0.016922534733464	0.045990249085629334	0	0	66.53	271.3831303578043	JAK2
Cell to Cell Adhesion Signaling Homo sapiens h cell2cellPathway	1/12	0.018447136470887412	0.045990249085629334	0	0	60.47878787878788	241.48249384895686	CDH1
CARM1 and Regulation of the Estrogen Receptor Homo sapiens h carm-erPathway	1/12	0.018447136470887412	0.045990249085629334	0	0	60.47878787878788	241.48249384895686	EP300
IL 3 signaling pathway Homo sapiens h il3Pathway	1/12	0.018447136470887412	0.045990249085629334	0	0	60.47878787878788	241.48249384895686	JAK2
Visual Signal Transduction Homo sapiens h rhodopsinPathway	1/13	0.019969450260865367	0.045990249085629334	0	0	55.43611111111111	216.95208467294643	ARRB1
Effects of calcineurin in Keratinocyte Differentiation Homo sapiens h calcineurinPathway	1/13	0.019969450260865367	0.045990249085629334	0	0	55.43611111111111	216.95208467294643	PRKCB
Trka Receptor Signaling Pathway Homo sapiens h trkaPathway	1/13	0.019969450260865367	0.045990249085629334	0	0	55.43611111111111	216.95208467294643	PRKCB
IL 6 signaling pathway Homo sapiens h il6Pathway	1/13	0.019969450260865367	0.045990249085629334	0	0	55.43611111111111	216.95208467294643	JAK2
Melanocyte Development and Pigmentation Pathway Homo sapiens h melanocytepathway	1/13	0.019969450260865367	0.045990249085629334	0	0	55.43611111111111	216.95208467294643	EP300
Transcription Regulation by Methyltransferase of CARM1 Homo sapiens h carm1Pathway	1/14	0.02148947938555657	0.048035306861832335	0	0	51.16923076923077	196.4996601316088	EP300
IL12 and Stat4 Dependent Signaling Pathway in Th1 Development Homo sapiens h IL12Pathway	1/15	0.023007227131928758	0.04857081283407182	0	0	47.51190476190476	179.21238137059572	JAK2
IL-7 Signal Transduction Homo sapiens h il7Pathway	1/15	0.023007227131928758	0.04857081283407182	0	0	47.51190476190476	179.21238137059572	EP300
Hypoxia-Inducible Factor in the Cardiovascular System Homo sapiens h hifPathway	1/16	0.024522696784534302	0.04868739384862514	0	0	44.34222222222222	164.42788585185278	EP300
Cadmium induces DNA synthesis and proliferation in macrophages Homo sapiens h cdMacPathway	1/16	0.024522696784534302	0.04868739384862514	0	0	44.34222222222222	164.42788585185278	PRKCB
Map Kinase Inactivation of SMRT Corepressor Homo sapiens h egfr smrtePathway	1/17	0.026035891626597026	0.04868739384862514	0	0	41.56875	151.65440789573447	ZBTB16
Aspirin Blocks Signaling Pathway Involved in Platelet Activation Homo sapiens h sppaPathway	1/17	0.026035891626597026	0.04868739384862514	0	0	41.56875	151.65440789573447	PRKCB
Oxidative Stress Induced Gene Expression Via Nrf2 Homo sapiens h arenrf2Pathway	1/18	0.027546814940669486	0.04868739384862514	0	0	39.12156862745098	140.51952455455398	PRKCB
Chaperones modulate interferon Signaling Pathway Homo sapiens h tidPathway	1/18	0.027546814940669486	0.04868739384862514	0	0	39.12156862745098	140.51952455455398	JAK2
METS affect on Macrophage Differentiation Homo sapiens h etsPathway	1/18	0.027546814940669486	0.04868739384862514	0	0	39.12156862745098	140.51952455455398	HDAC5
