Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
OCT2-TLE4 complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	TLE4
BCL6-HDAC5 complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	HDAC5
Vdr-Med4 complex (mouse)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	VDR
Cell-cell junction complex (CDH1-CTNNB1) (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	CDH1
Gata1-Gfi1b complex (mouse)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	GFI1B
MAD-MAX complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	MAX
MYC-MAX complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	MAX
CDH1-CKS1B complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	CDH1
CDH1-SKP2 complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	CDH1
SETDB1-containing HMTase complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	ATF7IP
MBD1-MCAF complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	ATF7IP
EGR-EP300 complex (human)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	EP300
SMAD3-VDR complex (mouse)	1/2	0.00309762542370701	0.009074883621329756	0	0	665.6	3845.2507081601807	VDR
Src1-Ep300-Crebbp complex (mouse)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
ING1-p300-PCNA complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
p300-CBP-p270 complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
p300-MDM2-p53 protein complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
MBD1-MCAF1-SETDB1 complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	ATF7IP
G protein complex (Hdac5, Gnb1, Gng2) (mouse)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	HDAC5
TCF4-CTNNB1-EP300 complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
PIAS3-SMAD3-P300 complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	EP300
Polycystin-1-E-cadherin-beta-catenin complex (human)	1/3	0.0046429637132384795	0.009074883621329756	0	0	332.78333333333336	1787.845973802925	CDH1
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex (human)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	CDH1
Multisubunit ACTR coactivator complex (human)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	EP300
PS1-E-cadherin-catenin complex, brain (mouse)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	CDH1
Smad1-Notch1-p300-Pcaf complex (mouse)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	EP300
BRCA1 A complex (human)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	UIMC1
BRCA1 C complex (human)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	UIMC1
SMAD3-HEF1-APC10-CDH1 complex (human)	1/4	0.0061859857715872765	0.009172323730284582	0	0	221.84444444444443	1128.183023929502	CDH1
Paf complex (human)	1/5	0.007726694289035996	0.01038274545089212	0	0	166.375	809.0939625056958	CTR9
pRb2/p130-multimolecular complex (RB2, E2F4, HDAC1, SUV39H1, P300) (human)	1/5	0.007726694289035996	0.01038274545089212	0	0	166.375	809.0939625056958	EP300
TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex (human)	1/5	0.007726694289035996	0.01038274545089212	0	0	166.375	809.0939625056958	EP300
TLE-Histone H3 complex (human)	1/6	0.009265092249714469	0.011717616668756533	0	0	133.09333333333333	623.0766346487915	TLE4
HES1 promoter corepressor complex (human)	1/6	0.009265092249714469	0.011717616668756533	0	0	133.09333333333333	623.0766346487915	EP300
NK-3-Groucho complex (human)	1/7	0.010801182772692638	0.012901412756271763	0	0	110.90555555555555	502.1914056148727	TLE4
p300-CBP-p270-SWI/SNF complex (human)	1/7	0.010801182772692638	0.012901412756271763	0	0	110.90555555555555	502.1914056148727	EP300
Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1) (human)	1/11	0.016922534733464	0.019149184040498736	0	0	66.53	271.3831303578043	CDH1
NK-3-Groucho-HIPK2-SIN3A-RbpA48-HDAC1 complex (human)	1/11	0.016922534733464	0.019149184040498736	0	0	66.53	271.3831303578043	TLE4
