Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Myocardial Ischemia	6/252	2.131366239233949E-6	9.740343713299147E-4	0	0	19.241951219512195	251.27577963130534	KMT2A;PRKCB;PRKCD;ARRB1;STK4;JAK2
FLT3/KIT/MLL Signaling in Leukemia	3/29	1.1987759419957194E-5	0.002739203027460219	0	0	82.1826923076923	931.263407749183	KMT2A;KAT6A;JAK2
Peripheral Tissue Microangiopathy	3/46	4.892130248246828E-5	0.005467976697926241	0	0	49.64950166112957	492.78608080822454	PRKCB;PRKCD;EP300
Proteins Involved in Prostate Cancer	4/138	5.907580385412161E-5	0.005467976697926241	0	0	21.929242675511333	213.5182187359257	CDH1;VDR;EP300;JAK2
Acetylases Inhibition in Histone Deacetylation in Cancer	2/9	8.313599120396748E-5	0.005467976697926241	0	0	196.66995073891624	1847.7206463680611	KAT6A;EP300
Kruppel-like Factor 6 Signaling in Prostate Cancer	2/9	8.313599120396748E-5	0.005467976697926241	0	0	196.66995073891624	1847.7206463680611	CDH1;EP300
Hepatic Stellate Cells in non-Alcoholic Fatty Liver Disease	3/55	8.375456648902339E-5	0.005467976697926241	0	0	41.03777472527472	385.2470291649699	CDH1;EP300;JAK2
IFNG -> ARRB1/STAT1 Signaling	2/10	1.0381978350160118E-4	0.0059307051325289675	0	0	172.07758620689654	1578.4425771666922	ARRB1;JAK2
Proteins Involved in Diabetic Neuropathy	3/65	1.379928839542096E-4	0.0063062747967073795	0	0	34.401497695852534	305.7711223078785	VDR;PRKCB;PRKCD
Clear Cell Endometrial Cancer and Papillary Serous Endometrial Cancer	3/65	1.379928839542096E-4	0.0063062747967073795	0	0	34.401497695852534	305.7711223078785	CDH1;EP300;JAK2
Genes with Mutations in Cancer-Associated Histone Deacetylation	2/13	1.7943408999380463E-4	0.007166549674610572	0	0	125.12852664576802	1079.3214581392901	KAT6A;EP300
Protein Kinase C in Diabetic Microangiopathy	2/14	2.0913783305828018E-4	0.007166549674610572	0	0	114.69540229885058	971.7587498188318	PRKCB;PRKCD
CXC Chemokine Receptor Signaling	3/75	2.1109909982283402E-4	0.007166549674610572	0	0	29.608630952380953	250.58325820160184	PRKCB;PRKCD;JAK2
Mast-Cell Activation in Asthma	3/76	2.1954419134474396E-4	0.007166549674610572	0	0	29.201565557729943	245.9927331283584	PRKCB;PRKCD;JAK2
IL13/STAT6/ZEB1 Signalling Promotes Cancer Metastatic Progression	2/15	2.4108009623731251E-4	0.007344906932030121	0	0	105.86737400530504	881.9155958865495	CDH1;JAK2
Acute Myeloid Leukemia	3/82	2.748359360217822E-4	0.007399483773073502	0	0	26.975587703435806	221.18191370685673	KMT2A;KAT6A;JAK2
CDC73 Mutations Cause Hyperparathyroidism	2/16	2.75254319786104E-4	0.007399483773073502	0	0	98.30049261083744	805.8492615260942	KMT2A;CTR9
Mast-Cell Activation via IgE Signaling	3/86	3.1627225677617713E-4	0.008003726115123273	0	0	25.67039586919105	206.87533664004872	PRKCB;PRKCD;JAK2
CC Chemokine Receptor Signaling	3/88	3.38419029096839E-4	0.008003726115123273	0	0	25.063865546218487	200.29100647567643	PRKCB;PRKCD;JAK2
CR3 Mediated Phagocytosis in Neutrophils and Macrophages	2/18	3.5027247768592E-4	0.008003726115123273	0	0	86.00431034482759	684.3190276353239	PRKCB;PRKCD
Proteins Involved in Colorectal Neoplasms	3/99	4.781709116554196E-4	0.010405909839358417	0	0	22.1796875	169.57573972762742	CDH1;VDR;PRKCB
Proteins Involved in Obesity	3/106	5.83841527304732E-4	0.011600677303402718	0	0	20.66504854368932	153.86949168142752	VDR;PRKCD;EP300
Endometrial Cancer	3/106	5.83841527304732E-4	0.011600677303402718	0	0	20.66504854368932	153.86949168142752	CDH1;EP300;JAK2
Proteins Involved in Arterial Hypertension	4/255	6.194064972132256E-4	0.01179453205110184	0	0	11.638187988785598	85.968371171426	VDR;PRKCB;PRKCD;JAK2
Tertiary Hypothyroidism	2/28	8.570688316410276E-4	0.014009606448431236	0	0	52.89920424403183	373.5737744029888	PRKCB;JAK2
Histone Methylation	2/28	8.570688316410276E-4	0.014009606448431236	0	0	52.89920424403183	373.5737744029888	KDM3A;GFI1B
Central Hypothyroidism	2/28	8.570688316410276E-4	0.014009606448431236	0	0	52.89920424403183	373.5737744029888	PRKCB;JAK2
Prostate Cancer	3/123	8.996796055151054E-4	0.014009606448431236	0	0	17.72232142857143	124.29500248948462	VDR;EP300;JAK2
Eat me Signal: Apoptotic Cell Induces Phagocytosis	2/29	9.196678193718536E-4	0.014009606448431236	0	0	50.93742017879949	356.128872274134	PRKCB;PRKCD
IL6 Promotes Inflammation in Muscular Dystrophies	2/29	9.196678193718536E-4	0.014009606448431236	0	0	50.93742017879949	356.128872274134	PRKCD;JAK2
Proteins Involved in Breast Cancer Related to NOTCH Signaling Pathway	2/31	0.0010512841071621476	0.014191770784633287	0	0	47.41973840665874	325.1923745116612	CDH1;EP300
Vitamine D Deficite and Dentin Formation	2/31	0.0010512841071621476	0.014191770784633287	0	0	47.41973840665874	325.1923745116612	VDR;PRKCD
Hippo/YAP1 Signaling	2/31	0.0010512841071621476	0.014191770784633287	0	0	47.41973840665874	325.1923745116612	CDH1;STK4
Proteins Involved in Hepatocellular Carcinoma	3/130	0.0010558429030142927	0.014191770784633287	0	0	16.73959505061867	114.72340639150858	EP300;STK4;JAK2
Apoptosis Block in Acute Myeloid Leukemia Cell	2/32	0.0011202887088092445	0.01462776971216642	0	0	45.836781609195405	311.42283384712533	KMT2A;JAK2
Proteins Involved in Acute Myeloid Leukemia	2/34	0.0012646591825652726	0.015620249903576475	0	0	42.9676724137931	286.72124195111644	KMT2A;JAK2
TSLP Signaling in Bronchial Epithelial Cell in Asthma	2/34	0.0012646591825652726	0.015620249903576475	0	0	42.9676724137931	286.72124195111644	VDR;JAK2
NOTCH1 Signaling in Breast Cancer	2/35	0.0013400124367637719	0.01611541272634326	0	0	41.66353187042842	275.6074457457441	CDH1;EP300
Estrogen Effects on Pregnancy Gingivitis	2/36	0.0014174693130427694	0.01660983271950117	0	0	40.436105476673426	265.2156512854863	CDH1;EP300
TERT Activation in Cancer	2/37	0.0014970235354745522	0.01710349389279676	0	0	39.278817733990145	255.48028924599194	MAX;EP300
TRPM4/6/7/8 Signaling in Arterial Hypertension (Hypothesis)	2/39	0.001662398983033374	0.01808848417252981	0	0	37.15191053122088	237.7534117911538	PRKCD;JAK2
Podocyte Dysfunction in Diabetic Nephropathy	2/39	0.001662398983033374	0.01808848417252981	0	0	37.15191053122088	237.7534117911538	PRKCB;JAK2
Proteins Involved in T-Cell Acute Lymphoblastic Leukemia	2/40	0.0017482077236044978	0.018579789062494315	0	0	36.172413793103445	229.6645937348641	KMT2A;JAK2
Proteins Involved in Dilated Cardiomyopathy	3/167	0.002164519358696435	0.022481485157369793	0	0	12.938806620209059	79.38678484963106	CDH1;PRKCD;STK4
Proteins Involved in Diabetic Nephropathy	3/175	0.0024720426798573326	0.02487794686005347	0	0	12.332018272425248	74.02553525217527	VDR;PRKCB;JAK2
Negative Acute Phase Proteins Synthesis	2/48	0.0025087632834003815	0.02487794686005347	0	0	29.869565217391305	178.85792193078825	VDR;JAK2
Insulin Resistance in Hepatocytes	2/49	0.002613000983112837	0.02487794686005347	0	0	29.23257520176082	173.85360581456808	PRKCD;JAK2
Mesangial Cell Dysfunction in Diabetic Nephropathy	2/49	0.002613000983112837	0.02487794686005347	0	0	29.23257520176082	173.85360581456808	PRKCB;PRKCD
Neutrophil Activation via FCGR3B	2/50	0.0027192556482504363	0.025336807499435357	0	0	28.62212643678161	169.08226656127547	PRKCB;PRKCD
ESR1 Signaling in Breast Cancer	2/51	0.0028275211870267027	0.025336807499435357	0	0	28.036593947923997	164.52868226245067	EP300;JAK2
Myocardial Remodeling	2/51	0.0028275211870267027	0.025336807499435357	0	0	28.036593947923997	164.52868226245067	PRKCD;ARRB1
Adipokines and Cytokines in Insulin Resistance in Skeletal Muscles	2/53	0.003050060586094204	0.02680534015086637	0	0	26.934415145368494	156.02012683130314	PRKCD;JAK2
G0/G1 Cell Cycle Phase Transition Activation in Cancer	2/54	0.0031643223277353994	0.02728481705235995	0	0	26.415119363395224	152.0405762035586	EP300;JAK2
Th1-Cell Function in Systemic Lupus Erythematosus	2/55	0.003280570706943304	0.027763348390242408	0	0	25.915419648666234	148.2294073291968	PRKCD;JAK2
Neutrophil Chemotaxis	2/56	0.003398799697079565	0.02824093566482475	0	0	25.434227330779056	144.5766162187934	PRKCB;PRKCD
Neutrophil Activation via Adherence on Endothelial Cells	2/57	0.003519003283445158	0.028717580366686382	0	0	24.9705329153605	141.07296061152428	PRKCB;PRKCD
Proteins with Altered Expression in Cancer-Associated Evading of Growth Suppressors	2/58	0.003641175466029308	0.029193283999568314	0	0	24.523399014778324	137.7098895888601	CDH1;STK4
Steroids Induced Cataract	2/59	0.00376531025589527	0.02963950943850059	0	0	24.091954022988507	134.47948084141416	CDH1;EP300
Proliferative Diabetic Retinopathy	2/60	0.0038914016768272115	0.02963950943850059	0	0	23.67538644470868	131.3743845648751	PRKCB;JAK2
Mucinous Ovarian Carcinoma	2/60	0.0038914016768272115	0.02963950943850059	0	0	23.67538644470868	131.3743845648751	EP300;JAK2
Proteins Involved in Diffuse Large-B-Cell Lymphoma	2/61	0.0040194437674711024	0.030112881995644162	0	0	23.272939801285798	128.38777321660814	KMT2A;PRKCB
Neutrophil Degranulation via FPR1 Signaling	2/62	0.004149430576332218	0.030585318925545543	0	0	22.883908045977012	125.51329647647898	PRKCD;PADI4
Proteins Involved in Breast Cancer Related to ESR1 Signaling Pathway	2/64	0.004415214615800143	0.0315273918659479	0	0	22.14349276974416	120.07749245655843	EP300;JAK2
Neutrophil Degranulation via FPR1/IL8	2/64	0.004415214615800143	0.0315273918659479	0	0	22.14349276974416	120.07749245655843	PRKCB;PRKCD
B-Cell Activation in Systemic Lupus Erythematosus	2/65	0.00455100000897125	0.03199703083230556	0	0	21.790914066776136	117.50550561626433	PRKCB;JAK2
Neutrophil Recruitment and Priming	2/66	0.004688706448142651	0.032465740103048354	0	0	21.44935344827586	115.02427159714598	PRKCB;JAK2
STAT3 and NFkB Activate Inflammation-Induced Tumorigenesis	2/67	0.004828328046458851	0.03293352115271187	0	0	21.118302387267903	112.62929246148852	CDH1;JAK2
B-Cells Function in Systemic Scleroderma	2/69	0.005113293237096843	0.034364338372842015	0	0	20.485846628924342	108.08151613676682	PRKCB;JAK2
Low-Grade Serous Ovarian Carcinoma	2/70	0.005258625119570298	0.034828864922371396	0	0	20.183569979716026	105.921067676316	EP300;JAK2
Humoral Immunity in Vitiligo	2/71	0.0054058487402184816	0.03525855461278779	0	0	19.89005497251374	103.83153308233095	PRKCB;JAK2
Proteins Involved in Breast Cancer Related to ERBB2/VEGFR/Akt Signaling Pathway	2/72	0.0055549582759753195	0.03525855461278779	0	0	19.604926108374386	101.8096431909553	CDH1;JAK2
