Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tofacitinib	1/4	0.0061859857715872765	0.13392936767662392	0	0	221.84444444444443	1128.183023929502	JAK2
Ruxolitinib	1/4	0.0061859857715872765	0.13392936767662392	0	0	221.84444444444443	1128.183023929502	JAK2
Fedratinib	1/5	0.007726694289035996	0.13392936767662392	0	0	166.375	809.0939625056958	JAK2
Abemaciclib	2/136	0.018763534739022474	0.196518548179148	0	0	10.208440555841483	40.58712562810965	TLK1;JAK2
JNK-9L	2/145	0.02115617583087612	0.196518548179148	0	0	9.561610802990113	36.867882815979016	TLK1;JAK2
Dactolisib	1/16	0.024522696784534302	0.196518548179148	0	0	44.34222222222222	164.42788585185278	JAK2
R406	1/18	0.027546814940669486	0.196518548179148	0	0	39.12156862745098	140.51952455455398	JAK2
Palbociclib	2/184	0.03287187288722958	0.196518548179148	0	0	7.497915877226222	25.606416790618653	TLK1;JAK2
WH-4-023	2/198	0.037575365000100946	0.196518548179148	0	0	6.9574243490499645	22.830138383092528	TLK1;JAK2
Baricitinib	2/203	0.03931473917544402	0.196518548179148	0	0	6.782638531480528	21.94967494010879	TLK1;JAK2
CP466722	2/228	0.048457855408756044	0.196518548179148	0	0	6.02471772963076	18.237186987599365	TLK1;JAK2
CGP74514A	2/233	0.050372024444738525	0.196518548179148	0	0	5.892819823854307	17.609627379312354	TLK1;JAK2
R406	2/234	0.05075815153403622	0.196518548179148	0	0	5.867122473246136	17.488032523522502	TLK1;JAK2
CG-930	1/36	0.05435872736369502	0.196518548179148	0	0	18.984761904761903	55.2864763029152	TLK1
AZD 5438	2/258	0.06034247243382912	0.196518548179148	0	0	5.310614224137931	14.910712836112491	TLK1;JAK2
KIN001-123	1/44	0.06604419119464339	0.196518548179148	0	0	15.446511627906977	41.97483258957492	JAK2
BX-912	2/285	0.07180653796002937	0.196518548179148	0	0	4.797368100402096	12.635210951982181	TLK1;JAK2
GSK429286A	1/48	0.07183439859286861	0.196518548179148	0	0	14.129078014184397	37.20739858844958	JAK2
OTSSP167	2/298	0.0775629171503208	0.196518548179148	0	0	4.5836439888164024	11.718845998772192	TLK1;JAK2
SCH772984	1/52	0.0775898601982381	0.196518548179148	0	0	13.018300653594771	33.27892316228608	JAK2
AZD7762	2/302	0.07936325984157899	0.196518548179148	0	0	4.5216091954022986	11.456490475934533	TLK1;JAK2
XMD-12	1/59	0.08757891647548653	0.20700471166933182	0	0	11.443103448275862	27.86641704377016	JAK2
Lestaurtinib	1/68	0.1002682623878204	0.2266934627898548	0	0	9.901492537313432	22.772502698810975	JAK2
Dinaciclib	1/75	0.1100195153566116	0.23459644096519028	0	0	8.961711711711711	19.77937166333769	TLK1
XMD13-2	1/77	0.11278675046403379	0.23459644096519028	0	0	8.725	19.040187153190175	JAK2
GW843682X	1/89	0.1292161299361437	0.25502290060597305	0	0	7.530681818181818	15.409799629222077	JAK2
QL-X-138	1/93	0.13462686905744525	0.25502290060597305	0	0	7.201811594202899	14.441420169325145	JAK2
WH-4-025	1/95	0.13732002340321625	0.25502290060597305	0	0	7.047872340425532	13.993135693897646	JAK2
ZG-10	1/100	0.14401747150131122	0.25823822476097186	0	0	6.69023569023569	12.964476920040203	JAK2
PLX-4720	1/106	0.15198800438142535	0.26344587426113725	0	0	6.306031746031746	11.880271712830174	JAK2
WZ3105	1/110	0.15726174007999252	0.26379388658579395	0	0	6.073394495412844	11.234830711924577	JAK2
Momelotinib	1/122	0.17289321275049702	0.274013708839667	0	0	5.467768595041322	9.596377552221062	JAK2
AG1478	1/123	0.17418309472116977	0.274013708839667	0	0	5.422677595628415	9.476933088951569	JAK2
JWE-035	1/128	0.1806033594018831	0.274013708839667	0	0	5.207874015748032	8.913026591821229	JAK2
NG25	1/131	0.18443230402669894	0.274013708839667	0	0	5.086923076923077	8.599305090496161	JAK2
HG-5-113-01	1/157	0.21689912307345394	0.2999391616622997	0	0	4.233547008547008	6.470226858986776	JAK2
XMD16-144	1/160	0.2205638017741729	0.2999391616622997	0	0	4.153039832285115	6.2776032573668665	JAK2
BI-D1870	1/164	0.22542423205928352	0.2999391616622997	0	0	4.050306748466258	6.034030248783499	JAK2
GSK1059615	1/165	0.22663474904183437	0.2999391616622997	0	0	4.025406504065041	5.97537618056734	JAK2
MRT67307	1/172	0.23505725278773326	0.2999391616622997	0	0	3.859259259259259	5.5879224614186125	JAK2
PHA-767491	1/178	0.2422058302138552	0.2999391616622997	0	0	3.727306967984934	5.28519968188763	JAK2
BMS-536924	1/184	0.24928973785755917	0.2999391616622997	0	0	3.604007285974499	5.006468710309246	JAK2
KIN001-220	1/190	0.25630954145270624	0.2999391616622997	0	0	3.488536155202822	4.74918643748375	TLK1
Dabrafenib	1/195	0.2621108142135657	0.2999391616622997	0	0	3.397766323024055	4.54956802626934	JAK2
Crizotinib	1/200	0.2678682819607093	0.2999391616622997	0	0	3.3115577889447234	4.362182296847866	JAK2
AZD4547	1/209	0.27812235474669444	0.2999391616622997	0	0	3.1668269230769233	4.052569846766924	JAK2
HG-6-64-01	1/210	0.27925307951025297	0.2999391616622997	0	0	3.1515151515151514	4.020188744958083	JAK2
Torkinib	1/210	0.27925307951025297	0.2999391616622997	0	0	3.1515151515151514	4.020188744958083	JAK2
HG-9-91-01	1/213	0.2826349792587055	0.2999391616622997	0	0	3.106446540880503	3.925302866312847	JAK2
NVP-TAE684	1/238	0.3102265487794759	0.32263561073065494	0	0	2.7752461322081574	3.2482936234026636	JAK2
HG-14-10-04	1/268	0.3419823821450709	0.34868791904987617	0	0	2.4596754057428214	2.6392220129494257	JAK2
THZ1	1/289	0.36336469911213326	0.36336469911213326	0	0	2.2778935185185185	2.306021558893061	JAK2
