Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RIPK4	2/2	2.3249297048722383E-6	1.3019606347284535E-4	0	0	39938.0	518068.57726708474	PRKCB;PRKCD
CSNK2A2	5/229	2.5104325708800434E-5	7.029211198464121E-4	0	0	16.951407967032967	179.55728692026534	MAX;CDH1;VDR;CTR9;STK4
CHEK1	4/137	5.742544164081166E-5	0.001071941577295151	0	0	22.095238095238095	215.76051081268417	CTR9;UIMC1;TLK1;STK4
CAMK4	2/17	3.116539576784677E-4	0.003693822684987338	0	0	91.74252873563218	740.6940484006719	HDAC5;EP300
MAPK14	5/396	3.2980559687386947E-4	0.003693822684987338	0	0	9.62915601023018	77.19701284703002	MAX;PRKCB;ZMYND8;CTR9;ARRB1
CAMK1	2/20	4.3414010265241555E-4	0.0038658482790550524	0	0	76.44061302681992	591.8141768431133	HDAC5;EP300
PRKCA	5/442	5.44877075119825E-4	0.0038658482790550524	0	0	8.595317725752508	64.59338585678603	VDR;PRKCB;ZMYND8;PRKCD;EP300
PRKCD	3/104	5.522640398650075E-4	0.0038658482790550524	0	0	21.076379066478076	158.1041265197237	HDAC5;PRKCD;EP300
PRKAA2	2/28	8.570688316410276E-4	0.005332872730210839	0	0	52.89920424403183	373.5737744029888	HDAC5;EP300
CSNK1E	3/128	0.0010096000792646658	0.005653760443882128	0	0	17.00914285714286	117.33248605650121	MAX;CDH1;STK4
PRKAA1	2/53	0.003050060586094204	0.015527581165570492	0	0	26.934415145368494	156.02012683130314	HDAC5;EP300
ATR	2/58	0.003641175466029308	0.01699215217480344	0	0	24.523399014778324	137.7098895888601	KMT2A;UIMC1
CAMK1D	1/3	0.0046429637132384795	0.02000045907241191	0	0	332.78333333333336	1787.845973802925	EP300
CAMK1G	1/4	0.0061859857715872765	0.024743943086349106	0	0	221.84444444444443	1128.183023929502	EP300
PRKCB	3/250	0.006699279718041893	0.025010644280689734	0	0	8.554945054945055	42.82396123461456	VDR;PRKCB;STK4
SRC	3/259	0.007382740639194003	0.025452640010942103	0	0	8.250418526785714	40.498089764017664	PRKCD;ARRB1;JAK2
BMPR2	1/5	0.007726694289035996	0.025452640010942103	0	0	166.375	809.0939625056958	PRKCB
ABL1	2/94	0.00930087394698537	0.027732908578140078	0	0	14.900299850074962	69.69834155839186	PRKCD;JAK2
CSNK2A1	3/286	0.00967578751695683	0.027732908578140078	0	0	7.453054013124684	34.568223320526144	MAX;CDH1;VDR
CDK2	4/553	0.010064294583443696	0.027732908578140078	0	0	5.240504621196789	24.099829888674087	PRKCB;ZMYND8;ZBTB16;TLK1
YES1	1/7	0.010801182772692638	0.027732908578140078	0	0	110.90555555555555	502.1914056148727	PRKCD
PRKD2	1/8	0.012334969042911155	0.027732908578140078	0	0	95.05714285714286	417.8062796500496	HDAC5
PAK3	1/8	0.012334969042911155	0.027732908578140078	0	0	95.05714285714286	417.8062796500496	STK4
DYRK1B	1/8	0.012334969042911155	0.027732908578140078	0	0	95.05714285714286	417.8062796500496	HDAC5
FYN	2/115	0.01367011188588575	0.027732908578140078	0	0	12.1184009765029	52.018762657439176	MAX;PRKCD
MAPK1	3/326	0.013763866390065356	0.027732908578140078	0	0	6.516806722689076	27.929133953184188	EP300;ARRB1;JAK2
JAK3	1/9	0.013866454289070039	0.027732908578140078	0	0	83.17083333333333	355.82833874131705	JAK2
MAP3K7	1/9	0.013866454289070039	0.027732908578140078	0	0	83.17083333333333	355.82833874131705	HDAC5
STK4	1/10	0.015395641764484845	0.029729515131419013	0	0	73.92592592592592	308.5424792813036	STK4
MARK2	1/12	0.018447136470887412	0.034434654745656504	0	0	60.47878787878788	241.48249384895686	HDAC5
PKN1	1/13	0.019969450260865367	0.036073845632530986	0	0	55.43611111111111	216.95208467294643	HDAC5
ATM	2/161	0.02570511057477526	0.0449839435058567	0	0	8.592496204727825	31.457690999854982	UIMC1;EP300
PDGFRB	1/18	0.027546814940669486	0.04674611020234822	0	0	39.12156862745098	140.51952455455398	PRKCD
PRKACG	2/176	0.03029804537233057	0.04990266296619152	0	0	7.845818470075307	27.43425437110648	VDR;EP300
MAPK3	2/202	0.03896440971234552	0.062343055539752834	0	0	6.816896551724138	22.121556134519793	ARRB1;JAK2
PDPK1	1/27	0.041043446358547446	0.06326626174049407	0	0	25.567948717948717	81.6416333934617	PRKCD
AKT1	2/210	0.041800922935683583	0.06326626174049407	0	0	6.552055702917772	20.801707953702945	EP300;STK4
GSK3B	3/527	0.047395312584242184	0.0698457238083569	0	0	3.9759405670665213	12.123564991697066	CDH1;ZMYND8;CTR9
PDK1	1/33	0.04994030455802936	0.07170915526281138	0	0	20.767708333333335	62.2393036656038	PRKCD
JAK2	1/34	0.051415327328444255	0.07198145825982195	0	0	20.13737373737374	59.76407945997836	JAK2
SYK	1/39	0.05875726186108227	0.0802538210785514	0	0	17.483333333333334	49.55372022159112	PRKCB
PRKD1	1/41	0.0616786118590254	0.0822381491453672	0	0	16.6075	46.2654733568564	HDAC5
PRKCZ	1/50	0.07471646000262763	0.09730515721272437	0	0	13.551020408163266	35.15209038871121	PRKCD
CSNK1D	1/72	0.1058529955609793	0.13472199435033727	0	0	9.341784037558686	20.978881609749415	CDH1
AURKB	1/77	0.11278675046403379	0.1403568450219087	0	0	8.725	19.040187153190175	HDAC5
LYN	1/82	0.11966845858358988	0.14301326316037608	0	0	8.184362139917695	17.37564803201433	PRKCD
CSNK1A1	1/84	0.12240665340316831	0.14301326316037608	0	0	7.986345381526104	16.774572169983173	CDH1
PRKACA	2/393	0.12350846119528673	0.14301326316037608	0	0	3.4532145691859952	7.222210463399313	HDAC5;VDR
IGF1R	1/86	0.12513660526532908	0.14301326316037608	0	0	7.79764705882353	16.206234277302418	JAK2
LCK	1/96	0.1386635571508699	0.1553031840089743	0	0	6.973333333333334	13.77724766471137	PRKCD
MAPK10	1/105	0.15066458849071662	0.16543562657804178	0	0	6.36698717948718	12.05079142079369	NAP1L1
PRKACB	1/111	0.1585752065631873	0.17077329937574015	0	0	6.017878787878788	11.08208211129878	CTR9
PRKDC	1/180	0.24457429026387664	0.25841811801466213	0	0	3.6852886405959033	5.1897567626370895	ZMYND8
MAPK8	1/225	0.2960096607667956	0.30697298153593616	0	0	2.9382440476190474	3.5769101393596303	STK4
RPS6KA3	1/332	0.40506963214809943	0.4124345345507921	0	0	1.977643504531722	1.7871891087150549	CTR9
CDK1	1/494	0.539712008705905	0.539712008705905	0	0	1.3168356997971602	0.8121183845951989	CTR9
