Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGFBR2 knockout 293 GSE46211	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	ATF7IP;MBD5;ZMYND8
ILK activemutant 78 GSE25729	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	ZMYND8;TET2;NAP1L1
STK33 knockdown 50 GSE15151	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	MBD5;ARRB1;STK4
ITK knockout 242 GSE12465	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	MBD5;PRKCD;TET2
JAK1 activemutant 61 GSE18239	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	CHD9;PRKCB;JAK2
CDK8 knockdown 63 GSE19199	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	APOBEC3C;CDH1;JARID2
SRC overexpression 277 GSE15161	3/300	0.011011353234456199	0.2343845188477105	0	0	7.096681096681096	31.997717460548696	HDAC5;KDM3A;JAK2
HIPK2 defectivemutant 29 GDS4233	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	TLE4;ZMYND8
FGFR3 druginhibition 36 GDS5023	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CDH1;ARRB1
PDK1 knockout 265 GSE42187	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	MAX;TLK1
TRIM28 knockout 302 GSE32224	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ATF7IP;MAX
TRIM28 knockout 303 GSE32224	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	TLE4;ATF7IP
CDK7 knockdown 124 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CTR9;UIMC1
GSK3A knockdown 203 GDS4305	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ATF7IP;CDH1
SYK knockdown 189 GSE54065	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	PRKCB;ARRB1
PRKCA knockdown 118 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CTR9;UIMC1
SYK knockdown 190 GSE54065	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CDH1;NAP1L1
SYK knockdown 191 GSE54065	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	VDR;NAP1L1
ALK druginhibition 187 GSE50803	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ATF7IP;NAP1L1
SYK druginhibition 154 GSE34176	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CDH1;KAT6A
SYK druginhibition 288 GSE43510	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CHD9;EP300
SYK druginhibition 289 GSE43510	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CHD9;CTR9
JAK1 druginhibition 166 GSE38335	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	TET2;JAK2
JAK2 druginhibition 168 GSE38335	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	TET2;JAK2
PDGFRB knockdown 114 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ZMYND8;PRKCD
AKT2 knockout 221 GSE19079	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CTR9;JARID2
PLK1 druginhibition 181 GSE46856	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	KAT6A;CTR9
TBK1 druginhibition 188 GSE53658	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CHD9;JARID2
EPHA4 drugactivation 229 GSE26523	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	PRKCB;EP300
ULK1 knockout 198 GSE60778	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	PRKAB2;PRKCD
AKT2 knockdown 44 GSE12291	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	STK4;ACTR3B
BTK mutant 1 GDS1346	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	USP12;PRKCD
MET knockout 256 GSE25583	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ATF7IP;STK4
ATR knockdown 120 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	UIMC1;JAK2
CDK8 knockdown 129 GSE30816	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	KMT2A;CHD9
ABL1 knockdown 137 GSE31534	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CHD9;USP12
AKT1 knockdown 141 GSE31912	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	KMT2A;CHD9
RET mutant 23 GDS3319	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	UIMC1;NAP1L1
TRIM24 knockout 300 GSE19675	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ARRB1;STK4
TGFBR2 knockout 294 GSE36778	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	PRKAB2;PRKCB
CDK19 knockdown 162 GSE38061	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	APOBEC3C;CDH1
CDK8 knockdown 161 GSE38061	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	APOBEC3C;JARID2
CDK8 knockdown 163 GSE38061	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	ZMYND8;JARID2
IGF1R druginhibition 47 GSE14024	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	PRKCB;NAP1L1
MAPK14 knockdown 101 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	CTR9;EP300
MET knockdown 254 GSE38343	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	VDR;PRKCB
BMPR1A knockout 222 GSE48092	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	USP12;STK4
TRPM7 overexpression 305 GSE23102	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	NAP1L1;ACTR3B
CDK8 knockdown 88 GSE27869	2/300	0.07846140899157186	0.2385867334641675	0	0	4.552418421661653	11.586580372222294	UIMC1;TLK1
BRAF druginhibition 175 GSE42872	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	TET2
HIPK2 overexpression 28 GDS4233	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	ARRB1
BRAF druginhibition 38 GDS5085	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	TET2
IRAK2 knockout 39 GSE10765	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	CTR9
VRK1 knockout 64 GSE19329	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	CHD9
AURKA druginhibition 196 GSE57810	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	PRKAB2
HUNK knockout 240 GSE14226	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	PRKCD
TGFBR2 knockout 295 GSE45968	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	KDM3A
TGFBR2 knockout 296 GSE22989	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	ZBTB16
AKT1 knockdown 43 GSE12291	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	STK4
AURKA knockdown 89 GSE27869	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	TLK1
CHEK1 knockdown 95 GSE27869	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	APOBEC3C
RAF1 activemutant 219 GSE42964	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	PRKCD
CDK4 knockdown 225 GSE8866	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	NAP1L1
IGF1R druginhibition 46 GSE14024	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	KDM3A
IRAK4 defectivemutant 200 GSE6789	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	TET2
ERBB2 knockdown 233 GSE8373	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	TLK1
GSK3B knockdown 202 GDS4305	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	NAP1L1
ERBB2 knockdown 235 GSE8373	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	NAP1L1
ERBB2 knockdown 238 GSE8373	1/300	0.37429501168799834	0.37429501168799834	0	0	2.192865105908584	2.154952641801991	NAP1L1
