Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GPR31 knockdown 96h HA1E	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	ATF7IP;PRKAB2;GFI1B;USP12
RPS6KA3 knockdown 96h HCC515	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	TLE4;PRKAB2;CHD9;STK4
FZD2 knockdown 96h HEPG2	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	ZMYND8;UIMC1;PRKCD;PADI4
KCNK2 knockdown 96h HEPG2	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	ATF7IP;HDAC5;KAT6A;NAP1L1
GABRP knockdown 96h HT29	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	EP300;TLK1;ARRB1;ACTR3B
HCN3 knockdown 96h HT29	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	EP300;TLK1;ARRB1;ACTR3B
PRKCD knockdown 96h HT29	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	GFI1B;VDR;PRKCD;PADI4
AGTR1 knockdown 96h MCF7	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	APOBEC3C;KAT6A;TLK1;PADI4
GPR126 knockdown 96h MCF7	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	APOBEC3C;KAT6A;TLK1;ARRB1
IKBKB knockdown 96h MCF7	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	KAT6A;TLK1;PADI4;JAK2
GPR142 knockdown 96h PC3	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	PRKAB2;CHD9;MAX;EP300
MYLK knockdown 96h PC3	4/300	0.0011343795959112971	0.15096701788919514	0	0	9.846346346346346	66.77466561077695	MBD5;CHD9;KAT6A;JAK2
CLK2 knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	ATF7IP;UIMC1;PADI4
LPHN2 knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	ATF7IP;GFI1B;PADI4
MAP4K4 knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	KDM3A;KAT6A;STK4
MRGPRD knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	ATF7IP;GFI1B;ARRB1
PPARD knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	GFI1B;UIMC1;PADI4
RIPK4 knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	MAX;ZMYND8;ARRB1
RPS6KA2 knockdown 96h A375	3/300	0.011011353234456199	0.23138330415034936	0	0	7.096681096681096	31.997717460548696	CTR9;UIMC1;TLK1
