Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
STK38 knockdown 96h HA1E	4/300	0.0011343795959112971	0.37429501168799834	0	0	9.846346346346346	66.77466561077695	ATF7IP;CHD9;PADI4;JAK2
TNIK knockdown 96h HA1E	4/300	0.0011343795959112971	0.37429501168799834	0	0	9.846346346346346	66.77466561077695	KDM3A;ZMYND8;EP300;JAK2
ADORA2A knockdown 96h A375	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	KDM3A;MAX;STK4
MAP4K3 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	ATF7IP;CHD9;PADI4
MRGPRX1 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;ATF7IP;NAP1L1
MRGPRX3 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;ATF7IP;NAP1L1
FES knockdown 96h A375	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	KDM3A;MAX;STK4
PRKCQ knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;ATF7IP;NAP1L1
ULK1 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	PRKAB2;PADI4;JAK2
O3FAR1 knockdown 96h A375	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;MAX;STK4
PAK4 knockdown 96h A375	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	CHD9;KAT6A;EP300
GPR101 knockdown 96h HT29	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	EP300;STK4;JAK2
GPR64 knockdown 96h HT29	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	PRKAB2;MBD5;VDR
PBK knockdown 96h HT29	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	CHD9;ZMYND8;EP300
RPS6KA2 knockdown 96h HT29	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	PRKAB2;GFI1B;MAX
TYK2 knockdown 96h HT29	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	ATF7IP;ZMYND8;PADI4
KCNMA1 knockdown 96h A549	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	APOBEC3C;CHD9;ZMYND8
AKT1 knockdown 96h HA1E	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	PRKAB2;CHD9;STK4
BDKRB2 knockdown 96h HA1E	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	KDM3A;EP300;ACTR3B
CLIC4 knockdown 96h HA1E	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	APOBEC3C;MBD5;ZMYND8
FLT4 knockdown 96h PC3	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	KDM3A;PRKAB2;EP300
CD97 knockdown 96h HCC515	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;UIMC1;PADI4
PTK2 knockdown 96h PC3	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	ATF7IP;MAX;EP300
GPR111 knockdown 96h HCC515	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	PRKCB;PRKCD;EP300
ACVR1 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	TLE4;ATF7IP;NAP1L1
GPR150 knockdown 96h HEPG2	3/300	0.011011353234456199	0.37429501168799834	0	0	7.096681096681096	31.997717460548696	ATF7IP;MAX;NAP1L1
AKT3 knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	HDAC5;KDM3A
MAST4 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	TLE4;ATF7IP
MERTK knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	PRKAB2;PADI4
CASK knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	VDR;ZMYND8
MRGPRX2 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	PRKAB2;PADI4
MYLK2 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	ATF7IP;PADI4
CDK5 knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	APOBEC3C;CHD9
NEK9 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	ATF7IP;NAP1L1
NR0B1 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	MBD5;MAX
CHRM3 knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	EP300;PADI4
CLK4 knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	KAT6A;USP12
OR10Z1 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	ATF7IP;JAK2
ESRRA knockdown 96h A375	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	ATF7IP;VDR
PRKAA1 knockdown 96h HEPG2	2/300	0.07846140899157186	0.37429501168799834	0	0	4.552418421661653	11.586580372222294	PADI4;JAK2
