Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
p53 Pathway	2/200	0.0382674239788824	0.18940798360458863	0	0	6.886450714036921	22.47156498788087	VDR;ZBTB16
Estrogen Response Late	2/200	0.0382674239788824	0.18940798360458863	0	0	6.886450714036921	22.47156498788087	CDH1;JAK2
Allograft Rejection	2/200	0.0382674239788824	0.18940798360458863	0	0	6.886450714036921	22.47156498788087	PRKCB;JAK2
Complement	2/200	0.0382674239788824	0.18940798360458863	0	0	6.886450714036921	22.47156498788087	PRKCD;JAK2
Notch Signaling	1/32	0.048463062337042354	0.18940798360458863	0	0	21.438709677419354	64.89397456016435	ARRB1
Pancreas Beta Cells	1/40	0.06021903535976484	0.18940798360458863	0	0	17.034188034188034	47.86209557175929	VDR
Wnt-beta Catenin Signaling	1/42	0.06313599453486288	0.18940798360458863	0	0	16.201626016260164	44.75641243015854	HDAC5
TGF-beta Signaling	1/54	0.08045462435891494	0.21119338894215173	0	0	12.525786163522012	31.56575680442027	CDH1
PI3K/AKT/mTOR  Signaling	1/105	0.15066458849071662	0.2678682819607093	0	0	6.36698717948718	12.05079142079369	PRKCB
Spermatogenesis	1/135	0.18951063804745089	0.2678682819607093	0	0	4.9340796019900495	8.2069045278778	TLE4
UV Response Up	1/158	0.21812253146227972	0.2678682819607093	0	0	4.206369426751593	6.405031588611805	PRKCD
Mitotic Spindle	1/199	0.266720277449934	0.2678682819607093	0	0	3.3284511784511785	4.39873069718801	TLK1
Hypoxia	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	KDM3A
Estrogen Response Early	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	JAK2
Myogenesis	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	HDAC5
KRAS Signaling Up	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	USP12
KRAS Signaling Dn	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	ZBTB16
Interferon Gamma Response	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	JAK2
Apical Junction	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	CDH1
E2F Targets	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	NAP1L1
Myc Targets V1	1/200	0.2678682819607093	0.2678682819607093	0	0	3.3115577889447234	4.362182296847866	NAP1L1
