Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IFN-gamma pathway Homo sapiens 51b1ed75-6193-11e5-8ac5-06603eb7f303	3/40	3.204173532237099E-5	0.0017049739829356468	0	0	57.71814671814672	597.2945834229336	PRKCD;EP300;JAK2
PAR1-mediated thrombin signaling events Homo sapiens be5084c0-6194-11e5-8ac5-06603eb7f303	3/43	3.989725268674927E-5	0.0017049739829356468	0	0	53.38125	540.7095225232104	PRKCB;PRKCD;ARRB1
Role of Calcineurin-dependent NFAT signaling in lymphocytes Homo sapiens 61bdd46d-6195-11e5-8ac5-06603eb7f303	3/53	7.494391133783063E-5	0.0017049739829356468	0	0	42.683571428571426	405.4414522377655	PRKCB;PRKCD;EP300
Validated transcriptional targets of TAp63 isoforms Homo sapiens 82e8ee19-6196-11e5-8ac5-06603eb7f303	3/53	7.494391133783063E-5	0.0017049739829356468	0	0	42.683571428571426	405.4414522377655	VDR;PRKCD;EP300
Endothelins Homo sapiens dfb9dc47-6191-11e5-8ac5-06603eb7f303	3/63	1.2571742449178627E-4	0.0021902563116487344	0	0	35.551785714285714	319.3074330847752	PRKCB;PRKCD;JAK2
Signaling events mediated by HDAC Class I Homo sapiens 97e84126-6195-11e5-8ac5-06603eb7f303	3/66	1.4441250406475173E-4	0.0021902563116487344	0	0	33.85374149659864	299.36310916057425	HDAC5;MAX;EP300
Regulation of nuclear beta catenin signaling and target gene transcription Homo sapiens 1590a3b3-6195-11e5-8ac5-06603eb7f303	3/79	2.461854495432418E-4	0.003015041195380418	0	0	28.044642857142858	233.0348689842017	TLE4;CDH1;EP300
Regulation of nuclear SMAD2/3 signaling Homo sapiens 246aac04-6195-11e5-8ac5-06603eb7f303	3/81	2.650585666268499E-4	0.003015041195380418	0	0	27.322802197802197	225.0185700444602	MAX;VDR;EP300
Retinoic acid receptors-mediated signaling Homo sapiens 5797691b-6195-11e5-8ac5-06603eb7f303	2/28	8.570688316410276E-4	0.007799326367933351	0	0	52.89920424403183	373.5737744029888	VDR;EP300
IL8- and CXCR1-mediated signaling events Homo sapiens f6a58ef3-6193-11e5-8ac5-06603eb7f303	2/28	8.570688316410276E-4	0.007799326367933351	0	0	52.89920424403183	373.5737744029888	PRKCB;ARRB1
IL8- and CXCR2-mediated signaling events Homo sapiens fe78e284-6193-11e5-8ac5-06603eb7f303	2/34	0.0012646591825652726	0.01046218051031271	0	0	42.9676724137931	286.72124195111644	PRKCB;ARRB1
IL6-mediated signaling events Homo sapiens e684d5d2-6193-11e5-8ac5-06603eb7f303	2/46	0.0023063632118604876	0.017489921023275363	0	0	31.230407523510973	189.63363791906963	PRKCD;JAK2
Notch-mediated HES/HEY network Homo sapiens 8ee56389-6194-11e5-8ac5-06603eb7f303	2/48	0.0025087632834003815	0.017561342983802672	0	0	29.869565217391305	178.85792193078825	EP300;JAK2
Thromboxane A2 receptor signaling Homo sapiens 27d5800d-6196-11e5-8ac5-06603eb7f303	2/56	0.003398799697079565	0.021348619919567293	0	0	25.434227330779056	144.5766162187934	PRKCB;PRKCD
p53 pathway Homo sapiens a0de862d-6194-11e5-8ac5-06603eb7f303	2/57	0.003519003283445158	0.021348619919567293	0	0	24.9705329153605	141.07296061152428	PRKCD;EP300
