Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL4374 (PAPOLA)	2/31	0.0010512841071621476	0.16501143310227231	0	0	47.41973840665874	325.1923745116612	EP300;STK4
BL2796 (CKLF)	2/36	0.0014174693130427694	0.16501143310227231	0	0	40.436105476673426	265.2156512854863	ATF7IP;JARID2
a-ATR (YW) (ATR)	4/319	0.0014225123543299338	0.16501143310227231	0	0	9.2435038212816	60.59422444046951	CHD9;ZMYND8;EP300;STK4
BL1213 (AURKC)	3/163	0.0020202124331984415	0.1757584816882644	0	0	13.264955357142858	82.3031133581374	ZMYND8;EP300;STK4
BL8402 (RAB3GAP1)	2/86	0.007837281084236711	0.4212430581767011	0	0	16.325944170771756	79.16227161319938	ATF7IP;ZMYND8
BL2839 (UIMC1)	3/289	0.009953450284724387	0.4212430581767011	0	0	7.373751248751248	33.991784150571384	ZMYND8;UIMC1;EP300
BL1121 (SMC6)	2/99	0.01027285049437953	0.4212430581767011	0	0	14.128688233202986	64.68467733221605	CHD9;EP300
SC-585 (EP300)	2/104	0.011288023602032479	0.4212430581767011	0	0	13.432724814063556	60.232512336226115	ATF7IP;EP300
BL8514 (CKAP2)	3/310	0.012027823320641578	0.4212430581767011	0	0	6.8620288506281995	30.333822942920527	UIMC1;ARRB1;STK4
BL5930 (SPAG5)	3/327	0.013876884925764027	0.4212430581767011	0	0	6.4963624338624335	27.788390256350578	ATF7IP;ZMYND8;NAP1L1
BL4172 (NCRNA00153)	2/127	0.016495085178776226	0.4212430581767011	0	0	10.948413793103448	44.939875381836224	ZMYND8;CTR9
BL1551 (HIPK2)	2/132	0.017739783250801607	0.4212430581767011	0	0	10.524668435013263	42.43488974899699	ATF7IP;CHD9
BL2194 (USP4)	3/361	0.01803919711911168	0.4212430581767011	0	0	5.869213886671988	23.566116141625756	ATF7IP;NAP1L1;STK4
BL8346 (KIAA1688)	2/138	0.019284629680575944	0.4212430581767011	0	0	10.057302231237323	39.710723716371405	ZMYND8;NAP1L1
BL2250 (HPS5)	2/147	0.02170437112711439	0.4212430581767011	0	0	9.428775267538644	36.114487307242925	ATF7IP;STK4
BL2291 (BTBD12)	3/435	0.029274405737391124	0.4212430581767011	0	0	4.845486111111111	17.109613365014905	KDM3A;ZMYND8;TLK1
BL443 (EP300)	2/179	0.03125330916806932	0.4212430581767011	0	0	7.711669588934346	26.725793593388094	ZMYND8;EP300
BL8293 (NOTCH2)	1/22	0.03356785849795628	0.4212430581767011	0	0	31.663492063492065	107.4717897739846	ATF7IP
BL3467 (SUPT6H)	2/190	0.03485710177376617	0.4212430581767011	0	0	7.256419662509171	24.35616085172739	ZMYND8;UIMC1
BL4783 (AKT1S1)	2/191	0.03519246550954941	0.4212430581767011	0	0	7.217661010764459	24.156957572511192	UIMC1;STK4
BL4675 (DBF4)	2/199	0.037920776454631995	0.4212430581767011	0	0	6.921757395413968	22.649763037618957	UIMC1;PRKCD
BL1732 (SPEN)	2/212	0.042522020870896536	0.4212430581767011	0	0	6.488998357963875	20.49052554384947	ATF7IP;ZMYND8
BL3413 (RAD52)	1/29	0.04401798665976609	0.4212430581767011	0	0	23.739285714285714	74.14151494993529	ARRB1
BL5424 (ERCC3)	2/217	0.04434533783208595	0.4212430581767011	0	0	6.336487570168404	19.74289655961879	ARRB1;NAP1L1
BL4419 (FAM91A1)	2/219	0.04508280439891636	0.4212430581767011	0	0	6.2774511361830605	19.455417943891355	ATF7IP;UIMC1
BL4982 (RBM5)	1/31	0.04698359743176254	0.4212430581767011	0	0	22.154444444444444	67.74733246608147	JARID2
SC-8987 (HNF4A)	2/227	0.04807834351301293	0.4212430581767011	0	0	6.051800766283525	18.36675201234952	ZMYND8;TLK1
BL809 (PRKAA1)	2/233	0.050372024444738525	0.4212430581767011	0	0	5.892819823854307	17.609627379312354	ATF7IP;PRKAB2
BL1780 (C21orf7)	2/247	0.05587536903273211	0.4212430581767011	0	0	5.552146375791696	16.015897002569712	ATF7IP;ZBTB16
BL6691 (KDM5D)	1/38	0.05729328816000485	0.4212430581767011	0	0	17.956756756756757	51.348635190815486	ZMYND8
BL1112 (CENPH)	1/38	0.05729328816000485	0.4212430581767011	0	0	17.956756756756757	51.348635190815486	NAP1L1
BL2130 (RBM15)	2/251	0.05748553621896573	0.4212430581767011	0	0	5.461847389558233	15.600248165869393	CHD9;MAX
BL1002 (ATF7IP)	2/254	0.05870389160135887	0.4212430581767011	0	0	5.396004378762999	15.29901741051274	ATF7IP;ZMYND8
BL9055 (CUL2)	1/39	0.05875726186108227	0.4212430581767011	0	0	17.483333333333334	49.55372022159112	NAP1L1
BL7379 (UFD1L)	1/40	0.06021903535976484	0.4212430581767011	0	0	17.034188034188034	47.86209557175929	STK4
BL2667 (HDAC2)	2/260	0.06116773920371686	0.4212430581767011	0	0	5.268912055600107	14.722053513018606	MAX;ZMYND8
BL863 (ST14)	1/41	0.0616786118590254	0.4212430581767011	0	0	16.6075	46.2654733568564	JARID2
BL2239 (KIAA1429)	1/43	0.06459118658971515	0.4212430581767011	0	0	15.815079365079365	43.328214060740166	STK4
BL4928 (TRIM37)	1/43	0.06459118658971515	0.4212430581767011	0	0	15.815079365079365	43.328214060740166	ATF7IP
BL1116 (CENPJ)	1/46	0.06894365075528797	0.4212430581767011	0	0	14.75851851851852	39.471152501452366	UIMC1
BL3924 (PPP3CA)	1/46	0.06894365075528797	0.4212430581767011	0	0	14.75851851851852	39.471152501452366	ATF7IP
BL4731 (ATXN2)	1/46	0.06894365075528797	0.4212430581767011	0	0	14.75851851851852	39.471152501452366	STK4
BL4578 (BTAF1)	1/47	0.07039011205855722	0.4212430581767011	0	0	14.43695652173913	38.311387316676615	JARID2
BL7980 (UVRAG)	1/49	0.0732765135248936	0.4212430581767011	0	0	13.834027777777777	36.15544100556018	ZMYND8
BL540 (SETDB1)	1/52	0.0775898601982381	0.4212430581767011	0	0	13.018300653594771	33.27892316228608	ATF7IP
BL996 (INTS1)	2/307	0.08163240036971713	0.4212430581767011	0	0	4.446353872244206	11.140468715527668	ZMYND8;STK4
BL6912 (CEP152)	1/57	0.08473563284794243	0.4212430581767011	0	0	11.852976190476191	29.2557418815663	TET2
BL8964 (DGCR8)	1/59	0.08757891647548653	0.4212430581767011	0	0	11.443103448275862	27.86641704377016	UIMC1
BL4268 (PPP2R3B)	1/59	0.08757891647548653	0.4212430581767011	0	0	11.443103448275862	27.86641704377016	ZMYND8
BL2385 (ERCC4)	2/325	0.08996708661763615	0.4212430581767011	0	0	4.194726166328601	10.102206761457223	ZMYND8;UIMC1
BL8507 (BOP1)	1/61	0.09041365153331592	0.4212430581767011	0	0	11.060555555555556	26.582496915567003	UIMC1
BL2400 (DDB2)	2/327	0.0909086198991798	0.4212430581767011	0	0	4.168488063660478	9.995619420014958	CHD9;UIMC1
BL552 (H2AFX)	1/62	0.09182782112653406	0.4212430581767011	0	0	10.878688524590164	25.97656722459872	NAP1L1
BL1035 (KDM1)	2/333	0.09375108154055138	0.4212430581767011	0	0	4.091676216272528	9.685456189845006	ZMYND8;NAP1L1
BL3816 (C12orf5)	1/64	0.09464977990360633	0.4212430581767011	0	0	10.532275132275132	24.830594069685887	NAP1L1
SC-25378 (KAT5)	1/65	0.09605757528589014	0.4212430581767011	0	0	10.3671875	24.288324885251964	CHD9
BL3624 (DTX3L)	1/66	0.09746325210209762	0.4212430581767011	0	0	10.207179487179488	23.765170565615563	KDM3A
EPI-1114-1 (EGFR)	1/66	0.09746325210209762	0.4212430581767011	0	0	10.207179487179488	23.765170565615563	ATF7IP
BL2533 (OBFC1)	2/341	0.09758174155475688	0.4212430581767011	0	0	3.99348998067338	9.293110271865316	ZMYND8;NAP1L1
BL6657 (GRLF1)	2/341	0.09758174155475688	0.4212430581767011	0	0	3.99348998067338	9.293110271865316	CTR9;TLK1
