Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EP300	7/357	9.898241755962845E-7	2.0885290105081603E-4	0	0	16.349166666666665	226.03930318971533	MAX;CDH1;VDR;ZBTB16;PRKCD;EP300;NAP1L1
PPP2CA	5/184	8.733389194005824E-6	5.663023042016515E-4	0	0	21.261280618822518	247.65898776771618	HDAC5;VDR;PRKCB;PRKCD;JAK2
TP53	7/502	9.382956623384346E-6	5.663023042016515E-4	0	0	11.474579124579124	132.83679215098493	VDR;PRKCB;PRKCD;EP300;NAP1L1;PADI4;STK4
STAT3	5/192	1.0735588705244578E-5	5.663023042016515E-4	0	0	20.3434800493624	232.7690060426795	PRKCB;CTR9;PRKCD;EP300;JAK2
UBC	7/540	1.5061850211317596E-5	6.356100789176026E-4	0	0	10.635709818636649	118.09196061730601	HDAC5;CDH1;PRKCB;ZBTB16;UIMC1;ARRB1;JAK2
HIST1H3A	4/122	3.650183917744222E-5	0.0012836480110733847	0	0	24.922787193973633	254.66472588301446	PRKCD;EP300;TLK1;JAK2
STAT1	4/139	6.0760547847160115E-5	0.0017414223636445594	0	0	21.765706447187927	211.31388167533805	VDR;PRKCD;EP300;JAK2
NCOR1	4/142	6.602549246045723E-5	0.0017414223636445594	0	0	21.289318303811058	204.91968701330507	HDAC5;VDR;ZBTB16;EP300
CSNK2A2	5/289	7.598396432707962E-5	0.0017814018303348666	0	0	13.329496208017336	126.43011472001226	MAX;CDH1;VDR;CTR9;STK4
PRKDC	5/296	8.506383546320155E-5	0.0017948469282735528	0	0	13.004229447528417	121.87705035400491	KDM3A;PRKAB2;PRKCB;ZMYND8;PRKCD
IRS1	4/157	9.747728845088383E-5	0.001869791623921499	0	0	19.187605906560155	177.21463950649252	CDH1;PRKCB;PRKCD;JAK2
SRC	6/513	1.1797821224498292E-4	0.0019623153925792157	0	0	9.212781065088757	83.32970232046787	CDH1;VDR;PRKCD;EP300;ARRB1;JAK2
RAF1	4/166	1.2090094835796117E-4	0.0019623153925792157	0	0	18.11339734796525	163.39260640685646	PRKCB;PRKCD;ARRB1;JAK2
