Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chromatin organization Homo sapiens R-HSA-4839726	7/226	4.475373756157737E-8	5.817985883005058E-6	0	0	26.303272450532724	445.1063667121204	ATF7IP;KDM3A;KMT2A;KAT6A;EP300;PADI4;JAK2
Chromatin modifying enzymes Homo sapiens R-HSA-3247509	7/226	4.475373756157737E-8	5.817985883005058E-6	0	0	26.303272450532724	445.1063667121204	ATF7IP;KDM3A;KMT2A;KAT6A;EP300;PADI4;JAK2
Signaling by NOTCH1 Homo sapiens R-HSA-1980143	4/72	4.512632049414161E-6	3.91094777615894E-4	0	0	43.35729847494554	533.6689435008897	TLE4;HDAC5;EP300;ARRB1
Signaling by NOTCH Homo sapiens R-HSA-157118	4/122	3.650183917744222E-5	0.0023726195465337443	0	0	24.922787193973633	254.66472588301446	TLE4;HDAC5;EP300;ARRB1
NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947	3/47	5.220207166061507E-5	0.0027145077263519835	0	0	48.51866883116883	478.41291820446094	TLE4;HDAC5;EP300
VEGFR2 mediated cell proliferation Homo sapiens R-HSA-5218921	4/248	5.579708943534895E-4	0.01954502995227543	0	0	11.97632058287796	89.71705775268006	PRKCB;PRKCD;ARRB1;JAK2
Regulation of TP53 Activity through Acetylation Homo sapiens R-HSA-6804758	2/23	5.764206322992976E-4	0.01954502995227543	0	0	65.51067323481116	488.6226830761787	KAT6A;EP300
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	4/253	6.013855369930901E-4	0.01954502995227543	0	0	11.732857355347315	87.01408889940916	PRKCB;PRKCD;ARRB1;JAK2
Epigenetic regulation of gene expression Homo sapiens R-HSA-212165	3/115	7.402106416461262E-4	0.02071206199968354	0	0	18.995854591836736	136.93305697776066	TET2;EP300;JARID2
RORA activates gene expression Homo sapiens R-HSA-1368082	2/27	7.966177692185978E-4	0.02071206199968354	0	0	55.01793103448276	392.5603973248657	CHD9;EP300
VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097	4/320	0.0014389658595850363	0.02814837297322373	0	0	9.213783403656821	60.2934375616888	PRKCB;PRKCD;ARRB1;JAK2
Hemostasis Homo sapiens R-HSA-109582	5/552	0.00147511724905112	0.02814837297322373	0	0	6.828153564899451	44.5128546407331	PRKCB;PRKCD;EP300;ARRB1;JAK2
Apoptotic cleavage of cellular proteins Homo sapiens R-HSA-111465	2/37	0.0014970235354745522	0.02814837297322373	0	0	39.278817733990145	255.48028924599194	CDH1;PRKCD
Signaling by VEGF Homo sapiens R-HSA-194138	4/328	0.0015754278955615439	0.02814837297322373	0	0	8.98262459990855	57.966927850226675	PRKCB;PRKCD;ARRB1;JAK2
