Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
up HS+LS 30min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	4/86	9.17488712659463E-6	3.4783367195400657E-4	0	0	35.929539295392956	416.7481802255752	PRKAB2;PRKCD;TLK1;STK4
up HS+LS 90min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	4/92	1.1994264550138158E-5	3.4783367195400657E-4	0	0	33.46969696969697	379.2478800951927	PRKAB2;PRKCD;TLK1;STK4
down HS+LS 3min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	3/65	1.379928839542096E-4	0.002667862423114719	0	0	34.401497695852534	305.7711223078785	PRKAB2;PRKCD;TLK1
up HS+LS 3min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	3/81	2.650585666268499E-4	0.0038433492160893238	0	0	27.322802197802197	225.0185700444602	PRKAB2;PRKCD;STK4
up HS+LS 10min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	3/90	3.615427060244141E-4	0.004193895389883203	0	0	24.485221674876847	194.0485743458484	PRKAB2;PRKCD;STK4
up Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	6/837	0.001583365954664224	0.015305870895087498	0	0	5.527220216606498	35.64063437238993	ATF7IP;CHD9;ZMYND8;UIMC1;NAP1L1;STK4
down 3min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/46	0.0023063632118604876	0.01894425712756807	0	0	31.230407523510973	189.63363791906963	PRKCD;STK4
down 2min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/49	0.002613000983112837	0.01894425712756807	0	0	29.23257520176082	173.85360581456808	PRKCD;STK4
down 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	6/958	0.003127079202923429	0.020152288196617654	0	0	4.794201680672269	27.651305475571103	TLE4;ATF7IP;ZMYND8;CTR9;PRKCD;ARRB1
down 5min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/61	0.0040194437674711024	0.023312773851332392	0	0	23.272939801285798	128.38777321660814	PRKCD;STK4
up 240min BMP4 vs ctrl hESC (Human) [19664995]	3/229	0.005257024260417237	0.027077922038452495	0	0	9.359829329962073	49.12216402290014	TLE4;CTR9;TLK1
down HS 30min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	2/75	0.006013544320434341	0.027077922038452495	0	0	18.796410014171	96.11997192358464	PRKCD;TLK1
up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	6/1098	0.0060960274510593136	0.027077922038452495	0	0	4.148791208791208	21.15932454579702	PRKAB2;MBD5;ZMYND8;CTR9;TLK1;STK4
down 30min BMP4 vs ctrl hESC (Human) [19664995]	4/488	0.006536050147212671	0.027077922038452495	0	0	5.964187327823692	30.00238063103871	ZMYND8;CTR9;EP300;NAP1L1
down HS 3min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	2/83	0.007317980393162851	0.028296190853563025	0	0	16.933163048105577	83.26748973447718	PRKCD;TLK1
down 4h cisplatin vs ctrl mESC (Mouse) [22006019]	4/535	0.00898566305176387	0.03257302856264403	0	0	5.423170816767803	25.554658600893077	ATF7IP;HDAC5;CDH1;TET2
down 240min BMP4 vs ctrl hESC (Human) [19664995]	4/610	0.014028843552892075	0.047863113298102375	0	0	4.733651142892067	20.196784436589084	ZMYND8;EP300;NAP1L1;JARID2
up G1-phase HeLa (Human) [18669648]	6/1554	0.029848949936797223	0.09540483851305373	0	0	2.855968992248062	10.029036757323889	ATF7IP;PRKAB2;PRKCD;TLK1;NAP1L1;STK4
up 60min BMP4 vs ctrl hESC (Human) [19664995]	2/179	0.03125330916806932	0.09540483851305373	0	0	7.711669588934346	26.725793593388094	TLE4;JARID2
down 10uM erlotinib vs ctrl KG-1 (Human) [22115753]	1/26	0.03955281953600642	0.10573728158089811	0	0	26.592	85.8953057509563	PRKCD
down 10uM gefitinib vs ctrl KG-1 (Human) [22115753]	1/26	0.03955281953600642	0.10573728158089811	0	0	26.592	85.8953057509563	PRKCD
up Rapamycin vs Ctrl Exp2 MEFs (Mouse) [21659605]	4/844	0.040107244737582044	0.10573728158089811	0	0	3.373721340388007	10.850556820113562	ATF7IP;ZMYND8;CTR9;PRKCD
down 60min BMP4 vs ctrl hESC (Human) [19664995]	3/561	0.055226134170828514	0.13926590356121973	0	0	3.7271505376344085	10.795016890486355	ZMYND8;EP300;NAP1L1
down 0min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	1/47	0.07039011205855722	0.1701094374748466	0	0	14.43695652173913	38.311387316676615	PRKCD
down 7min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	1/50	0.07471646000262763	0.1733421872060961	0	0	13.551020408163266	35.15209038871121	STK4
down HS+LS 10min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	1/56	0.0833107775481581	0.18363158848392833	0	0	12.069090909090908	29.993831432939842	TLK1
down HS+LS 30min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	1/58	0.08615834477824497	0.18363158848392833	0	0	11.644444444444444	28.547152703267713	PRKAB2
