Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
H322 Nuclear N4 30609389	11/893	4.924203295163264E-8	2.2651335157751015E-6	0	0	11.90232426303855	200.27467642816984	TLE4;ATF7IP;KDM3A;MBD5;CHD9;MAX;CTR9;TET2;EP300;TLK1;PADI4
HCC827 Nuclear N4 30609389	9/981	1.2008940896944335E-5	2.678266334095608E-4	0	0	7.99537037037037	90.58641983545127	ATF7IP;KDM3A;MBD5;CHD9;MAX;CTR9;TET2;EP300;TLK1
MCF7 Nuclear N4 30609389	9/1028	1.746695435279744E-5	2.678266334095608E-4	0	0	7.607725934516906	83.34415752110121	TLE4;ATF7IP;KDM3A;CHD9;MAX;CTR9;TET2;EP300;TLK1
U251 Nuclear N4 30609389	8/903	5.224044572804426E-5	6.00765125872509E-4	0	0	7.412776293417537	73.08740602795392	TLE4;ATF7IP;KDM3A;MAX;CTR9;TET2;EP300;TLK1
A431 Nuclear N4 30609389	7/884	3.334123699967019E-4	0.003067393803969657	0	0	6.349486887115165	50.83482053590591	ATF7IP;KDM3A;CHD9;CTR9;TET2;EP300;TLK1
MCF7 Nuclear N3 30609389	2/236	0.05153366643125606	0.3238790525807231	0	0	5.816386678455644	17.24861083529349	KMT2A;KAT6A
A431 Nuclear N1 30609389	3/598	0.06441584783450424	0.3238790525807231	0	0	3.4887154861944776	9.56743797024079	APOBEC3C;ZMYND8;JARID2
H322 Nuclear N1 30609389	3/620	0.07020021207900981	0.3238790525807231	0	0	3.3605001157675387	8.926845771037158	APOBEC3C;UIMC1;JARID2
H322 Nuclear N3 30609389	2/286	0.0722440789892176	0.3238790525807231	0	0	4.780233122875182	12.561042033841904	KMT2A;KAT6A
U251 Nuclear N3 30609389	2/291	0.07444505238615763	0.3238790525807231	0	0	4.696336952630951	12.199646218561506	KMT2A;KAT6A
HCC827 Nuclear N1 30609389	3/663	0.0821694446200343	0.3238790525807231	0	0	3.134577922077922	7.833221725524164	APOBEC3C;UIMC1;JARID2
U251 Nuclear N1 30609389	3/671	0.08449018762975384	0.3238790525807231	0	0	3.095754918733961	7.64998150498478	APOBEC3C;ZMYND8;JARID2
A431 Nuclear N3 30609389	2/349	0.1014574315457957	0.35900321931589246	0	0	3.899831064294942	8.923265707737436	KMT2A;KAT6A
MCF7 Nuclear N1 30609389	3/760	0.11216641187301084	0.3685467818684642	0	0	2.7191923004340444	5.948971934912057	ZMYND8;UIMC1;JARID2
HCC827 Cytosol C2 30609389	3/897	0.16059010671339188	0.4924763272544018	0	0	2.286073825503356	4.1810006055509445	HDAC5;VDR;ACTR3B
A431 Cytosol Unclassified 30609389	6/2549	0.195458818270645	0.5619441025281044	0	0	1.6446087298466379	2.684668451036369	PRKAB2;MBD5;PRKCD;ARRB1;NAP1L1;STK4
U251 Cytosol Unclassified 30609389	6/2632	0.21630617623188989	0.582038802687135	0	0	1.585041888804265	2.426794856279502	PRKAB2;PRKCD;ARRB1;NAP1L1;STK4;ACTR3B
HCC827 Secretory S4 30609389	1/189	0.2551440019839143	0.582038802687135	0	0	3.5072695035460995	4.790674740907671	CDH1
U251 Nuclear Unclassified 30609389	2/646	0.2646845545472974	0.582038802687135	0	0	2.0695009638038124	2.750814873871822	CHD9;UIMC1
MCF7 Cytosol Unclassified 30609389	6/2871	0.28056296031233763	0.582038802687135	0	0	1.4327958115183246	1.821022040683847	PRKAB2;PRKCD;ARRB1;NAP1L1;STK4;ACTR3B
A431 Mitochondria M2 30609389	1/216	0.28600151999716633	0.582038802687135	0	0	3.0626356589147288	3.833679157249421	CDH1
H322 Cytosol C5 30609389	1/219	0.2893527691140469	0.582038802687135	0	0	3.020030581039755	3.745166140096708	ARRB1
HCC827 Nuclear N3 30609389	1/246	0.3188368749405083	0.582038802687135	0	0	2.6835374149659863	3.067486330759252	KAT6A
HCC827 Cytosol C5 30609389	1/250	0.3231029406632129	0.582038802687135	0	0	2.639892904953146	2.9825095703436	ARRB1
HCC827 Nuclear N2 30609389	1/262	0.33574657479671427	0.582038802687135	0	0	2.51698595146871	2.7470350576185636	ZMYND8
H322 Cytosol C2 30609389	2/786	0.34557856511232066	0.582038802687135	0	0	1.6876319493314567	1.7931684625645097	VDR;ACTR3B
H322 Cytosol Unclassified 30609389	5/2508	0.3473140067066681	0.582038802687135	0	0	1.3419281477611482	1.4191238926534557	HDAC5;PRKAB2;PRKCD;NAP1L1;STK4
H322 Secretory S4 30609389	1/280	0.35428448859216916	0.582038802687135	0	0	2.3524492234169654	2.4410308130262446	CDH1
H322 Nuclear N2 30609389	1/320	0.39370481545758024	0.5954686575011835	0	0	2.053291536050157	1.913983610133064	ZMYND8
MCF7 Unclassified Unclassified 30609389	2/878	0.39749217189705144	0.5954686575011835	0	0	1.5031491103763186	1.3867753640056075	MBD5;VDR
A431 Nuclear N2 30609389	1/331	0.40413049336693263	0.5954686575011835	0	0	1.9837373737373738	1.797300676410323	UIMC1
A431 Cytosol C2 30609389	1/352	0.4235543767214432	0.5954686575011835	0	0	1.8630579297245964	1.6005034630146704	HDAC5
A431 Cytosol C1 30609389	1/356	0.4271840369030229	0.5954686575011835	0	0	1.8416901408450703	1.5664317932560474	ACTR3B
HCC827 Nuclear Unclassified 30609389	1/449	0.5056018309560446	0.657794474291795	0	0	1.4524553571428571	0.9905829993133567	KMT2A
A431 Secretory Unclassified 30609389	2/1119	0.5240178281271781	0.657794474291795	0	0	1.16395517550088	0.7521822550033228	USP12;JAK2
U251 Cytosol C2 30609389	1/497	0.5419031737663542	0.657794474291795	0	0	1.3086693548387096	0.8017797573633746	VDR
A431 Nuclear Unclassified 30609389	1/500	0.5440842428987314	0.657794474291795	0	0	1.3006012024048097	0.791612464156124	MAX
HCC827 Cytosol Unclassified 30609389	4/2501	0.5540119337561419	0.657794474291795	0	0	1.0366217238463935	0.6121967081030506	PRKAB2;PRKCD;NAP1L1;STK4
HCC827 Secretory S1 30609389	1/531	0.5660415005123413	0.657794474291795	0	0	1.2225786163522012	0.6957546741442799	USP12
U251 Secretory Unclassified 30609389	2/1231	0.576893928709016	0.657794474291795	0	0	1.0515978788473948	0.5784806929944382	USP12;JAK2
H322 Secretory S1 30609389	1/562	0.5869737892068055	0.657794474291795	0	0	1.1531788472964943	0.6143849898344577	USP12
MCF7 Secretory S1 30609389	1/583	0.6005949547881606	0.657794474291795	0	0	1.1103665521191295	0.5661032022923634	USP12
H322 Secretory Unclassified 30609389	1/653	0.6429306519773407	0.6877862788594806	0	0	0.9875766871165644	0.4362308052660077	JAK2
U251 Unclassified Unclassified 30609389	1/942	0.7761435896255275	0.8013168654461095	0	0	0.6740347148423663	0.17081235259300154	HDAC5
MCF7 Secretory Unclassified 30609389	2/1808	0.7838969335885854	0.8013168654461095	0	0	0.6935884217359759	0.1688733341547264	CDH1;JAK2
HCC827 Secretory Unclassified 30609389	1/1326	0.8809539073474874	0.8809539073474874	0	0	0.4690314465408805	0.05944972317391775	JAK2
