Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human betaherpesvirus 6B Phosphotransferase (gene: U69)	9/489	3.624383851330495E-8	9.238554437041431E-5	0	0	16.60994318181818	284.57809743822804	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human gammaherpesvirus 4 BGLF4 protein (gene: BGLF4)	8/404	1.3583380401564758E-7	1.1541345547862856E-4	0	0	17.19191919191919	271.8357677242923	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;STK4;JAK2
Human herpesvirus 4 type 2 BGLF4	8/404	1.3583380401564758E-7	1.1541345547862856E-4	0	0	17.19191919191919	271.8357677242923	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;STK4;JAK2
Macacine alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	10/833	2.9755756977404274E-7	1.8961856133850873E-4	0	0	11.077937858010761	166.4754627918984	PRKAB2;PRKCB;ZMYND8;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	10/872	4.535655734036765E-7	2.3122772932119429E-4	0	0	10.555187272124627	154.17039507914393	PRKAB2;PRKCB;ZMYND8;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human betaherpesvirus 6 U69, ganciclovir kinase, phosphotransferase (gene: U69)	8/538	1.1895580116714295E-6	4.3192266429606054E-4	0	0	12.757342083675143	174.03475159940564	PRKAB2;PRKCB;CTR9;PRKCD;EP300;TLK1;STK4;JAK2
Human betaherpesvirus 6A tegument serine/threonine protein kinase (gene: U69)	8/538	1.1895580116714295E-6	4.3192266429606054E-4	0	0	12.757342083675143	174.03475159940564	PRKAB2;PRKCB;CTR9;PRKCD;EP300;TLK1;STK4;JAK2
Cercopithecine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	7/377	1.423725050486772E-6	4.3192266429606054E-4	0	0	15.449662162162163	207.98696487089808	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Human alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	9/767	1.6146271698634768E-6	4.3192266429606054E-4	0	0	10.368133845046774	138.27364742265846	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Cowpox virus CPXV057 protein (gene: CPXV057 CDS)	7/387	1.6944788713066322E-6	4.3192266429606054E-4	0	0	15.035416666666666	199.792651183487	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Monkeypox virus Zaire-96-I-16 Ser/Thr kinase (gene: C16L)	6/250	2.035264623319536E-6	4.4273051310181127E-4	0	0	19.401639344262296	254.25624682055144	PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Horsepox virus HSPV189 (Serine/threonine protein kinase)	5/139	2.2161385488225663E-6	4.4273051310181127E-4	0	0	28.4658438576349	370.6180074277425	PRKCB;PRKCD;EP300;STK4;JAK2
Horsepox virus HSPV050 (Ser/Thr kinase; Provisional)	7/414	2.6494977929215687E-6	4.4273051310181127E-4	0	0	14.018632268632269	180.01522585080502	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Vaccinia virus Ankara Serine/threonine-protein kinase 2	7/414	2.6494977929215687E-6	4.4273051310181127E-4	0	0	14.018632268632269	180.01522585080502	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Cercopithecine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	9/816	2.689608483773227E-6	4.4273051310181127E-4	0	0	9.71375464684015	124.58973340514272	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	7/417	2.7790067515217655E-6	4.4273051310181127E-4	0	0	13.913922764227642	178.00661571866593	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Human alphaherpesvirus 1 tegument serine/threonine protein kinase (gene: UL13)	7/424	3.1019373493836366E-6	4.6510813550464054E-4	0	0	13.675459632294166	173.45246920301082	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Variola virus Ser/Thr kinase (gene: C14L)	7/429	3.3513424666217197E-6	4.7458733041215353E-4	0	0	13.509972353870458	170.30873199160868	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Vaccinia virus Ser/Thr kinase (gene: F10L)	7/439	3.9007001496752515E-6	5.024805724777238E-4	0	0	13.190489969135802	164.2790380434201	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Papiine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	9/855	3.942570203826785E-6	5.024805724777238E-4	0	0	9.247098646034816	115.06791531619268	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human alphaherpesvirus 3 serine/threonine protein kinase US3 (gene: ORF66)	9/868	4.4593825263790984E-6	5.318136803766287E-4	0	0	9.10096306487459	112.128417702533	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Papiine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	7/450	4.589996456761802E-6	5.318136803766287E-4	0	0	12.855718585402558	158.01775302339598	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Macacine alphaherpesvirus 1 tegument serine/threonine protein kinase (gene: UL13)	7/456	5.006992156990518E-6	5.549053481812535E-4	0	0	12.680029695619895	154.75564384761293	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Human herpesvirus 3 strain Dumas serine-threonine protein kinase	9/887	5.319499887041831E-6	5.64146192188845E-4	0	0	8.895164630358252	108.02404689685478	PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Human betaherpesvirus 7 tegument serine/threonine protein kinase (gene: U69)	7/463	5.533014831196989E-6	5.64146192188845E-4	0	0	12.480902777777779	151.07855378947383	PRKCB;CTR9;UIMC1;PRKCD;EP300;STK4;JAK2
Human gammaherpesvirus 8 ORF36 (gene: ORF36)	7/480	7.005396191065351E-6	6.795706142292931E-4	0	0	12.02184637068358	142.6852487132579	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Ectromelia virus ERPV serine/threonine kinase	7/482	7.19827641592425E-6	6.795706142292931E-4	0	0	11.97	141.7447772989059	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Human betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97)	7/508	1.0136810679370609E-5	9.228118007755601E-4	0	0	11.333666001330672	130.32964635808057	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Cercopithecine betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97)	7/534	1.4011885367429453E-5	0.0012315964069509544	0	0	10.760120177103099	120.25084891030478	PRKAB2;PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Yaba monkey tumor virus 142R	6/357	1.5659401516136562E-5	0.00133052714882107	0	0	13.414017094017094	148.41857502850448	PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Banna virus strain JKT-6423 Vp7	4/108	2.261050508037351E-5	0.0018184090641390996	0	0	28.297720797720796	302.70343406184276	PRKCB;EP300;STK4;JAK2
Human alphaherpesvirus 3 tegument serine/threonine protein kinase (gene: ORF47)	7/576	2.2828203237524987E-5	0.0018184090641390996	0	0	9.944346807264207	106.28034375785622	PRKAB2;PRKCB;CTR9;PRKCD;EP300;STK4;JAK2
Molluscum contagiosum virus subtype 1 MC017L (gene: MC017L)	5/260	4.60358464199373E-5	0.0035559203795278846	0	0	14.867269984917044	148.46589902205093	PRKCB;CTR9;PRKCD;EP300;STK4
Cowpox virus CPXV206 protein (gene: CPXV206 CDS)	5/271	5.604911857482445E-5	0.004202035389624339	0	0	14.244505494505495	139.44348314879136	PRKCB;CTR9;PRKCD;EP300;JAK2
Monkeypox virus ser/thr kinase	6/512	1.1672469231358701E-4	0.008500892591638094	0	0	9.231462450592886	83.59728484495491	PRKCB;UIMC1;PRKCD;EP300;STK4;JAK2
Human gammaherpesvirus 8 ORF72	5/337	1.5626929108657547E-4	0.011064733971657803	0	0	11.374536607970343	99.68564049919183	PRKCB;PRKCD;EP300;TLK1;JAK2
Human immunodeficiency virus 2 vif protein	2/15	2.4108009623731251E-4	0.016608463927267825	0	0	105.86737400530504	881.9155958865495	ZBTB16;EP300
Vaccinia virus Ankara serine/threonine-protein kinase-like	3/82	2.748359360217822E-4	0.018435705287355865	0	0	26.975587703435806	221.18191370685673	PRKCD;EP300;JAK2
Human betacoronavirus 2c Jordan-N3/2012 ORF1a protein (gene: ORF1ab)	3/91	3.7347656219487304E-4	0.0244100450521726	0	0	24.20576298701299	191.04774370382162	APOBEC3C;UIMC1;EP300
Human betacoronavirus 2c EMC/2012 ORF1a (gene: orf1ab)	3/92	3.856614364466935E-4	0.024576275037565543	0	0	23.93258426966292	188.12329157981407	APOBEC3C;UIMC1;EP300
Monkeypox virus Zaire-96-I-16 B5R (gene: B5R)	6/650	4.2340607447617E-4	0.025119181066988957	0	0	7.201863354037267	55.938160741853125	KMT2A;PRKCB;PRKCD;EP300;STK4;JAK2
Betacoronavirus England 1 ORF1a protein (gene: orf1ab)	3/95	4.2374452172637314E-4	0.025119181066988957	0	0	23.148680124223603	179.78144234845874	APOBEC3C;UIMC1;EP300
Human betacoronavirus 2c England-Qatar/2012 ORF1a	3/95	4.2374452172637314E-4	0.025119181066988957	0	0	23.148680124223603	179.78144234845874	APOBEC3C;UIMC1;EP300
Monkeypox virus ser/thr protein kinase-like protein	3/105	5.679120847631087E-4	0.032900179637753726	0	0	20.868697478991596	155.96312740387685	PRKCB;PRKCD;EP300
Human group 1 coronavirus associated with pneumonia ORF 1a	3/106	5.83841527304732E-4	0.033071378957772485	0	0	20.66504854368932	153.86949168142752	APOBEC3C;UIMC1;EP300
Human coronavirus 229E full_polyprotein 1..4085	3/107	6.000544566913092E-4	0.03322955715901663	0	0	20.465315934065934	151.82174458580187	APOBEC3C;UIMC1;EP300
Monkeypox virus ankyrin-like protein	7/978	6.127066247445202E-4	0.03322955715901663	0	0	5.7065739787161	42.21509048256819	MBD5;KMT2A;PRKCB;PRKCD;EP300;STK4;JAK2
Human coronavirus 229E full_polyprotein 1..6758	3/112	6.854437893185516E-4	0.036399921228603915	0	0	19.521625163827	142.2237081276475	APOBEC3C;UIMC1;EP300
Influenza A virus (A/California/04/2009(H1N1)) matrix protein 2 (gene: M2)	2/30	9.844083630700538E-4	0.05031572166637807	0	0	49.11576354679803	340.05150286391984	MAX;EP300
Yaba-like disease virus 142R protein (gene: 142R)	3/127	9.86969824762222E-4	0.05031572166637807	0	0	17.14717741935484	118.67340450553468	PRKCD;EP300;STK4
Alphapapillomavirus 4 early protein E2 (gene: E2)	3/131	0.0010794591683079197	0.05191587584937523	0	0	16.607979910714285	113.45401233897793	PRKAB2;UIMC1;EP300
Molluscum contagiosum virus subtype 1 MC013L (gene: MC013L)	3/131	0.0010794591683079197	0.05191587584937523	0	0	16.607979910714285	113.45401233897793	MAX;ZMYND8;EP300
Human papillomavirus type 2 E2 protein (gene: E2)	3/131	0.0010794591683079197	0.05191587584937523	0	0	16.607979910714285	113.45401233897793	PRKAB2;UIMC1;EP300
Human coronavirus NL63 full_polyprotein 1..6729	3/138	0.0012541802342296744	0.05920195216761926	0	0	15.74126984126984	105.17172305952839	UIMC1;EP300;JAK2
Human betaherpesvirus 7 deoxyuridine triphosphatase (gene: U45)	2/36	0.0014174693130427694	0.06569325961720035	0	0	40.436105476673426	265.2156512854863	UIMC1;EP300
Trichodysplasia spinulosa-associated polyomavirus small T antigen (gene: T)	2/37	0.0014970235354745522	0.0681413034272256	0	0	39.278817733990145	255.48028924599194	MAX;EP300
Coxsackievirus A8 VP1 protein	2/38	0.001578668841776688	0.06937977375325478	0	0	38.18582375478927	246.34336634964797	EP300;JAK2
Human parainfluenza virus 2 P protein (gene: V)	2/38	0.001578668841776688	0.06937977375325478	0	0	38.18582375478927	246.34336634964797	APOBEC3C;EP300
Orf virus ORF123 ankyrin repeat protein	5/566	0.0016473463346978613	0.071170945883811	0	0	6.652954888249006	42.6360572915091	KMT2A;PRKCB;PRKCD;EP300;STK4
Orf virus ORF126 ankyrin repeat protein	5/574	0.0017522026041302135	0.07443940729879857	0	0	6.556712180613762	41.6146762334816	KMT2A;PRKCB;PRKCD;EP300;STK4
Orf virus ORF130 putative serine/threonine protein kinase	3/160	0.001916040037930395	0.07997405992217714	0	0	13.520473157415832	84.60428916496751	PRKCB;PRKCD;EP300
Variola virus hypothetical protein (gene: B1R)	3/161	0.0019503807711537702	0.07997405992217714	0	0	13.434222423146474	83.82592952292342	PRKCB;EP300;JAK2
Variola virus hypothetical protein (gene: B6R)	5/590	0.001976604854883154	0.07997405992217714	0	0	6.372123602892834	39.67522871380848	KMT2A;PRKCB;PRKCD;EP300;STK4
Molluscum contagiosum virus subtype 1 MC098R (gene: MC098R)	2/44	0.0021121044254828946	0.08179056692068197	0	0	32.72085385878489	201.56276562427735	UIMC1;EP300
Cowpox virus CPXV196 protein (gene: CPXV196 CDS)	4/356	0.0021243117371214353	0.08179056692068197	0	0	8.256313131313131	50.811889145097574	PRKCB;PRKCD;EP300;STK4
Cowpox virus CPXV209 protein (gene: CPXV209 CDS)	3/167	0.002164519358696435	0.08179056692068197	0	0	12.938806620209059	79.38678484963106	CDH1;UIMC1;EP300
Vaccinia virus ser/thr protein kinase-like protein (gene: B12R)	3/167	0.002164519358696435	0.08179056692068197	0	0	12.938806620209059	79.38678484963106	PRKCD;EP300;JAK2
Coxsackievirus A12 VP1 protein	2/45	0.002208213087720262	0.08179056692068197	0	0	31.958299919807537	195.44327291118304	EP300;JAK2
Vaccinia virus Ankara 65.4k Ankyrin repeat protein	5/608	0.002253607275553171	0.08179056692068197	0	0	6.176170429901773	37.64513675412489	KMT2A;PRKCB;PRKCD;EP300;STK4
Coxsackievirus A6 VP1 protein	2/46	0.0023063632118604876	0.08179056692068197	0	0	31.230407523510973	189.63363791906963	EP300;JAK2
Horsepox virus HSPV181 (ankyrin repeats)	5/615	0.0023686706043251162	0.08179056692068197	0	0	6.1030895334174025	36.89577863362447	KMT2A;PRKCB;PRKCD;EP300;STK4
Vaccinia virus ankyrin-like protein (gene: B4R)	5/616	0.002385453109572242	0.08179056692068197	0	0	6.092786100969407	36.79047359278494	KMT2A;PRKCB;PRKCD;EP300;STK4
MW polyomavirus small T antigen	2/47	0.0024065486540020197	0.08179056692068197	0	0	30.534865900383142	184.11185647217312	MAX;EP300
Monkeypox virus Cu-Zn superoxide dismutase-like protein	2/47	0.0024065486540020197	0.08179056692068197	0	0	30.534865900383142	184.11185647217312	UIMC1;EP300
Monkeypox virus Zaire-96-I-16 A46R (gene: A46R)	2/47	0.0024065486540020197	0.08179056692068197	0	0	30.534865900383142	184.11185647217312	UIMC1;EP300
Orf virus ORF021 RNA polymerase subunit RPO30	2/48	0.0025087632834003815	0.08304983908295549	0	0	29.869565217391305	178.85792193078825	VDR;EP300
Human coronavirus HKU1 nsp3 (gene: orf1ab)	2/48	0.0025087632834003815	0.08304983908295549	0	0	29.869565217391305	178.85792193078825	UIMC1;EP300
Human polyomavirus 10 small t antigen	2/49	0.002613000983112837	0.08539153212762336	0	0	29.23257520176082	173.85360581456808	MAX;EP300
Variola virus hypothetical protein (gene: B12R)	2/50	0.0027192556482504363	0.08665315345050728	0	0	28.62212643678161	169.08226656127547	PRKCD;EP300
Monkeypox virus Zaire-96-I-16 B3R (gene: B3R)	3/181	0.002719596812883712	0.08665315345050728	0	0	11.912720706260032	70.37167718593865	PRKCB;PRKCD;EP300
Yaba monkey tumor virus ankyrin repeat protein	5/638	0.0027771675551548376	0.08739506293937878	0	0	5.874346822214121	34.578307131495166	KMT2A;PRKCB;PRKCD;EP300;STK4
Horsepox virus HSPV167 (E-class dimer interface [polypeptide binding])	2/51	0.0028275211870267027	0.08789453055769592	0	0	28.036593947923997	164.52868226245067	EP300;JAK2
Human betaherpesvirus 6 U45 (gene: U45)	2/52	0.002937791521612053	0.08914798319748955	0	0	27.474482758620688	160.1789039869191	UIMC1;EP300
Human betaherpesvirus 6A deoxyuridine triphosphatase (gene: U45)	2/52	0.002937791521612053	0.08914798319748955	0	0	27.474482758620688	160.1789039869191	UIMC1;EP300
Cowpox virus CPXV198 protein (gene: CPXV198 CDS)	5/650	0.0030096189332812977	0.09025316071687091	0	0	5.761478831246273	33.45081082497417	KMT2A;PRKCB;PRKCD;EP300;STK4
Human betaherpesvirus 6B putative dUTPase (gene: U45)	2/53	0.003050060586094204	0.09040237713900146	0	0	26.934415145368494	156.02012683130314	UIMC1;EP300
Vaccinia virus ser/thr kinase (gene: B1R)	3/193	0.003259490420194806	0.09441410319405182	0	0	11.153571428571428	63.86740681499765	PRKCB;PRKCD;EP300
Vaccinia virus Ankara Serine/threonine-protein kinase	3/193	0.003259490420194806	0.09441410319405182	0	0	11.153571428571428	63.86740681499765	PRKCB;PRKCD;EP300
SARS coronavirus excised_polyprotein 1..4369 (gene: orf1ab)	3/194	0.0033072317124384445	0.0947206026405123	0	0	11.094614809274495	63.36848766882086	UIMC1;EP300;JAK2
Ectromelia virus ERPV ankyrin	5/667	0.003362772402300993	0.0952411872607248	0	0	5.608587032303045	31.940844401813873	KMT2A;PRKCB;PRKCD;EP300;STK4
Horsepox virus HSPV179 (Serine/Threonine protein kinase, Vaccinia Related Kinase)	3/197	0.003453035284810899	0.09672293341739541	0	0	10.92139175257732	61.90792708274624	PRKCB;PRKCD;EP300
SARS coronavirus P2 full_polyprotein 1..4382	3/198	0.0035025005386860528	0.09704210731642117	0	0	10.864835164835165	61.43279981460896	UIMC1;EP300;JAK2
Yaba-like disease virus 11L protein (gene: 11L)	5/678	0.003606744482638735	0.09885582458329178	0	0	5.513773002628872	31.014695901059454	KMT2A;PRKCB;PRKCD;EP300;STK4
Human coronavirus OC43 Orf1ab (gene: orf1ab)	2/59	0.00376531025589527	0.09979109879714257	0	0	24.091954022988507	134.47948084141416	UIMC1;EP300
Yaba monkey tumor virus kelch-like protein	3/209	0.004075533969148576	0.09979109879714257	0	0	10.278952843273231	56.56254379118903	PRKAB2;ZBTB16;EP300
Dengue virus 3 envelope protein E (gene: flavivirus polyprotein)	2/63	0.004281356167811724	0.09979109879714257	0	0	22.507631430186546	122.74504069720068	CDH1;EP300
Variola virus semaphorin-like protein (gene: A44R)	2/63	0.004281356167811724	0.09979109879714257	0	0	22.507631430186546	122.74504069720068	EP300;JAK2
Variola virus hypothetical protein (gene: F4R)	2/65	0.00455100000897125	0.09979109879714257	0	0	21.790914066776136	117.50550561626433	MAX;EP300
