Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Pathways affected in adenoid cystic carcinoma WP3651	4/65	2.9922666414365702E-6	4.3986319629117583E-4	0	0	48.349726775956285	614.9833529340926	MAX;KAT6A;EP300;TLK1
Pathways Regulating Hippo Signaling WP4540	4/98	1.540601874193616E-5	0.0010903617152220174	0	0	31.32387706855792	347.0921227940111	PRKAB2;CDH1;PRKCB;PRKCD
Gastrin signaling pathway WP4659	4/114	2.7971628383640963E-5	0.0010903617152220174	0	0	26.746127946127945	280.4149596951592	CDH1;PRKCD;ARRB1;JAK2
Kisspeptin/kisspeptin receptor system in the ovary WP4871	3/39	2.9669706536653534E-5	0.0010903617152220174	0	0	59.32440476190476	618.4797010817292	PRKCB;PRKCD;ARRB1
Integrated breast cancer pathway WP1984	4/152	8.599429690451592E-5	0.0023587375663909446	0	0	19.84084084084084	185.73466615098422	MAX;CDH1;ZMYND8;EP300
Kit receptor signaling pathway WP304	3/59	1.0334978312036772E-4	0.0023587375663909446	0	0	38.098852040816325	349.6480759390723	PRKCB;EP300;JAK2
Chemokine signaling pathway WP3929	4/164	1.1537625840133673E-4	0.0023587375663909446	0	0	18.341666666666665	166.30961349901105	PRKCB;PRKCD;ARRB1;JAK2
Oncostatin M Signaling Pathway WP2374	3/65	1.379928839542096E-4	0.0023587375663909446	0	0	34.401497695852534	305.7711223078785	PRKCB;PRKCD;JAK2
AGE/RAGE pathway WP2324	3/66	1.4441250406475173E-4	0.0023587375663909446	0	0	33.85374149659864	299.36310916057425	PRKCB;PRKCD;JAK2
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	3/71	1.7943071485787402E-4	0.002637631508410748	0	0	31.356617647058822	270.4734483150807	VDR;PRKCB;PRKCD
Glioblastoma signaling pathways WP2261	3/82	2.748359360217822E-4	0.0036728075086547253	0	0	26.975587703435806	221.18191370685673	PRKCB;PRKCD;EP300
Corticotropin-releasing hormone signaling pathway WP2355	3/93	3.9809956973580656E-4	0.00487671972926363	0	0	23.66547619047619	185.27247899714018	PRKCB;PRKCD;ARRB1
B Cell Receptor Signaling Pathway WP23	3/97	4.5042912506562216E-4	0.005093313952665112	0	0	22.65387537993921	174.55512838852647	MAX;PRKCB;PRKCD
