Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PRKAB1	1/5	0.007726694289035996	0.12334969042911155	0	0	166.375	809.0939625056958	PRKAB2
CSNK2A1	1/6	0.009265092249714469	0.12334969042911155	0	0	133.09333333333333	623.0766346487915	CTR9
LEO1	1/6	0.009265092249714469	0.12334969042911155	0	0	133.09333333333333	623.0766346487915	CTR9
RPL22L1	1/8	0.012334969042911155	0.12334969042911155	0	0	95.05714285714286	417.8062796500496	NAP1L1
LTBR	1/13	0.019969450260865367	0.15975560208692294	0	0	55.43611111111111	216.95208467294643	HDAC5
SRP14	1/22	0.03356785849795628	0.1777967727214099	0	0	31.663492063492065	107.4717897739846	NAP1L1
EIF1AX	1/33	0.04994030455802936	0.1777967727214099	0	0	20.767708333333335	62.2393036656038	NAP1L1
EEF1A1	1/33	0.04994030455802936	0.1777967727214099	0	0	20.767708333333335	62.2393036656038	NAP1L1
NAP1L4	1/38	0.05729328816000485	0.1777967727214099	0	0	17.956756756756757	51.348635190815486	NAP1L1
RPL10A	1/46	0.06894365075528797	0.1777967727214099	0	0	14.75851851851852	39.471152501452366	NAP1L1
RPL12	1/46	0.06894365075528797	0.1777967727214099	0	0	14.75851851851852	39.471152501452366	NAP1L1
NCL	1/54	0.08045462435891494	0.1777967727214099	0	0	12.525786163522012	31.56575680442027	NAP1L1
RPL23A	1/56	0.0833107775481581	0.1777967727214099	0	0	12.069090909090908	29.993831432939842	NAP1L1
RPL26	1/57	0.08473563284794243	0.1777967727214099	0	0	11.852976190476191	29.2557418815663	NAP1L1
NPM1	1/58	0.08615834477824497	0.1777967727214099	0	0	11.644444444444444	28.547152703267713	NAP1L1
RPLP0	1/61	0.09041365153331592	0.1777967727214099	0	0	11.060555555555556	26.582496915567003	NAP1L1
RPL35	1/64	0.09464977990360633	0.1777967727214099	0	0	10.532275132275132	24.830594069685887	NAP1L1
RPS23	1/72	0.1058529955609793	0.1777967727214099	0	0	9.341784037558686	20.978881609749415	NAP1L1
RPL18	1/72	0.1058529955609793	0.1777967727214099	0	0	9.341784037558686	20.978881609749415	NAP1L1
RPL9	1/73	0.10724392850313601	0.1777967727214099	0	0	9.211574074074074	20.566214716689423	NAP1L1
RPL7A	1/73	0.10724392850313601	0.1777967727214099	0	0	9.211574074074074	20.566214716689423	NAP1L1
RPL36	1/74	0.10863276741747166	0.1777967727214099	0	0	9.084931506849315	20.166569167475306	NAP1L1
RPL31	1/75	0.1100195153566116	0.1777967727214099	0	0	8.961711711711711	19.77937166333769	NAP1L1
RPL24	1/77	0.11278675046403379	0.1777967727214099	0	0	8.725	19.040187153190175	NAP1L1
RPLP1	1/79	0.1155456581169776	0.1777967727214099	0	0	8.500427350427351	18.344683169954745	NAP1L1
RPL37A	1/82	0.11966845858358988	0.1777967727214099	0	0	8.184362139917695	17.37564803201433	NAP1L1
ENSG00000215472	1/86	0.12513660526532908	0.1777967727214099	0	0	7.79764705882353	16.206234277302418	NAP1L1
RPL23	1/88	0.12785833813457156	0.1777967727214099	0	0	7.617624521072797	15.668176630929226	NAP1L1
RPL4	1/96	0.1386635571508699	0.1777967727214099	0	0	6.973333333333334	13.77724766471137	NAP1L1
RPL18A	1/97	0.14000506588878114	0.1777967727214099	0	0	6.900347222222222	13.566611703053766	NAP1L1
RPL8	1/98	0.14134455256627768	0.1777967727214099	0	0	6.828865979381443	13.361050061201011	NAP1L1
RPS18	1/102	0.14668233749516316	0.1777967727214099	0	0	6.557095709570957	12.586253414445132	NAP1L1
RPL32	1/102	0.14668233749516316	0.1777967727214099	0	0	6.557095709570957	12.586253414445132	NAP1L1
RPS6	1/108	0.15462885200071758	0.18191629647143245	0	0	6.187538940809969	11.55044932516124	NAP1L1
RPS16	1/114	0.1625037303919528	0.18335062602228397	0	0	5.857227138643068	10.642899882624762	NAP1L1
RPS13	1/121	0.17160138113774454	0.18335062602228397	0	0	5.5136111111111115	9.718186424971936	NAP1L1
RPS2	1/123	0.17418309472116977	0.18335062602228397	0	0	5.422677595628415	9.476933088951569	NAP1L1
RPL19	1/123	0.17418309472116977	0.18335062602228397	0	0	5.422677595628415	9.476933088951569	NAP1L1
RPL5	1/137	0.19203831602803864	0.19696237541337294	0	0	4.861029411764706	8.020991961652324	NAP1L1
RPL13A	1/150	0.20828324424333822	0.20828324424333822	0	0	4.434004474272931	6.956316183817003	NAP1L1
