Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PBK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
CHEK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
CHEK2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
AURKA human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
VRK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
AURKB human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
TTK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
PLK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
CDK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
BUB1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
RIOK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
NEK2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
BUB1B human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
PLK4 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
CDC7 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
MASTL human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
MELK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	UBE2T
