Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
MYLK4,1/1,0.00339994762161893,0.0234596385891706,0,0,19932,113293.393380501,MYL9
MYLK3,1/1,0.00339994762161893,0.0234596385891706,0,0,19932,113293.393380501,MYL9
CIT,1/1,0.00339994762161893,0.0234596385891706,0,0,19932,113293.393380501,MYL9
ITGAV-ITGB5-ADAM9 complex (human),2/3,3.4094799344218e-05,0.00262529954950479,0,0,603.969696969697,6212.65317306081,ITGB5;ADAM9
ITGAV-ITGB5 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,ITGB5
Cell-cell junction complex (CDH1-CTNNB1) (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,CDH1
CDH1-CKS1B complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,CDH1
PCNA-p21 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,CDKN1A
CDH1-SKP2 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,CDH1
ITGA5-ITGB4 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,ITGA5
ELMO1-DOCK1 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,ELMO1
ELMO1-DOCK2 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,ELMO1
PDGFRA-SHP-2 complex, PDGF stimulated (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,PDGFRA
FHL4/STX11-ACT complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,STX11
SMAD2-SKI complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,SMAD2
SMAD2-FAST1 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,SMAD2
DJ-1-SNCA complex, high molecular weight complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,SNCA
Smad2-Smad4 complex (mouse),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,SMAD2
CREBBP-SMAD2 hexameric complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,SMAD2
TCF4-CTNNB1 complex (human),1/2,0.00678852812402924,0.015322642965883,0,0,297.477611940299,1485.16326392059,TCF4
ACVR1B,1/2,0.00678852812402924,0.0390340367131681,0,0,297.477611940299,1485.16326392059,SMAD2
SMAD2/3 Phosphorylation Motif Mutants in Cancer Homo sapiens R-HSA-3304356,2/6,0.000169354187115494,0.0045080742961453,0,0,150.969696969697,1310.94811949453,SMAD2;TGFB1
Proteins with Altered Expression in Androgenetic Alopecia,2/7,0.000236575327494506,0.00433178859414836,0,0,120.769696969697,1008.33565467298,TGFB1;DKK1
Loss of Function of TGFBR1 in Cancer Homo sapiens R-HSA-3656534,2/7,0.000236575327494506,0.0045080742961453,0,0,120.769696969697,1008.33565467298,SMAD2;TGFB1
TGFBR1 KD Mutants in Cancer Homo sapiens R-HSA-3656532,2/7,0.000236575327494506,0.0045080742961453,0,0,120.769696969697,1008.33565467298,SMAD2;TGFB1
Loss of Function of SMAD2/3 in Cancer Homo sapiens R-HSA-3304349,2/7,0.000236575327494506,0.0045080742961453,0,0,120.769696969697,1008.33565467298,SMAD2;TGFB1
SMAD2/3 MH2 Domain Mutants in Cancer Homo sapiens R-HSA-3315487,2/7,0.000236575327494506,0.0045080742961453,0,0,120.769696969697,1008.33565467298,SMAD2;TGFB1
ACVR1 human kinase ARCHS4 coexpression,18/299,5.4146916112556e-18,1.72187193237928e-15,0,0,25.1756583629893,1000.9191162139,CDKN1A;SPARC;ZNF185;ITGB5;TGFB1I1;ILK;LRRC32;LTBP1;GNG11;ELK3;SMPD1;ADAM9;EMILIN1;ITGA5;TGFBI;TNS3;MYL9;LIMS1
Interleukin-6 regulation of target genes,3/14,1.332062262661e-05,0.00059676389367213,0,0,83.5846153846154,938.33737103175,ABCC4;ITGA5;ICAM1
GRK5 human kinase ARCHS4 coexpression,17/299,1.3360489832768e-16,2.12431788341012e-14,0,0,23.2269503546099,848.983237972097,ZNF185;TGFB1;TGFB1I1;ILK;TMEM40;LRRC32;FAM214B;NID1;LTBP1;GNG11;STX11;PECAM1;EMILIN1;ITGA5;MYL9;PAG1;LIMS1
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813,3/15,1.66102793679762e-05,0.000766450632767783,0,0,76.6153846153846,843.189758458121,ZEB2;TGFB1;CDH1
Signaling by TGF-beta Receptor Complex in Cancer Homo sapiens R-HSA-3304351,2/8,0.000314741263666087,0.00539781267187339,0,0,100.636363636364,811.50744759318,SMAD2;TGFB1
PTK2B,2/8,0.000314741263666087,0.00971427938203167,0,0,100.636363636364,811.50744759318,TGFB1I1;SNCA
ITGAV-ITGB5-SPP1 complex (human),1/3,0.0101657622834468,0.015322642965883,0,0,148.731343283582,682.48795362197,ITGB5
ITGAV-ITGB5-CYR61 complex (human),1/3,0.0101657622834468,0.015322642965883,0,0,148.731343283582,682.48795362197,ITGB5
PLC-gamma-2-Lyn-FcR-gamma complex (human),1/3,0.0101657622834468,0.015322642965883,0,0,148.731343283582,682.48795362197,LYN
