Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
RIPK4,2/2,2.32492970487224e-06,0.000130196063472845,0,0,39938,518068.577267085,PRKCB;PRKCD
OCT2-TLE4 complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,TLE4
BCL6-HDAC5 complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,HDAC5
Vdr-Med4 complex (mouse),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,VDR
Cell-cell junction complex (CDH1-CTNNB1) (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,CDH1
Gata1-Gfi1b complex (mouse),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,GFI1B
MAD-MAX complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,MAX
MYC-MAX complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,MAX
CDH1-CKS1B complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,CDH1
CDH1-SKP2 complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,CDH1
SETDB1-containing HMTase complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,ATF7IP
MBD1-MCAF complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,ATF7IP
EGR-EP300 complex (human),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,EP300
SMAD3-VDR complex (mouse),1/2,0.00309762542370701,0.00907488362132976,0,0,665.6,3845.25070816018,VDR
PHLPP1,2/6,3.4740333438573e-05,0.000208442000631438,0,0,344.224137931034,3534.35892516632,PRKCB;STK4
PHLPP2,2/6,3.4740333438573e-05,0.000208442000631438,0,0,344.224137931034,3534.35892516632,PRKCB;STK4
Acetylases Inhibition in Histone Deacetylation in Cancer,2/9,8.31359912039675e-05,0.00546797669792624,0,0,196.669950738916,1847.72064636806,KAT6A;EP300
Kruppel-like Factor 6 Signaling in Prostate Cancer,2/9,8.31359912039675e-05,0.00546797669792624,0,0,196.669950738916,1847.72064636806,CDH1;EP300
Src1-Ep300-Crebbp complex (mouse),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
ING1-p300-PCNA complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
p300-CBP-p270 complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
p300-MDM2-p53 protein complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
MBD1-MCAF1-SETDB1 complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,ATF7IP
G protein complex (Hdac5, Gnb1, Gng2) (mouse),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,HDAC5
TCF4-CTNNB1-EP300 complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
PIAS3-SMAD3-P300 complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,EP300
Polycystin-1-E-cadherin-beta-catenin complex (human),1/3,0.00464296371323848,0.00907488362132976,0,0,332.783333333333,1787.84597380293,CDH1
CAMK1D,1/3,0.00464296371323848,0.0200004590724119,0,0,332.783333333333,1787.84597380293,EP300
IFNG -> ARRB1/STAT1 Signaling,2/10,0.000103819783501601,0.00593070513252897,0,0,172.077586206897,1578.44257716669,ARRB1;JAK2
Attenuation of GPCR signaling,2/11,0.000126768471346307,0.00355757510937037,0,0,152.950191570881,1372.444735506,PRKCB;ARRB1
Polycystin-1-E-cadherin-beta-catenin-Flotillin-2 complex (human),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,CDH1
Multisubunit ACTR coactivator complex (human),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,EP300
PS1-E-cadherin-catenin complex, brain (mouse),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,CDH1
Smad1-Notch1-p300-Pcaf complex (mouse),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,EP300
BRCA1 A complex (human),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,UIMC1
BRCA1 C complex (human),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,UIMC1
SMAD3-HEF1-APC10-CDH1 complex (human),1/4,0.00618598577158728,0.00917232373028458,0,0,221.844444444444,1128.1830239295,CDH1
PTPRT,1/4,0.00618598577158728,0.0148463658518095,0,0,221.844444444444,1128.1830239295,CDH1
PTPN23,1/4,0.00618598577158728,0.0148463658518095,0,0,221.844444444444,1128.1830239295,CDH1
CAMK1G,1/4,0.00618598577158728,0.0247439430863491,0,0,221.844444444444,1128.1830239295,EP300
Attenuation of GPCR Signaling Homo sapiens h agpcrPathway,2/13,0.000179434089993805,0.00681849541976458,0,0,125.128526645768,1079.32145813929,PRKCB;ARRB1
Erythropoietin mediated neuroprotection through NF-kB Homo sapiens h eponfkbPathway,2/13,0.000179434089993805,0.00681849541976458,0,0,125.128526645768,1079.32145813929,EP300;JAK2
Genes with Mutations in Cancer-Associated Histone Deacetylation,2/13,0.000179434089993805,0.00716654967461057,0,0,125.128526645768,1079.32145813929,KAT6A;EP300
HDGFRP2,2/13,0.000179434089993805,0.023864733969176,0,0,125.128526645768,1079.32145813929,MBD5;ARRB1
Protein Kinase C in Diabetic Microangiopathy,2/14,0.00020913783305828,0.00716654967461057,0,0,114.695402298851,971.758749818832,PRKCB;PRKCD
FLT3/KIT/MLL Signaling in Leukemia,3/29,1.19877594199572e-05,0.00273920302746022,0,0,82.1826923076923,931.263407749183,KMT2A;KAT6A;JAK2
IL13/STAT6/ZEB1 Signalling Promotes Cancer Metastatic Progression,2/15,0.000241080096237313,0.00734490693203012,0,0,105.867374005305,881.915595886549,CDH1;JAK2
Human immunodeficiency virus 2 vif protein,2/15,0.000241080096237313,0.0166084639272678,0,0,105.867374005305,881.915595886549,ZBTB16;EP300
protein citrullination Homo sapiens PWY-4921,1/5,0.007726694289036,0.007726694289036,0,0,166.375,809.093962505696,PADI4
Paf complex (human),1/5,0.007726694289036,0.0103827454508921,0,0,166.375,809.093962505696,CTR9
pRb2/p130-multimolecular complex (RB2, E2F4, HDAC1, SUV39H1, P300) (human),1/5,0.007726694289036,0.0103827454508921,0,0,166.375,809.093962505696,EP300
TCF4-CTNNB1-SUMO1-EP300-HADAC6 complex (human),1/5,0.007726694289036,0.0103827454508921,0,0,166.375,809.093962505696,EP300
BMPR2,1/5,0.007726694289036,0.0254526400109421,0,0,166.375,809.093962505696,PRKCB
AMPK inhibition of chREBP transcriptional activation activity,1/5,0.007726694289036,0.037151639663721,0,0,166.375,809.093962505696,PRKAB2
Phospholipase C delta-1 interactions in phospholipid-associated cell signaling,1/5,0.007726694289036,0.037151639663721,0,0,166.375,809.093962505696,PRKCB
Ion channel and phorbal esters signaling pathway,1/5,0.007726694289036,0.037151639663721,0,0,166.375,809.093962505696,PRKCB
Disinhibition of SNARE formation,1/5,0.007726694289036,0.037151639663721,0,0,166.375,809.093962505696,PRKCB
Acetylation and Deacetylation of RelA in Nucleus Homo sapiens h RELAPathway,1/5,0.007726694289036,0.0419449118547668,0,0,166.375,809.093962505696,EP300
Pelp1 Modulation of Estrogen Receptor Activity Homo sapiens h pelp1Pathway,1/5,0.007726694289036,0.0419449118547668,0,0,166.375,809.093962505696,EP300
CHRNA7 -> IL8 Production,1/5,0.007726694289036,0.0425433649408367,0,0,166.375,809.093962505696,JAK2
ARRB1/ARRB2 and GPCRs Internalization,1/5,0.007726694289036,0.0425433649408367,0,0,166.375,809.093962505696,ARRB1
Genes with Mutations Associated with Osteoporosis,1/5,0.007726694289036,0.0425433649408367,0,0,166.375,809.093962505696,VDR
CDC73 Mutations Cause Hyperparathyroidism,2/16,0.000275254319786104,0.0073994837730735,0,0,98.3004926108374,805.849261526094,KMT2A;CTR9
CAMK4,2/17,0.000311653957678468,0.00369382268498734,0,0,91.7425287356322,740.694048400672,HDAC5;EP300
CR3 Mediated Phagocytosis in Neutrophils and Macrophages,2/18,0.00035027247768592,0.00800372611512327,0,0,86.0043103448276,684.319027635324,PRKCB;PRKCD
TLE-Histone H3 complex (human),1/6,0.00926509224971447,0.0117176166687565,0,0,133.093333333333,623.076634648791,TLE4
HES1 promoter corepressor complex (human),1/6,0.00926509224971447,0.0117176166687565,0,0,133.093333333333,623.076634648791,EP300
M-cell: Motilin Release,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,ARRB1
Prolactin Induced Dopamin Synthesis by TIDA Neurons (Negative Feedback),1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,JAK2
Vitamin D and Folate in Multiple Sclerosis,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,VDR
IGF1R -> ARRB1/ERK1/3 Signaling,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,ARRB1
IL11R -> STAT3 Signaling,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,JAK2
KIT -> STAT Signaling,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,JAK2
Genes with Mutations Associated with Urolithiasis,1/6,0.00926509224971447,0.0445699700854685,0,0,133.093333333333,623.076634648791,VDR
IFN gamma signaling pathway  Homo sapiens h ifngPathway,1/6,0.00926509224971447,0.0459902490856293,0,0,133.093333333333,623.076634648791,JAK2
Kisspeptin/kisspeptin receptor system in the ovary WP4871,3/39,2.96697065366535e-05,0.00109036171522202,0,0,59.3244047619048,618.479701081729,PRKCB;PRKCD;ARRB1
Pathways affected in adenoid cystic carcinoma WP3651,4/65,2.99226664143657e-06,0.000439863196291176,0,0,48.3497267759563,614.983352934093,MAX;KAT6A;EP300;TLK1
IFN-gamma pathway Homo sapiens 51b1ed75-6193-11e5-8ac5-06603eb7f303,3/40,3.2041735322371e-05,0.00170497398293565,0,0,57.7181467181467,597.294583422934,PRKCD;EP300;JAK2
CAMK1,2/20,0.000434140102652416,0.00386584827905505,0,0,76.4406130268199,591.814176843113,HDAC5;EP300
TGF beta signaling pathway Homo sapiens h tgfbPathway,2/20,0.000434140102652416,0.00795740304631556,0,0,76.4406130268199,591.814176843113,CDH1;EP300
Control of skeletal myogenesis by HDAC and calcium/calmodulin-dependent kinase (CaMK) Homo sapiens h hdacPathway,2/21,0.00047937621131243,0.00795740304631556,0,0,72.4137931034483,553.460420823284,HDAC5;EP300
PAR1-mediated thrombin signaling events Homo sapiens be5084c0-6194-11e5-8ac5-06603eb7f303,3/43,3.98972526867493e-05,0.00170497398293565,0,0,53.38125,540.70952252321,PRKCB;PRKCD;ARRB1
Signaling by NOTCH1 Homo sapiens R-HSA-1980143,4/72,4.51263204941416e-06,0.000391094777615894,0,0,43.3572984749455,533.66894350089,TLE4;HDAC5;EP300;ARRB1
Signaling by NOTCH1,4/73,4.76908113176592e-06,0.00161260714226132,0,0,42.7267847557703,523.546543078392,TLE4;HDAC5;EP300;ARRB1
Growth Hormone Signaling Pathway Homo sapiens h ghPathway,2/22,0.00052680520919269,0.00795740304631556,0,0,68.7896551724138,519.271073554538,PRKCB;JAK2
NK-3-Groucho complex (human),1/7,0.0108011827726926,0.0129014127562718,0,0,110.905555555556,502.191405614873,TLE4
p300-CBP-p270-SWI/SNF complex (human),1/7,0.0108011827726926,0.0129014127562718,0,0,110.905555555556,502.191405614873,EP300
YES1,1/7,0.0108011827726926,0.0277329085781401,0,0,110.905555555556,502.191405614873,PRKCD
Gamma-secretase-mediated ErbB4 signaling pathway,1/7,0.0108011827726926,0.0451335137287514,0,0,110.905555555556,502.191405614873,PRKCB
Activation of PKC through G-protein coupled receptors,1/7,0.0108011827726926,0.0451335137287514,0,0,110.905555555556,502.191405614873,PRKCB
PELP1 modulation of estrogen receptor activity,1/7,0.0108011827726926,0.0451335137287514,0,0,110.905555555556,502.191405614873,EP300
ROS in Neutrophil Mediated Cell Damage,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,JAK2
CSF2 -> STAT Signaling,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,JAK2
Ca2+ Absorption Decline in Intestine in Osteoporosis,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,VDR
Ca2+ Reabsorption Decline in Kidney,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,VDR
IL6ST -> STAT5B Signaling,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,JAK2
Folate Cycle and Homocysteine Overproduction,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,VDR
IL6 Overexpression After Contraction in Skeletal Muscles in Muscular Dystrophies,1/7,0.0108011827726926,0.0479236944380635,0,0,110.905555555556,502.191405614873,EP300
Peripheral Tissue Microangiopathy,3/46,4.89213024824683e-05,0.00546797669792624,0,0,49.6495016611296,492.786080808225,PRKCB;PRKCD;EP300
Regulation of TP53 Activity through Acetylation Homo sapiens R-HSA-6804758,2/23,0.000576420632299298,0.0195450299522754,0,0,65.5106732348112,488.622683076179,KAT6A;EP300
NOTCH1 Intracellular Domain Regulates Transcription Homo sapiens R-HSA-2122947,3/47,5.22020716606151e-05,0.00271450772635198,0,0,48.5186688311688,478.412918204461,TLE4;HDAC5;EP300
Regulation of transcription by NOTCH1 intracellular domain,3/47,5.22020716606151e-05,0.00335377757927612,0,0,48.5186688311688,478.412918204461,TLE4;HDAC5;EP300
TPO Signaling Pathway Homo sapiens h TPOPathway,2/24,0.000628216029972281,0.00795740304631556,0,0,62.5297805642633,461.00871434329,PRKCB;JAK2
Chromatin organization Homo sapiens R-HSA-4839726,7/226,4.47537375615774e-08,5.81798588300506e-06,0,0,26.3032724505327,445.10636671212,ATF7IP;KDM3A;KMT2A;KAT6A;EP300;PADI4;JAK2
Chromatin modifying enzymes Homo sapiens R-HSA-3247509,7/226,4.47537375615774e-08,5.81798588300506e-06,0,0,26.3032724505327,445.10636671212,ATF7IP;KDM3A;KMT2A;KAT6A;EP300;PADI4;JAK2
