Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK2 human kinase ARCHS4 coexpression	6/299	9.656428738410189E-4	0.0661465368581098	0	0	5.742857142857143	39.87102897349981	RECQL4;CRTAP;CDC45;RRM2;RPA1;FKBP4
CDK4 human kinase ARCHS4 coexpression	6/299	9.656428738410189E-4	0.0661465368581098	0	0	5.742857142857143	39.87102897349981	RECQL4;CRTAP;CDC45;RRM2;RPA1;FKBP4
ERBB2 human kinase ARCHS4 coexpression	6/299	9.656428738410189E-4	0.0661465368581098	0	0	5.742857142857143	39.87102897349981	GLYATL2;TRPV6;SCGB1D2;SCGB2A2;FGFR4;FAM84B
PLK2 human kinase ARCHS4 coexpression	6/299	9.656428738410189E-4	0.0661465368581098	0	0	5.742857142857143	39.87102897349981	TGFB2;FLNA;CYR61;PAPSS2;EPHA2;FAM84B
MASTL human kinase ARCHS4 coexpression	5/299	0.005619782279605274	0.2566367241019742	0	0	4.702021653731915	24.363348196429392	XPO1;CDC45;RRM2;UBE2T;GTPBP4
SRPK1 human kinase ARCHS4 coexpression	5/299	0.005619782279605274	0.2566367241019742	0	0	4.702021653731915	24.363348196429392	RECQL4;XPO1;CDC45;RRM2;GTPBP4
RPS6KB1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	SLC5A6;XPO1;FKBP4;FAM84B
CHEK1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
CDK1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
MAPK6 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	UGDH;XPO1;PRRC1;GTPBP4
MYO3A human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	TMOD1;CPE;HADH;PAPSS2
PBK human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
IRAK1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	RECQL4;CRTAP;FLNA;EPHA2
RIPK4 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	ALDH1A3;SLPI;EPHA2;FAM84B
ABL2 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	TGFB2;FLNA;CYR61;EPHA2
EPHA1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	ZNF121;UBAP2;FGFR4;AIF1L
EPHB4 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	RECQL4;FLNA;FGFR4;EPHA2
FGFR4 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	SLC5A6;RECQL4;SCGB2A2;ASL
MET human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	ALDH1A3;CRTAP;FLNA;EPHA2
BUB1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
BUB1B human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
CDC7 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
PLK1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	RECQL4;RRM2;UBE2T;FKBP4
PLK4 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	XPO1;CDC45;RRM2;UBE2T
WEE1 human kinase ARCHS4 coexpression	4/299	0.027126696267204035	0.29730859108855623	0	0	3.6966101694915254	13.33454873354733	ZNF121;XPO1;ZNF93;ZNF207
LATS2 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	CRTAP;FLNA;CYR61
PKN2 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	MED23;XPO1;APAF1
SGK2 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	SCD;ASL;HMGCS2
STK38L human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	MED23;ZNF207;ZBTB1
MELK human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	CDC45;RRM2;UBE2T
MYLK human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	FLNA;FBXO32;CYR61
PRKAA1 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	KLF10;TGOLN2;PRRC1
PRKD3 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	MED23;XPO1;ZNF207
SIK1 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	KLF10;CRTAP;EPHA2
TRIB1 human kinase ARCHS4 coexpression	3/299	0.10527569181008227	0.48075899259937566	0	0	2.72510181414291	6.1346749000078455	KLF10;TGOLN2;FAM84B
