Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sonic Hedgehog Receptor Ptc1 Regulates cell cycle Homo sapiens h ptc1Pathway	1/9	0.0336911821161097	0.11614981712883567	0	0	33.193333333333335	112.54263179248726	XPO1
West Nile Virus Homo sapiens h WNVpathway	1/9	0.0336911821161097	0.11614981712883567	0	0	33.193333333333335	112.54263179248726	APAF1
Regulation of Spermatogenesis by CREM Homo sapiens h cremPathway	1/10	0.0373647978046119	0.11614981712883567	0	0	29.503703703703703	96.97944863399397	XPO1
Hemoglobin's Chaperone Homo sapiens h ahspPathway	1/13	0.04830315471494212	0.11614981712883567	0	0	22.124444444444446	67.04278374363157	ALAS1
Role of Mitochondria in Apoptotic Signaling Homo sapiens h mitochondriaPathway	1/13	0.04830315471494212	0.11614981712883567	0	0	22.124444444444446	67.04278374363157	APAF1
Stress Induction of HSP Regulation Homo sapiens h hsp27Pathway	1/14	0.05192194616352185	0.11614981712883567	0	0	20.42153846153846	60.40719102216577	APAF1
Apoptotic Signaling in Response to DNA Damage Homo sapiens h chemicalPathway	1/14	0.05192194616352185	0.11614981712883567	0	0	20.42153846153846	60.40719102216577	APAF1
Regulation of cell cycle progression by Plk3 Homo sapiens h plk3Pathway	1/18	0.06626181755179136	0.11614981712883567	0	0	15.613333333333333	42.376795202067306	APAF1
ATM Signaling Pathway Homo sapiens h atmPathway	1/18	0.06626181755179136	0.11614981712883567	0	0	15.613333333333333	42.376795202067306	RPA1
TGF beta signaling pathway Homo sapiens h tgfbPathway	1/20	0.0733512756104792	0.11614981712883567	0	0	13.968421052631578	36.49243551909278	TGFB2
Hypoxia and p53 in the Cardiovascular system Homo sapiens h p53hypoxiaPathway	1/21	0.07687605873194113	0.11614981712883567	0	0	13.269333333333334	34.043281187726755	RPA1
Caspase Cascade in Apoptosis Homo sapiens h caspasePathway	1/23	0.08388597903749243	0.11614981712883567	0	0	12.061818181818182	29.892765337545285	APAF1
CTCF: First Multivalent Nuclear Factor Homo sapiens h ctcfPathway	1/23	0.08388597903749243	0.11614981712883567	0	0	12.061818181818182	29.892765337545285	TGFB2
ALK in cardiac myocytes Homo sapiens h alkPathway	1/27	0.09774860155754135	0.12552249335073745	0	0	10.204102564102564	23.72817506630132	TGFB2
NFkB activation by Nontypeable Hemophilus influenzae Homo sapiens h nthiPathway	1/29	0.10460207779228121	0.12552249335073745	0	0	9.474285714285715	21.389070339886597	TGFB2
Signal transduction through IL1R Homo sapiens h il1rPathway	1/36	0.12818712475971267	0.1357275438632252	0	0	7.576761904761905	15.564670508835613	TGFB2
Trefoil Factors Initiate  Mucosal Healing Homo sapiens h tffPathway	1/36	0.12818712475971267	0.1357275438632252	0	0	7.576761904761905	15.564670508835613	APAF1
HIV-1 Nef: negative effector of Fas and TNF Homo sapiens h HivnefPathway	1/53	0.1829429907725733	0.1829429907725733	0	0	5.095384615384615	8.654921969357183	APAF1
