Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta regulation of extracellular matrix	9/565	2.84502084657396E-4	0.07481899275521778	0	0	4.679265542789649	38.205126818096325	KLF10;ALDH1A3;RCAN1;TGFB2;SLPI;SCD;PIM1;CYR61;EPHA2
Fatty acid, triacylglycerol, and ketone body metabolism	5/173	5.1421988147916E-4	0.07481899275521778	0	0	8.281354795439302	62.713537155401205	MED23;ALAS1;PEX11A;HMGCS2;HADH
Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)	4/112	8.767350176592593E-4	0.08433688863207306	0	0	10.193415637860083	71.75456938907739	MED23;ALAS1;PEX11A;HMGCS2
Calcineurin-dependent NFAT signaling role in lymphocytes	3/55	0.0012002366767486735	0.08433688863207306	0	0	15.70495258166491	105.61952050592016	RCAN1;XPO1;PIM1
ATR activation in response to replication stress	2/15	0.0014490874335407742	0.08433688863207306	0	0	41.395010395010395	270.59178470578604	CDC45;RPA1
G1/S-specific transcription	2/17	0.0018677011427961764	0.09058350542561455	0	0	35.87207207207207	225.38591265569076	RRM2;CDC45
EGFR1 pathway	4/152	0.0026917853571650704	0.11190136270500507	0	0	7.423423423423423	43.92848376282291	TGFB2;RRM2;CA2;FKBP4
Fatty acid biosynthesis	2/25	0.004039740689622874	0.14694556758503205	0	0	23.385428907168038	128.890540062766	SCD;HADH
Activation of the pre-replicative complex	2/30	0.005786228730415143	0.16322823657622132	0	0	19.204633204633204	98.94754273926414	CDC45;RPA1
Butanoate metabolism	2/30	0.005786228730415143	0.16322823657622132	0	0	19.204633204633204	98.94754273926414	HMGCS2;HADH
DNA strand elongation	2/31	0.006170139526936201	0.16322823657622132	0	0	18.54147250698975	94.33963932823616	CDC45;RPA1
E2F-mediated regulation of DNA replication	2/33	0.006971852882838761	0.16823761779546428	0	0	17.3435047951177	86.12566391346115	CDC45;RRM2
Cell cycle	6/453	0.007515769867151326	0.16823761779546428	0	0	3.7348034515819752	18.265996766808748	TGFB2;XPO1;CDC45;RRM2;HIST1H2BK;RPA1
Transport of mature mRNAs derived from intronless transcripts	2/38	0.009169705878052579	0.19059888646523573	0	0	14.93093093093093	70.05368929755022	SLBP;XPO1
G2/M checkpoints	2/43	0.011635391796872908	0.21729607284003227	0	0	13.106789716545814	58.37375928178501	CDC45;RPA1
Valine, leucine and isoleucine degradation	2/44	0.012159729830673252	0.21729607284003227	0	0	12.794079794079794	56.41710205150423	HMGCS2;HADH
HNF3B pathway	2/45	0.012694272296496731	0.21729607284003227	0	0	12.495914519170332	54.564715165542175	ALAS1;HADH
Mitotic G1-G1/S phases	3/135	0.01477696001534085	0.22032514203455433	0	0	6.161892901618929	25.970444158402245	CDC45;RRM2;RPA1
FoxO family signaling	2/49	0.014932833704601885	0.22032514203455433	0	0	11.430132259919494	48.05448073399433	XPO1;FBXO32
FSH regulation of apoptosis	4/263	0.017917371278725336	0.22032514203455433	0	0	4.218146718146718	16.96532103222963	KLF10;ALDH1A3;CPE;PAPSS2
Meiotic recombination	2/54	0.01795081422272284	0.22032514203455433	0	0	10.328482328482329	41.52173635894564	HIST1H2BK;RPA1
Beta-oxidation of lauroyl-CoA to decanoyl-CoA	1/5	0.01885787265075893	0.22032514203455433	0	0	66.4	263.6627670535498	HADH
Ketone body metabolism	1/5	0.01885787265075893	0.22032514203455433	0	0	66.4	263.6627670535498	HMGCS2
Flap intermediate removal from the telomere lagging strand (C-strand)	1/5	0.01885787265075893	0.22032514203455433	0	0	66.4	263.6627670535498	RPA1
Telomere maintenance	2/59	0.021203700976539158	0.22032514203455433	0	0	9.420104314841156	36.30112123515011	HIST1H2BK;RPA1
Klotho-mediated ligand binding	1/6	0.022587129745657998	0.22032514203455433	0	0	53.117333333333335	201.3346131407168	FGFR4
Apoptotic factor-mediated response	1/7	0.026302399386950583	0.22032514203455433	0	0	44.26222222222222	161.0301743357976	APAF1
Homologous DNA pairing and strand exchange	1/7	0.026302399386950583	0.22032514203455433	0	0	44.26222222222222	161.0301743357976	RPA1
Spermatogenesis regulation by CREM	1/7	0.026302399386950583	0.22032514203455433	0	0	44.26222222222222	161.0301743357976	XPO1
T cell receptor signaling in naive CD4+ T cells	2/67	0.026872841041134646	0.22032514203455433	0	0	8.257380457380457	29.863965266146195	TRPV6;FLNA
T cell receptor regulation of apoptosis	6/603	0.027067852559053324	0.22032514203455433	0	0	2.7748743718592963	10.01565516554402	TGFB2;SCD;PIM1;FLNA;ELP6;GTPBP4
PPAR signaling pathway	2/69	0.028375706601186663	0.22032514203455433	0	0	8.01008471157725	28.533699190417526	SCD;HMGCS2
Phase II of biological oxidations: conjugation	2/71	0.02991163326938572	0.22032514203455433	0	0	7.777124951037995	27.293880690462714	UGDH;PAPSS2
