Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins with Altered Expression in Cancer Metabolic Reprogramming	4/85	3.0878486918629926E-4	0.06360968305237764	0	0	13.609739368998628	110.00569607278494	AZGP1;TGFB2;SCD;FBXO32
Acetaminophen Induced Hepatotoxicity	2/15	0.0014490874335407742	0.14925600565469974	0	0	41.395010395010395	270.59178470578604	APAF1;HMGCS2
Lipogenesis/Lipolysis Activation in Cancer Cells and Cancer-Associated Adipocytes	2/32	0.006565377343359374	0.21725629395479937	0	0	17.922522522522524	90.07761774364816	AZGP1;SCD
Proteins with Altered Expression in Melanoma	2/46	0.013238936206266351	0.21725629395479937	0	0	12.211302211302211	52.80891302442309	APAF1;EPHA2
TGFBR Signaling in Pancreatic Neoplasms	2/47	0.013793639037219786	0.21725629395479937	0	0	11.93933933933934	51.14272995357297	TGFB2;APAF1
Cortisol in Resolving Inflammation	2/50	0.015517162822490733	0.21725629395479937	0	0	11.191441441441441	46.62140287744705	SLPI;FKBP4
Renal Tubular Acidosis Associated with Carbonic Anhydrase II Mutation and Osteopetrosis	1/6	0.022587129745657998	0.21725629395479937	0	0	53.117333333333335	201.3346131407168	CA2
Genes with Mutations Associated with Urea Cycle Disorders	1/6	0.022587129745657998	0.21725629395479937	0	0	53.117333333333335	201.3346131407168	ASL
Genes with Mutations Associated with Urolithiasis	1/6	0.022587129745657998	0.21725629395479937	0	0	53.117333333333335	201.3346131407168	TRPV6
Renal Proximal Tubule Acid-Base Homeostasis	1/6	0.022587129745657998	0.21725629395479937	0	0	53.117333333333335	201.3346131407168	CA2
Cocaine Induced Hepatotoxicity	1/6	0.022587129745657998	0.21725629395479937	0	0	53.117333333333335	201.3346131407168	APAF1
Proteins Involved in Dilated Cardiomyopathy	3/167	0.025785054534705663	0.21725629395479937	0	0	4.9515536251252925	18.112586269623232	TMOD1;MED23;RCAN1
Acid Secretion by Collecting Duct of Kidney Nephron	1/7	0.026302399386950583	0.21725629395479937	0	0	44.26222222222222	161.0301743357976	CA2
Ca2+ Absorption Decline in Intestine in Osteoporosis	1/7	0.026302399386950583	0.21725629395479937	0	0	44.26222222222222	161.0301743357976	TRPV6
Ca2+ Reabsorption Decline in Kidney	1/7	0.026302399386950583	0.21725629395479937	0	0	44.26222222222222	161.0301743357976	TRPV6
SCF/CCNF Complex	1/7	0.026302399386950583	0.21725629395479937	0	0	44.26222222222222	161.0301743357976	RRM2
Chronic Myeloid Leukemia	2/70	0.02913957331620123	0.21725629395479937	0	0	7.891891891891892	27.90303165658437	TGFB2;APAF1
Pancreatic Neuroendocrine Tumors	2/71	0.02991163326938572	0.21725629395479937	0	0	7.777124951037995	27.293880690462714	TGFB2;APAF1
Dentin Formation in Rothmund-Thomson Syndrome	1/8	0.030003733059445183	0.21725629395479937	0	0	37.93714285714286	133.0240674608429	RECQL4
Selencompound Biosynthesis	1/8	0.030003733059445183	0.21725629395479937	0	0	37.93714285714286	133.0240674608429	PAPSS2
Estrogen Deficiency in Female Obesity	1/9	0.0336911821161097	0.21725629395479937	0	0	33.193333333333335	112.54263179248726	SCD
TGFBR3 -> ARRB2 Signaling	1/9	0.0336911821161097	0.21725629395479937	0	0	33.193333333333335	112.54263179248726	TGFB2
Bone Resorption by Osteoclasts in Osteoporosis	1/10	0.0373647978046119	0.21725629395479937	0	0	29.503703703703703	96.97944863399397	CA2
Retinoic Acid Signaling Inhibition in Pre-Puberty Block of Meiosis	1/10	0.0373647978046119	0.21725629395479937	0	0	29.503703703703703	96.97944863399397	ALDH1A3
Histone Ubiquitylation	1/10	0.0373647978046119	0.21725629395479937	0	0	29.503703703703703	96.97944863399397	RNF20
Argininosuccinic Aciduria in Urea Cycle Disorders	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	ASL
Ca2+ Reabsorption Decline in Intestine	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	TRPV6
Ca2+ Reabsorption Dysregulation in Urolithiasis	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	TRPV6
Proteins Involved in Ependymoma	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	TGFB2
Citrullinemia Type I	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	ASL
Citrullinemia Type II	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	ASL
EPHA2 Mutations in Cataract	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	EPHA2
Hyperammonemia Type I	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	ASL
Hyperammonemia Type II	1/11	0.041024631208246766	0.21725629395479937	0	0	26.552	84.79600603121183	ASL
Genes with Mutations Associated with Osteopetrosis	1/12	0.04467073326473782	0.21725629395479937	0	0	24.136969696969697	75.02824312324114	CA2
Dioxin Induced Chloracne (Hypothesis)	1/12	0.04467073326473782	0.21725629395479937	0	0	24.136969696969697	75.02824312324114	SLPI
Lipodystrophy, Familial Partial	1/12	0.04467073326473782	0.21725629395479937	0	0	24.136969696969697	75.02824312324114	SCD
Proteins Involved in Astrocytoma	2/92	0.04789445464270348	0.21725629395479937	0	0	5.9561561561561565	18.099302580536936	APOD;FGFR4
Argininemia	1/13	0.04830315471494212	0.21725629395479937	0	0	22.124444444444446	67.04278374363157	ASL
Epithelial Cell in the Saliva Formation	1/13	0.04830315471494212	0.21725629395479937	0	0	22.124444444444446	67.04278374363157	CA2
Protein Folding	1/13	0.04830315471494212	0.21725629395479937	0	0	22.124444444444446	67.04278374363157	FKBP4
Acinar Cells in the Saliva Formation	1/13	0.04830315471494212	0.21725629395479937	0	0	22.124444444444446	67.04278374363157	CA2
Ca2+/Pi Reabsorption Decline in Kidney in Hyperparathyroidism	1/14	0.05192194616352185	0.21725629395479937	0	0	20.42153846153846	60.40719102216577	TRPV6
Ca2+/Pi Reabsorption Decline in Kidney in Hypoparathyroidism	1/14	0.05192194616352185	0.21725629395479937	0	0	20.42153846153846	60.40719102216577	TRPV6
TGFBR/BMPR -> SMAD2/3 Signaling	1/14	0.05192194616352185	0.21725629395479937	0	0	20.42153846153846	60.40719102216577	TGFB2
TLR3 Role in Retinal Pigment Epithelial Cell	1/15	0.05552715802056815	0.21725629395479937	0	0	18.961904761904762	54.81664896212504	APAF1
Actin Cytoskeleton	1/15	0.05552715802056815	0.21725629395479937	0	0	18.961904761904762	54.81664896212504	TMOD1
DNA Replication in DNA Machinery	1/15	0.05552715802056815	0.21725629395479937	0	0	18.961904761904762	54.81664896212504	CDC45
ADAM33 Role in Asthma	1/15	0.05552715802056815	0.21725629395479937	0	0	18.961904761904762	54.81664896212504	TGFB2
Proteins Involved in Androgenetic Alopecia	1/16	0.059118840526939886	0.21725629395479937	0	0	17.69688888888889	50.05044051882733	TGFB2
CDC73 Mutations Cause Hyperparathyroidism	1/16	0.059118840526939886	0.21725629395479937	0	0	17.69688888888889	50.05044051882733	RNF20
TGFBR -> AP-1 Signaling	1/16	0.059118840526939886	0.21725629395479937	0	0	17.69688888888889	50.05044051882733	TGFB2
Androgen Induced Sebocyte Hyperfunction	1/16	0.059118840526939886	0.21725629395479937	0	0	17.69688888888889	50.05044051882733	SCD
Proteins Involved in Melanoma	3/238	0.06214662281441914	0.21725629395479937	0	0	3.443136111920723	9.565923208639498	TGFB2;APAF1;EPHA2
Cell Cycle Overiew	2/107	0.06258860371781234	0.21725629395479937	0	0	5.101415701415702	14.136900692312901	TGFB2;CDC45
TGFBR -> ATF/GADD/MAX/TP53 Signaling	1/17	0.06269704374316237	0.21725629395479937	0	0	16.59	45.94502588618206	TGFB2
Protein Nuclear Import and Export	1/17	0.06269704374316237	0.21725629395479937	0	0	16.59	45.94502588618206	XPO1
Cortisol Signaling in Arterial Hypertension	1/18	0.06626181755179136	0.21725629395479937	0	0	15.613333333333333	42.376795202067306	FLNA
TGFBR -> CREB/ELK-SRF Signaling	1/18	0.06626181755179136	0.21725629395479937	0	0	15.613333333333333	42.376795202067306	TGFB2
FOXA2 Signaling in Prostate Cancer	1/18	0.06626181755179136	0.21725629395479937	0	0	15.613333333333333	42.376795202067306	AGR2
Genes with Mutations in Cancer-Associated Sustaining of Proliferative Signaling	2/112	0.0677868530570091	0.21725629395479937	0	0	4.868304668304669	13.102491947685085	FGFR4;EPHA2
Proteins Involved in HPV Infection	1/19	0.06981321167142542	0.21725629395479937	0	0	14.745185185185186	39.25068041075836	SLPI
TP53 Signaling in Hepatocellular Carcinoma	1/19	0.06981321167142542	0.21725629395479937	0	0	14.745185185185186	39.25068041075836	APAF1
Osteoclasts Function in Osteopetrosis	1/19	0.06981321167142542	0.21725629395479937	0	0	14.745185185185186	39.25068041075836	CA2
Androgen Receptor Genomic Signaling	1/19	0.06981321167142542	0.21725629395479937	0	0	14.745185185185186	39.25068041075836	FLNA
Pancreatic Ductal Carcinoma	2/117	0.07312317529605221	0.21725629395479937	0	0	4.655464159811986	12.17687827100064	TGFB2;APAF1
Insulin Secretion	1/20	0.0733512756104792	0.21725629395479937	0	0	13.968421052631578	36.49243551909278	CPE
Li-Fraumeni Syndrome	1/20	0.0733512756104792	0.21725629395479937	0	0	13.968421052631578	36.49243551909278	APAF1
Myostatin in Skeletal Muscles in Muscular Dystrophies	1/20	0.0733512756104792	0.21725629395479937	0	0	13.968421052631578	36.49243551909278	FBXO32
Proteins Involved in Endometriosis	3/256	0.07382495425648522	0.21725629395479937	0	0	3.1952460880394176	8.32699813457932	RRM2;SLPI;FKBP4
Genes with Mutations Associated with Cataract	1/21	0.07687605873194113	0.22079796936412405	0	0	13.269333333333334	34.043281187726755	EPHA2
