Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
JNK-IN-5A	1/9	0.0336911821161097	0.4472232658798053	0	0	33.193333333333335	112.54263179248726	FGFR4
Torkinib	3/210	0.04589607713311447	0.4472232658798053	0	0	3.9144331943617234	12.061839054587113	PIM1;FGFR4;EPHA2
WH-4-025	2/95	0.05071912838968745	0.4472232658798053	0	0	5.763150247021215	17.18255671634743	FGFR4;EPHA2
PD173074	1/18	0.06626181755179136	0.4472232658798053	0	0	15.613333333333333	42.376795202067306	FGFR4
QL-XI-92	1/22	0.08038761020538497	0.4472232658798053	0	0	12.636825396825397	31.85611269580601	EPHA2
NG25	2/131	0.0887414943260991	0.4472232658798053	0	0	4.147286821705427	10.044843536296465	FGFR4;EPHA2
WZ-7043	1/27	0.09774860155754135	0.4472232658798053	0	0	10.204102564102564	23.72817506630132	FGFR4
ALW-II-49-7	1/29	0.10460207779228121	0.4472232658798053	0	0	9.474285714285715	21.389070339886597	EPHA2
AZD7762	3/302	0.10764209228130783	0.4472232658798053	0	0	2.6973473221239748	6.012234822820125	PIM1;FGFR4;EPHA2
ALW-II-38-3	1/37	0.13150598255242812	0.4472232658798053	0	0	7.365925925925926	14.943275535371535	EPHA2
Dasatinib	1/38	0.13481237161133675	0.4472232658798053	0	0	7.166486486486487	14.360716643585402	EPHA2
AS-252424	1/41	0.1446571877506478	0.4472232658798053	0	0	6.628	12.814499363467858	PIM1
AS601245	1/41	0.1446571877506478	0.4472232658798053	0	0	6.628	12.814499363467858	PIM1
BGJ398	1/44	0.1543914391423307	0.4472232658798053	0	0	6.1646511627906975	11.5171963880252	FGFR4
BMS-536924	2/184	0.15483245853871308	0.4472232658798053	0	0	2.931689931689932	5.468808580096439	FGFR4;EPHA2
Foretinib	1/45	0.15761183181610405	0.4472232658798053	0	0	6.024242424242424	11.130510964997923	EPHA2
XMD11-50	1/47	0.16401635102782586	0.4472232658798053	0	0	5.7617391304347825	10.416009512433067	FGFR4
XMD8-85	1/48	0.16720056718493012	0.4472232658798053	0	0	5.63886524822695	10.085455516530569	FGFR4
WH-4-023	2/198	0.17359183405203202	0.4472232658798053	0	0	2.720353006067292	4.763470096264379	FGFR4;EPHA2
KIN001-127	1/54	0.1860560525481816	0.4472232658798053	0	0	4.998993710691824	8.406844180342443	EPHA2
AZD4547	2/209	0.18858176913786906	0.4472232658798053	0	0	2.5743569656613134	4.294602987334995	FGFR4;EPHA2
HG-6-64-01	2/210	0.1899537473937986	0.4472232658798053	0	0	2.561850311850312	4.255168479456271	FGFR4;EPHA2
HG-9-91-01	2/213	0.19407802104217967	0.4472232658798053	0	0	2.525041629307032	4.139793202920934	FGFR4;EPHA2
CP466722	2/228	0.21486213838995305	0.44919776954466395	0	0	2.3556565414972495	3.6224312780334285	PIM1;EPHA2
WZ-4-145	1/64	0.21654997777892615	0.44919776954466395	0	0	4.203386243386244	6.430903167126818	FGFR4
R406	2/234	0.22323768209411396	0.44919776954466395	0	0	2.29403541472507	3.439947938726765	FGFR4;EPHA2
NVP-TAE684	2/238	0.2288365995793571	0.44919776954466395	0	0	2.254695373339441	3.3251053934842334	FGFR4;EPHA2
AZ-628	1/72	0.24013098600243393	0.45453365207603563	0	0	3.728262910798122	5.318630740466146	EPHA2
SP600125	1/75	0.2487920970957095	0.4546890050369864	0	0	3.5765765765765765	4.975510450760623	PIM1
HG-14-10-04	2/268	0.27105247615532174	0.46244851547176	0	0	1.9973582605161553	2.607437035908243	PIM1;FGFR4
Torin1	1/83	0.2714149696079129	0.46244851547176	0	0	3.2263414634146343	4.207492473945197	FGFR4
CH5424802	1/86	0.2797240695996395	0.46244851547176	0	0	3.112	3.9645374645280653	PIM1
GW843682X	1/89	0.28793964170883174	0.46244851547176	0	0	3.0054545454545454	3.7418041277126273	EPHA2
THZ1	2/289	0.30062613996360976	0.464509269833884	0	0	1.8492325077690932	2.2225700757941897	FGFR4;EPHA2
MLN8054	1/96	0.3067514046072819	0.464509269833884	0	0	2.783017543859649	3.2887408583424422	EPHA2
GW-5074	1/101	0.3198872584361592	0.47094513047545666	0	0	2.6432	3.012684106726311	PIM1
Sorafenib	1/106	0.3327774239489931	0.47668117484585504	0	0	2.5166984126984127	2.769076475621896	EPHA2
GSK461364	1/110	0.342915711177924	0.4782771761165782	0	0	2.4238532110091744	2.5941788353579835	PIM1
XMD15-27	1/117	0.3602931923379665	0.48453199172885086	0	0	2.2767816091954023	2.32422326238517	FGFR4
RO-3306	1/122	0.37242722639354814	0.48453199172885086	0	0	2.1821487603305787	2.1553380637416337	PIM1
AG1478	1/123	0.37482663511099784	0.48453199172885086	0	0	2.164153005464481	2.123665308814808	PIM1
JWE-035	1/128	0.38668854906029426	0.4879641214332285	0	0	2.0784251968503935	1.9747859642464287	FGFR4
A443654	1/134	0.4006299570253738	0.4880905264815308	0	0	1.9840601503759399	1.81485370363265	PIM1
Abemaciclib	1/136	0.40520722953183685	0.4880905264815308	0	0	1.954469135802469	1.7655827201327121	PIM1
XMD16-144	1/160	0.4575156048048205	0.5388517123256775	0	0	1.6574423480083857	1.2960275733751492	FGFR4
GSK1059615	1/165	0.4678276417097757	0.5390188045786546	0	0	1.6065040650406504	1.220389388275743	PIM1
PHA-767491	1/178	0.4937423214923504	0.5567732561509483	0	0	1.4875329566854991	1.0498137614158765	PIM1
Crizotinib	1/200	0.5347903032317255	0.584218980826437	0	0	1.321608040201005	0.8271687875669174	EPHA2
Baricitinib	1/203	0.5401269822734983	0.584218980826437	0	0	1.3017821782178218	0.8018340536039702	FGFR4
CGP74514A	1/233	0.5902794383879139	0.6256962046911887	0	0	1.1317241379310345	0.5965988249212254	PIM1
AZD 5438	1/258	0.6279188377338182	0.6525431058802424	0	0	1.020337224383917	0.4748081728114399	EPHA2
BX-912	1/285	0.6647413890117552	0.6775248772619812	0	0	0.9220657276995305	0.37653218123870663	FGFR4
OTSSP167	1/298	0.6811642343194706	0.6811642343194706	0	0	0.8811223344556678	0.3383085376204616	EPHA2
