Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EPHA2	1/2	0.007585662344158987	0.158406130266375	0	0	265.64	1296.7204240033807	EPHA2
TTN	1/2	0.007585662344158987	0.158406130266375	0	0	265.64	1296.7204240033807	FLNA
FGFR4	1/4	0.01511457659975212	0.158406130266375	0	0	88.53777777777778	371.1588342399145	FGFR4
MAP3K3	1/4	0.01511457659975212	0.158406130266375	0	0	88.53777777777778	371.1588342399145	RCAN1
TRPM7	1/5	0.01885787265075893	0.158406130266375	0	0	66.4	263.6627670535498	TMOD1
BMX	1/7	0.026302399386950583	0.18411679570865408	0	0	44.26222222222222	161.0301743357976	PIM1
CDK1	5/494	0.03984296970447511	0.23905781822685065	0	0	2.7988997378956766	9.020320128201256	UGDH;SLBP;RRM2;FLNA;RBBP6
RPS6KA2	1/16	0.059118840526939886	0.24617911337722362	0	0	17.69688888888889	50.05044051882733	FLNA
CDK2	5/553	0.059259950708761375	0.24617911337722362	0	0	2.4899763544772284	7.0362288878263834	SLBP;RCAN1;RRM2;RBBP6;VIPAS39
PIM1	1/18	0.06626181755179136	0.24617911337722362	0	0	15.613333333333333	42.376795202067306	PIM1
DYRK1A	1/18	0.06626181755179136	0.24617911337722362	0	0	15.613333333333333	42.376795202067306	RCAN1
RPS6KL1	1/21	0.07687605873194113	0.24617911337722362	0	0	13.269333333333334	34.043281187726755	FLNA
RPS6KC1	1/21	0.07687605873194113	0.24617911337722362	0	0	13.269333333333334	34.043281187726755	FLNA
RPS6KA6	1/23	0.08388597903749243	0.24617911337722362	0	0	12.061818181818182	29.892765337545285	FLNA
CAMK2B	1/26	0.09430247690616043	0.24617911337722362	0	0	10.6128	25.05945090071607	FLNA
CAMK2D	1/31	0.11140417537718053	0.24617911337722362	0	0	8.841777777777779	19.40408125999615	FLNA
CAMK2G	1/32	0.11478607601940617	0.24617911337722362	0	0	8.556129032258065	18.52132495692828	FLNA
GSK3A	1/34	0.1215118172783869	0.24617911337722362	0	0	8.036767676767676	16.939446916298973	RCAN1
MAPK4	1/34	0.1215118172783869	0.24617911337722362	0	0	8.036767676767676	16.939446916298973	RCAN1
MAPK1	3/326	0.12730108830932993	0.24617911337722362	0	0	2.4938716654650324	5.140368836195546	UGDH;RCAN1;UBAP2
CDK15	1/36	0.12818712475971267	0.24617911337722362	0	0	7.576761904761905	15.564670508835613	RRM2
CDK18	1/37	0.13150598255242812	0.24617911337722362	0	0	7.365925925925926	14.943275535371535	RRM2
CDK11A	1/38	0.13481237161133675	0.24617911337722362	0	0	7.166486486486487	14.360716643585402	RRM2
CDK14	1/43	0.15115889773631005	0.2645280710385426	0	0	6.311746031746032	11.925562493804499	RRM2
PAK1	1/48	0.16720056718493012	0.2808969528706826	0	0	5.63886524822695	10.085455516530569	FLNA
AKT1	2/210	0.1899537473937986	0.30684836117459774	0	0	2.561850311850312	4.255168479456271	FLNA;EPHA2
RPS6KA1	1/65	0.21953664088892447	0.3415014413827714	0	0	4.1375	6.273426994160108	FLNA
PRKCB	2/250	0.24568888382145093	0.3685333257321764	0	0	2.1442894507410637	3.0099160366779225	TRPV6;FLNA
MTOR	1/78	0.25735577169273355	0.37272215210671755	0	0	3.4367099567099566	4.664632078485927	FLNA
CAMK2A	1/90	0.290657561625685	0.4015859713526312	0	0	2.9715355805243444	3.6716575005112495	FLNA
CSNK2A1	2/286	0.2964086931412278	0.4015859713526312	0	0	1.8690521507422917	2.272797426493266	SLBP;FKBP4
GSK3B	3/527	0.3240071278723866	0.4252593553325074	0	0	1.521489072466799	1.7147026104426863	RCAN1;FLNA;RBBP6
PRKACB	1/111	0.34542643631378817	0.4325513725437581	0	0	2.4016969696969697	2.5529452244051427	FLNA
FYN	1/115	0.35537501071648103	0.4325513725437581	0	0	2.3169590643274853	2.3970833986115316	FLNA
RPS6KA3	2/332	0.3604594771197984	0.4325513725437581	0	0	1.6047502047502047	1.63744817128419	XPO1;FLNA
MAPK9	1/131	0.3936987960431698	0.4593152620503648	0	0	2.030153846153846	1.8924467629967627	SLBP
MAPK14	2/396	0.4457764597356534	0.506016521862093	0	0	1.3396899437508574	1.0823859635921498	RCAN1;FLNA
ATM	1/161	0.45959366560260034	0.5079719461923478	0	0	1.647	1.280398413055432	RNF20
MAPK3	1/202	0.5383548365475548	0.5797667470512128	0	0	1.30832504145937	0.8101637822965138	RCAN1
CSNK2A2	1/229	0.5839180735605497	0.6131139772385772	0	0	1.151812865497076	0.6196690914745303	SLBP
PRKACA	1/393	0.7793387206867156	0.7983469821668794	0	0	0.6643537414965986	0.16562970766618695	FLNA
PRKCA	1/442	0.8176194667968107	0.8176194667968107	0	0	0.5890551776266062	0.11861111979876843	TRPV6
