Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SYK druginhibition 286 GSE43510	7/300	1.4377672940626371E-4	0.01617488205820467	0	0	6.797101449275362	60.13564867289937	RECQL4;UGDH;SLBP;ALAS1;XPO1;RRM2;FBXO22
EGFR drugactivation 30 GDS4361	7/300	1.4377672940626371E-4	0.01617488205820467	0	0	6.797101449275362	60.13564867289937	ALDH1A3;AZGP1;SLPI;SCD;AGR2;FBXO32;EPHA2
SYK druginhibition 155 GSE34176	6/300	9.824157197919864E-4	0.07368117898439898	0	0	5.723032069970846	39.6348357043485	RECQL4;RCAN1;SCD;ZNF207;FLNA;FBXO22
SYK druginhibition 154 GSE34176	5/300	0.005698381924945257	0.18316227615895472	0	0	4.685843876820243	24.214440380938825	SLBP;RCAN1;RRM2;TCTN3;ZNF207
SYK druginhibition 282 GSE43510	5/300	0.005698381924945257	0.18316227615895472	0	0	4.685843876820243	24.214440380938825	SLBP;CDC45;FAM162A;HADH;ELP6
TBK1 druginhibition 188 GSE53658	5/300	0.005698381924945257	0.18316227615895472	0	0	4.685843876820243	24.214440380938825	ALDH1A3;CRTAP;RPA1;FBXO32;ELP6
CDK8 knockdown 63 GSE19199	5/300	0.005698381924945257	0.18316227615895472	0	0	4.685843876820243	24.214440380938825	UGDH;ALAS1;CDC45;RPA1;FKBP4
FGFR3 druginhibition 36 GDS5023	4/300	0.02741626853812764	0.2570275175449466	0	0	3.683933933933934	13.249705674567888	CRTAP;CDC45;FLNA;FKBP4
TGFBR2 knockout 293 GSE46211	4/300	0.02741626853812764	0.2570275175449466	0	0	3.683933933933934	13.249705674567888	CDC45;RPA1;FBXO3;FKBP4
TGFBR2 knockout 296 GSE22989	4/300	0.02741626853812764	0.2570275175449466	0	0	3.683933933933934	13.249705674567888	XPO1;CDC45;RRM2;RPA1
RET knockout 270 GSE32093	4/300	0.02741626853812764	0.2570275175449466	0	0	3.683933933933934	13.249705674567888	RNF20;XPO1;FAM162A;FAM84B
SYK knockdown 190 GSE54065	4/300	0.02741626853812764	0.2570275175449466	0	0	3.683933933933934	13.249705674567888	SLBP;CDC45;ZNF207;RPA1
