Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TRIM24 knockout 300 GSE19675	8/300	1.818135640285466E-5	0.004018079765030881	0	0	7.909750201450443	86.33582407181576	UGDH;RCAN1;SLPI;RPA1;FLNA;RBBP6;UBAP2;GTPBP4
MAP2K1 druginhibition 172 GSE39984	7/300	1.4377672940626371E-4	0.01059155239959476	0	0	6.797101449275362	60.13564867289937	TMOD1;UGDH;TGFB2;RPA1;FBXO3;C21ORF2;HADH
MAP3K7 knockdown 37 GDS5023	7/300	1.4377672940626371E-4	0.01059155239959476	0	0	6.797101449275362	60.13564867289937	CRTAP;RPA1;KIAA2022;FLNA;C21ORF2;CYR61;AIF1L
CDK19 knockdown 164 GSE38061	5/300	0.005698381924945257	0.17990605791612885	0	0	4.685843876820243	24.214440380938825	ALDH1A3;CRTAP;TGFB2;EVA1C;GPR126
TNIK knockdown 297 GSE17623	5/300	0.005698381924945257	0.17990605791612885	0	0	4.685843876820243	24.214440380938825	MED23;RCAN1;CRTAP;TRPV6;HIST1H2BK
HIPK2 defectivemutant 29 GDS4233	5/300	0.005698381924945257	0.17990605791612885	0	0	4.685843876820243	24.214440380938825	KLF10;SLBP;CRTAP;TCTN3;FAM84B
BTK knockout 2 GDS1346	5/300	0.005698381924945257	0.17990605791612885	0	0	4.685843876820243	24.214440380938825	KLF10;CDC45;LRG1;SLPI;PTGR1
ERBB3 knockdown 65 GSE19921	4/300	0.02741626853812764	0.2524581394552587	0	0	3.683933933933934	13.249705674567888	SLC5A6;ZNF121;GPR126;CYR61
ALK druginhibition 187 GSE50803	4/300	0.02741626853812764	0.2524581394552587	0	0	3.683933933933934	13.249705674567888	MED23;SLBP;UBE2T;ASL
SYK druginhibition 154 GSE34176	4/300	0.02741626853812764	0.2524581394552587	0	0	3.683933933933934	13.249705674567888	NARF;TRPV6;RBBP6;PAPSS2
SYK druginhibition 290 GSE43510	4/300	0.02741626853812764	0.2524581394552587	0	0	3.683933933933934	13.249705674567888	HIST1H2BK;DDHD2;RBBP6;UBAP2
MET knockout 249 GDS3148	4/300	0.02741626853812764	0.2524581394552587	0	0	3.683933933933934	13.249705674567888	AZGP1;LRG1;SLPI;PAPSS2
