Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FZD5 knockdown 96h HCC515	7/300	1.4377672940626371E-4	0.36587968307110125	0	0	6.797101449275362	60.13564867289937	RECQL4;CDC45;RRM2;SCGB1D2;RPA1;HADH;FKBP4
GPR151 knockdown 96h HA1E	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	PRRC1;SCGB1D2;PTPLAD1;FKBP4;CYR61;EPHA2
MAP4K4 knockdown 96h HA1E	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	RECQL4;ALAS1;APAF1;AGR2;FKBP4;CYR61
GPR56 knockdown 96h HCC515	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	RECQL4;ALAS1;CDC45;APAF1;CPE;HADH
PIM2 knockdown 96h HCC515	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	SLC5A6;TGOLN2;GPR126;PTPLAD1;FBXO22;BLCAP
PRKD2 knockdown 96h HCC515	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	SLC5A6;ALAS1;PTPLAD1;FKBP4;FBXO22;BLCAP
KSR2 knockdown 96h HT29	6/300	9.824157197919864E-4	0.36587968307110125	0	0	5.723032069970846	39.6348357043485	SLC5A6;RCAN1;TRPV6;PEX11A;BLCAP;EPHA2
CSNK1G2 knockdown 96h A375	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RRM2;CA2;SP110;CPE;FKBP4
GABRA5 knockdown 96h A375	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	MED23;SCGB1D2;HMGCS2;FKBP4;CYR61
GPR151 knockdown 96h A375	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RECQL4;RRM2;ZBTB1;PTPLAD1;FKBP4
MRGPRX3 knockdown 96h A549	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	TCTN3;SCGB1D2;HADH;FKBP4;PAPSS2
F2RL1 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RRM2;SCGB1D2;HADH;FKBP4;CYR61
GABBR1 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RRM2;SCGB1D2;CPE;FKBP4;CYR61
GPR112 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	PRRC1;SCGB1D2;PTPLAD1;CYR61;EPHA2
KCNQ1 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RRM2;CPE;HADH;FKBP4;CYR61
PRKX knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	PRRC1;SCGB1D2;FKBP4;CYR61;EPHA2
PXK knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	TMOD1;RPA1;FGFR4;FBXO22;CYR61
RPS6KA1 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	SCGB1D2;AGR2;FBXO22;CYR61;EPHA2
STK38 knockdown 96h HA1E	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	ALAS1;PTPLAD1;C21ORF2;FKBP4;FBXO22
CSK knockdown 96h HCC515	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	KLF10;CDC45;RRM2;CPE;FKBP4
PRKAA1 knockdown 96h HCC515	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	RECQL4;RRM2;HIST1H2BK;FKBP4;FBXO22
RPS6KA5 knockdown 96h HCC515	5/300	0.005698381924945257	0.47921553801071887	0	0	4.685843876820243	24.214440380938825	SLC5A6;GPR126;PTPLAD1;FBXO22;BLCAP
