Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CELSR3 knockdown 96h A549	6/300	9.824157197919864E-4	0.6836193445089016	0	0	5.723032069970846	39.6348357043485	SLBP;ALAS1;APAF1;SP110;ZBTB1;FBXO22
CHRM1 knockdown 96h A375	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	APAF1;FBXO3;C21ORF2;BLCAP;GTPBP4
FLT3 knockdown 96h A549	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	UGDH;SLBP;ALAS1;ZBTB1;FBXO22
LCK knockdown 96h A549	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	PRRC1;SP110;AGR2;C21ORF2;FKBP4
FZD8 knockdown 96h HEPG2	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	AZGP1;XPO1;APAF1;FKBP4;PAPSS2
GPR65 knockdown 96h HEPG2	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	SCGB1D2;ZBTB1;CPE;FKBP4;FBXO22
IKBKE knockdown 96h HEPG2	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	TGFB2;APAF1;HIST1H2BK;C21ORF2;FBXO22
MCHR2 knockdown 96h HEPG2	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	MED23;AZGP1;APAF1;FKBP4;PAPSS2
GABRB3 knockdown 96h MCF7	5/300	0.005698381924945257	0.6836193445089016	0	0	4.685843876820243	24.214440380938825	APAF1;PEX11A;HIST1H2BK;FBXO22;GTPBP4
GPR139 knockdown 96h A375	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	TGFB2;APAF1;GPR126;FKBP4
IKBKE knockdown 96h A375	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	FAM162A;C21ORF2;FGFR4;FBXO22
NPFFR2 knockdown 96h A375	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	TGFB2;APAF1;SLPI;GTPBP4
PRKX knockdown 96h A375	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	RECQL4;PRRC1;SP110;FKBP4
UTS2R knockdown 96h A375	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	TMOD1;TGFB2;FBXO22;GTPBP4
C9ORF96 knockdown 96h A549	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	APAF1;AGR2;C21ORF2;FKBP4
GPR34 knockdown 96h A549	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	TGFB2;SLPI;AGR2;C21ORF2
PIK3CA knockdown 96h A549	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	AGR2;C21ORF2;FKBP4;FBXO22
AR knockdown 96h HA1E	4/300	0.02741626853812764	0.6836193445089016	0	0	3.683933933933934	13.249705674567888	RECQL4;C21ORF2;FKBP4;GTPBP4
