Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Xenobiotic Metabolism	8/200	9.158285768707189E-7	3.2969828767345884E-5	0	0	12.090686274509803	168.10209046640423	UGDH;TGFB2;ALAS1;CA2;ASL;PTGR1;PAPSS2;EPHA2
Estrogen Response Late	7/200	1.0981296088327086E-5	1.9766332958988755E-4	0	0	10.37148006307727	118.43521951233538	UGDH;CA2;AGR2;CPE;HMGCS2;FKBP4;PAPSS2
E2F Targets	5/200	9.887099209859827E-4	0.008898389288873845	0	0	7.124954857349223	49.29834337305474	SLBP;XPO1;RRM2;UBE2T;RPA1
KRAS Signaling Up	5/200	9.887099209859827E-4	0.008898389288873845	0	0	7.124954857349223	49.29834337305474	ALDH1A3;SLPI;CA2;CPE;APOD
Fatty Acid Metabolism	4/158	0.00309411472957376	0.022277626052931074	0	0	7.132034632034632	41.21070369103288	UGDH;CA2;HMGCS2;HADH
Androgen Response	3/100	0.006547998483950072	0.031984364244611346	0	0	8.400084733794662	42.240631240424875	ALDH1A3;AZGP1;SCD
Estrogen Response Early	4/200	0.007107636498802521	0.031984364244611346	0	0	5.591836734693878	27.660498564595542	KLF10;PEX11A;FKBP4;PAPSS2
p53 Pathway	4/200	0.007107636498802521	0.031984364244611346	0	0	5.591836734693878	27.660498564595542	APAF1;FAM162A;BLCAP;EPHA2
UV Response Up	3/158	0.022345649527166486	0.08938259810866594	0	0	5.241449403446752	19.923397177115138	ALAS1;CA2;FKBP4
mTORC1 Signaling	3/200	0.04068388725460846	0.14646199411659047	0	0	4.115221472776581	13.17662292356699	RRM2;SCD;RPA1
IL-2/STAT5 Signaling	2/199	0.17494626700339702	0.28849492339650795	0	0	2.706406914528742	4.718015297215859	CA2;PIM1
TNF-alpha Signaling via NF-kB	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	KLF10;RCAN1
Hypoxia	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	FAM162A;PIM1
G2-M Checkpoint	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	XPO1;CDC45
Adipogenesis	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	SLC5A6;HADH
Myogenesis	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	SCD;APOD
Interferon Gamma Response	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	SP110;PIM1
Complement	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	CA2;PIM1
Myc Targets V1	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	XPO1;CDC45
Glycolysis	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	FAM162A;FKBP4
heme Metabolism	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	NARF;CA2
Allograft Rejection	2/200	0.17630245318675483	0.28849492339650795	0	0	2.6926016926016927	4.6731563780160865	TGFB2;FLNA
TGF-beta Signaling	1/54	0.1860560525481816	0.2912181692058495	0	0	4.998993710691824	8.406844180342443	KLF10
Cholesterol Homeostasis	1/74	0.2459159400992828	0.36887391014892423	0	0	3.625753424657534	5.086081845921824	SCD
IL-6/JAK/STAT3 Signaling	1/87	0.2824729340691374	0.40676102505955786	0	0	3.0756589147286824	3.8881635472977365	PIM1
Interferon Alpha Response	1/97	0.30939845097369006	0.4283978551943401	0	0	2.753888888888889	3.2306568594921714	SP110
Pperoxisome	1/104	0.3276505482412747	0.4368673976550329	0	0	2.5658252427184465	2.862967409359358	PEX11A
Bile Acid Metabolism	1/112	0.34792769365356846	0.44733560612601664	0	0	2.37993993993994	2.512646813371202	PEX11A
Coagulation	1/138	0.40975000270027484	0.5086551757658584	0	0	1.925742092457421	1.7181626062965698	HMGCS2
Apoptosis	1/161	0.45959366560260034	0.5347903032317255	0	0	1.647	1.280398413055432	TGFB2
Mitotic Spindle	1/199	0.532997864966186	0.5347903032317255	0	0	1.3283501683501684	0.8358482179490926	FLNA
Apical Junction	1/200	0.5347903032317255	0.5347903032317255	0	0	1.321608040201005	0.8271687875669174	HADH
Epithelial Mesenchymal Transition	1/200	0.5347903032317255	0.5347903032317255	0	0	1.321608040201005	0.8271687875669174	FLNA
Inflammatory Response	1/200	0.5347903032317255	0.5347903032317255	0	0	1.321608040201005	0.8271687875669174	SLC31A2
Oxidative Phosphorylation	1/200	0.5347903032317255	0.5347903032317255	0	0	1.321608040201005	0.8271687875669174	ALAS1
KRAS Signaling Dn	1/200	0.5347903032317255	0.5347903032317255	0	0	1.321608040201005	0.8271687875669174	TGFB2
