Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Role of Calcineurin-dependent NFAT signaling in lymphocytes Homo sapiens 61bdd46d-6195-11e5-8ac5-06603eb7f303	3/53	0.0010775747112888028	0.05172358614186254	0	0	16.334794520547945	111.61634356672211	RCAN1;XPO1;PIM1
FOXA2 and FOXA3 transcription factor networks Homo sapiens b6933be8-6192-11e5-8ac5-06603eb7f303	2/45	0.012694272296496731	0.17229958479287927	0	0	12.495914519170332	54.564715165542175	ALAS1;HADH
Fanconi anemia pathway Homo sapiens 6befb873-6192-11e5-8ac5-06603eb7f303	2/47	0.013793639037219786	0.17229958479287927	0	0	11.93933933933934	51.14272995357297	UBE2T;RPA1
FoxO family signaling Homo sapiens d06dbbda-6192-11e5-8ac5-06603eb7f303	2/48	0.01435829873273994	0.17229958479287927	0	0	11.679200940070505	49.55983888532587	XPO1;FBXO32
TCR signaling in naive CD4+ T cells Homo sapiens 0c2862fa-6196-11e5-8ac5-06603eb7f303	2/64	0.024681803928473307	0.21045815960997705	0	0	8.658238884045335	32.05010754891044	TRPV6;FLNA
EphrinA-EPHA pathway Homo sapiens 1fd12dbd-6192-11e5-8ac5-06603eb7f303	1/8	0.030003733059445183	0.21045815960997705	0	0	37.93714285714286	133.0240674608429	EPHA2
E2F transcription factor network Homo sapiens bb4d0fd3-6191-11e5-8ac5-06603eb7f303	2/72	0.030691814943121655	0.21045815960997705	0	0	7.665637065637066	26.705234219814834	RRM2;APAF1
Regulation of nuclear beta catenin signaling and target gene transcription Homo sapiens 1590a3b3-6195-11e5-8ac5-06603eb7f303	2/79	0.03637457327277018	0.21824743963662108	0	0	6.9663039663039665	23.085532204019987	XPO1;CYR61
Sumoylation by RanBP2 regulates transcriptional repression Homo sapiens f70a59a5-6195-11e5-8ac5-06603eb7f303	1/11	0.041024631208246766	0.2187980331106494	0	0	26.552	84.79600603121183	XPO1
IL5-mediated signaling events Homo sapiens e1d816a1-6193-11e5-8ac5-06603eb7f303	1/14	0.05192194616352185	0.24173597296689284	0	0	20.42153846153846	60.40719102216577	PIM1
Beta5 beta6 beta7 and beta8 integrin cell surface interactions Homo sapiens 108637d6-618e-11e5-8ac5-06603eb7f303	1/17	0.06269704374316237	0.24173597296689284	0	0	16.59	45.94502588618206	CYR61
