Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL1326 (FOXO3)	7/383	6.284094678629782E-4	0.5246385100053177	0	0	5.274283071230342	38.88369510899344	MED23;TGOLN2;XPO1;RRM2;RPA1;FLNA;C21ORF2
BL3314 (RNF40)	5/205	0.001103704695169696	0.5246385100053177	0	0	6.945070422535212	47.28955992812456	RNF20;XPO1;RRM2;UBE2T;FLNA
BL8252 (QSER1)	4/126	0.0013575218454237282	0.5246385100053177	0	0	9.017304189435338	59.533093617440436	MED23;RRM2;ZNF207;FLNA
EPI-1236-1 (MAP2K2)	3/77	0.0031524581887009038	0.5246385100053177	0	0	11.023694927804517	63.491772944838495	AZGP1;FLNA;APOD
BL6379 (BCAR1)	4/165	0.003613296977185469	0.5246385100053177	0	0	6.819530710835059	38.34713932331719	XPO1;RRM2;RPA1;FLNA
BL2429 (NCOA4)	5/289	0.0048755228634787895	0.5246385100053177	0	0	4.870065463201746	25.92592949595536	XPO1;RPA1;FLNA;FKBP4;PAPSS2
BL4797 (XPO6)	2/28	0.005052747894675764	0.5246385100053177	0	0	20.683991683991685	109.37328791245815	FLNA;C21ORF2
BL2379 (RFWD3)	3/92	0.005196512221021259	0.5246385100053177	0	0	9.158842542712021	48.173383306910964	XPO1;RPA1;FLNA
BL4782 (AKT1S1)	5/294	0.005238268404137181	0.5246385100053177	0	0	4.784589892294946	25.127538350553294	AZGP1;XPO1;RRM2;FLNA;HMGCS2
BL5259 (TAF6)	3/99	0.006368743665969669	0.5246385100053177	0	0	8.488013698630137	42.918394000552254	MED23;RPA1;FLNA
BL409 (UPF1)	7/581	0.006527834806146571	0.5246385100053177	0	0	3.4199363732767765	17.20802533807591	XPO1;RRM2;RPA1;FLNA;PTGR1;FKBP4;PAPSS2
BL1003 (ATF7IP)	5/311	0.0066150146799960575	0.5246385100053177	0	0	4.514866979655712	22.657468327861057	XPO1;PRRC1;ZNF207;RPA1;FLNA
