Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HSP90AA1	4/231	0.011633685975322246	0.7113219543562869	0	0	4.8206069505628975	21.47026231955422	APAF1;FAM162A;PIM1;FKBP4
TNFRSF1B	3/124	0.011771373991996814	0.7113219543562869	0	0	6.725800973621646	29.876577114129717	XPO1;FLNA;PTPLAD1
HSP90AB1	3/138	0.015665135003176296	0.7113219543562869	0	0	6.024048706240487	25.037860483132253	XPO1;FAM162A;FLNA
ESR1	6/591	0.024842513082350397	0.7113219543562869	0	0	2.8335531135531133	10.470542224317228	MED23;FLNA;PTPLAD1;APOD;FKBP4;GTPBP4
SKP1	3/190	0.03579278342597679	0.7113219543562869	0	0	4.337484433374844	14.443862140534561	CDC45;FBXO3;FBXO32
MDM2	3/197	0.039182609405786765	0.7113219543562869	0	0	4.179494421691851	13.53956524901164	PIM1;ZBTB1;RBBP6
CDK1	6/659	0.03920373146454846	0.7113219543562869	0	0	2.5295558958652373	8.193189420227016	UGDH;SLBP;RRM2;CA2;FLNA;RBBP6
MYC	5/498	0.04101459282274782	0.7113219543562869	0	0	2.7756192326372027	8.864848626979287	ZNF121;XPO1;SCD;PIM1;CYR61
TP53	5/502	0.04220710142570291	0.7113219543562869	0	0	2.7527134638818826	8.712797243406245	RNF20;XPO1;RRM2;RPA1;GTPBP4
CRK	3/215	0.04862084151211245	0.7113219543562869	0	0	3.8211424140604806	11.553999789620127	TGOLN2;XPO1;FLNA
BRCA1	3/216	0.04917518906415692	0.7113219543562869	0	0	3.803009839861084	11.456057805448449	MED23;RPA1;FLNA
PLCG1	3/244	0.06593566263565376	0.7113219543562869	0	0	3.3563917467174442	9.12628364410622	TGOLN2;FLNA;FGFR4
GRB2	6/767	0.0712934955061415	0.7113219543562869	0	0	2.158400600713347	5.700228461109205	TGOLN2;UGDH;FLNA;RBBP6;FGFR4;EPHA2
ITGB1	2/129	0.08645283882790597	0.7113219543562869	0	0	4.213024047669717	10.314141067718786	TGOLN2;FLNA
MCM2	2/129	0.08645283882790597	0.7113219543562869	0	0	4.213024047669717	10.314141067718786	CDC45;RPA1
SMURF1	2/131	0.0887414943260991	0.7113219543562869	0	0	4.147286821705427	10.044843536296465	XPO1;FBXO3
COPS5	2/132	0.08989262234960263	0.7113219543562869	0	0	4.115176715176715	9.914034386975198	TMOD1;FBXO22
STAT1	2/139	0.0980728472113654	0.7113219543562869	0	0	3.9035312684947723	9.064174239907636	XPO1;FGFR4
PIN1	2/145	0.10524608374583921	0.7113219543562869	0	0	3.738612738612739	8.417314665282317	PRRC1;PIM1
PIK3R1	3/301	0.10685095490950958	0.7113219543562869	0	0	2.706536728877448	6.0526831927982485	TGOLN2;FLNA;EPHA2
APC	2/150	0.111330017838537	0.7113219543562869	0	0	3.6113951789627463	7.927938217071732	XPO1;FLNA
SQSTM1	2/165	0.13010348340510128	0.7113219543562869	0	0	3.2765710495771847	6.6823213026771695	CDC45;PTPLAD1
ABL1	3/351	0.1490375808147877	0.7113219543562869	0	0	2.3117619272555503	4.40057010101971	TGOLN2;FLNA;EPHA2
CSNK2A1	4/564	0.16688047050525817	0.7113219543562869	0	0	1.921031746031746	3.439564057179906	RNF20;SLBP;PTPLAD1;FKBP4
TGFBR1	2/216	0.19821417954686826	0.7113219543562869	0	0	2.48926496590048	4.028644139491992	TGFB2;FBXO3
MAP3K3	2/227	0.2134692109374721	0.7113219543562869	0	0	2.3662462462462464	3.654105740849274	RCAN1;FLNA
AR	2/243	0.2358495348721542	0.7113219543562869	0	0	2.2073567343276888	3.1886619843265427	ZBTB1;FLNA
APP	2/247	0.24146941232312827	0.7113219543562869	0	0	2.170876999448428	3.0848432891327042	TGFB2;CPE
RAC1	2/249	0.2442820051927998	0.7113219543562869	0	0	2.1530802057117846	3.0346200588461603	FLNA;PTPLAD1
TUB2	2/255	0.25272818960295906	0.7113219543562869	0	0	2.101378057899797	2.8903209430177674	CDC45;PIM1
CDK2	4/675	0.2545535023997023	0.7113219543562869	0	0	1.5940553071700612	2.181056991554356	SLBP;RCAN1;RRM2;RBBP6
VMA2	3/491	0.2865053237010397	0.7113219543562869	0	0	1.6367617336626994	2.045949157313236	CDC45;PIM1;RPA1
RELA	2/283	0.2921879801394716	0.7113219543562869	0	0	1.889294988939117	2.3245090457583335	MED23;PIM1
GABARAPL1	3/499	0.29481431932337215	0.7113219543562869	0	0	1.6096995139195758	1.96610235383945	FLNA;PTPLAD1;RBBP6
YWHAZ	3/500	0.2958542767561014	0.7113219543562869	0	0	1.6063779939913454	1.9563888905878037	XPO1;FLNA;FKBP4
VHL	2/314	0.33558477382548757	0.7113219543562869	0	0	1.698891198891199	1.8549864697203073	FLNA;PAPSS2
GABARAPL2	3/539	0.336540220014732	0.7113219543562869	0	0	1.4865058270292373	1.6188607568040092	AZGP1;PTPLAD1;GTPBP4
UBC	3/540	0.3375845470390057	0.7113219543562869	0	0	1.4836611310935945	1.6111659157405436	RCAN1;XPO1;FGFR4
ARRB2	2/323	0.3480594339926921	0.7113219543562869	0	0	1.6505009682579777	1.7419090565457755	RPA1;FLNA
SMAD3	2/328	0.35495815643875434	0.7113219543562869	0	0	1.6247720112750788	1.682866328620584	FBXO3;FLNA
IKBKG	2/332	0.3604594771197984	0.7113219543562869	0	0	1.6047502047502047	1.63744817128419	XPO1;FLNA
PRKCB	2/338	0.36868020449314914	0.7113219543562869	0	0	1.5756113256113256	1.5721854190650735	TRPV6;FLNA
PLCG2	1/121	0.3700187303761863	0.7113219543562869	0	0	2.2004444444444444	2.1876855017718606	FLNA
ACTB	2/339	0.3700465286495189	0.7113219543562869	0	0	1.5708557221910338	1.561629345315837	RPA1;FLNA
C1ORF103	1/122	0.37242722639354814	0.7113219543562869	0	0	2.1821487603305787	2.1553380637416337	CPE
HIST1H3A	1/122	0.37242722639354814	0.7113219543562869	0	0	2.1821487603305787	2.1553380637416337	PIM1
GNAI2	1/124	0.37721699035995127	0.7113219543562869	0	0	2.146449864498645	2.092648424370323	RECQL4
XPO1	1/124	0.37721699035995127	0.7113219543562869	0	0	2.146449864498645	2.092648424370323	XPO1
SMURF2	1/124	0.37721699035995127	0.7113219543562869	0	0	2.146449864498645	2.092648424370323	FKBP4
GNAI3	1/125	0.3795983258768587	0.7113219543562869	0	0	2.129032258064516	2.0622692607759006	RECQL4
CAV1	1/125	0.3795983258768587	0.7113219543562869	0	0	2.129032258064516	2.0622692607759006	FLNA
CDH1	1/127	0.38433407186539703	0.7113219543562869	0	0	2.095026455026455	2.003354645968289	RRM2
MED19	1/127	0.38433407186539703	0.7113219543562869	0	0	2.095026455026455	2.003354645968289	MED23
BTK	1/128	0.38668854906029426	0.7113219543562869	0	0	2.0784251968503935	1.9747859642464287	FLNA
HAP2	1/128	0.38668854906029426	0.7113219543562869	0	0	2.0784251968503935	1.9747859642464287	ELP6
CASP8	1/130	0.3913708781373562	0.7113219543562869	0	0	2.0459948320413437	1.9193469972491382	APAF1
HNRNPA1	1/130	0.3913708781373562	0.7113219543562869	0	0	2.0459948320413437	1.9193469972491382	RECQL4
AKT1	2/355	0.3917486219713248	0.7113219543562869	0	0	1.498430441773218	1.404231485246242	FLNA;EPHA2
CHD3	1/132	0.39601792668980634	0.7113219543562869	0	0	2.014554707379135	1.8660735629729877	CPE
ESR2	2/361	0.39980444746492927	0.7113219543562869	0	0	1.4729353308740496	1.3503572590015689	MED23;GTPBP4
FLNA	1/135	0.4029229218431913	0.7113219543562869	0	0	1.9691542288557213	1.7899808782137414	FLNA
UBB	1/135	0.4029229218431913	0.7113219543562869	0	0	1.9691542288557213	1.7899808782137414	RNF20
TSGA14	1/137	0.4074829124483796	0.7113219543562869	0	0	1.94	1.7416471828555156	RNF20
PTP4A3	1/137	0.4074829124483796	0.7113219543562869	0	0	1.94	1.7416471828555156	PTPLAD1
HTZ1	1/138	0.40975000270027484	0.7113219543562869	0	0	1.925742092457421	1.7181626062965698	CDC45
MTOR	1/138	0.40975000270027484	0.7113219543562869	0	0	1.925742092457421	1.7181626062965698	FLNA
SMAD2	2/370	0.4117971249226342	0.7113219543562869	0	0	1.4362514688601644	1.2742774427096206	FBXO3;FLNA
RHOA	1/139	0.41200853227232553	0.7113219543562869	0	0	1.9116908212560386	1.6951177012355618	FLNA
PARP1	1/140	0.41425853308725313	0.7113219543562869	0	0	1.897841726618705	1.6725015347657362	MED23
HSP42	2/373	0.4157694405300906	0.7113219543562869	0	0	1.424419028192613	1.250104897612391	LRG1;RPA1
RPS6KA3	2/375	0.4184104412193255	0.7113219543562869	0	0	1.4166364756177088	1.2343046109602063	XPO1;FLNA
ARX1	1/143	0.420957680168606	0.7113219543562869	0	0	1.8574647887323943	1.6071212058532205	PIM1
NPM1	1/144	0.42317388255798444	0.7113219543562869	0	0	1.8443822843822844	1.586117333092503	XPO1
UBA1	1/144	0.42317388255798444	0.7113219543562869	0	0	1.8443822843822844	1.586117333092503	RNF20
SMARCA4	1/144	0.42317388255798444	0.7113219543562869	0	0	1.8443822843822844	1.586117333092503	RPA1
HSPA1A	1/145	0.42538171392403007	0.7113219543562869	0	0	1.8314814814814815	1.5654924273218345	APAF1
PCNA	1/146	0.4275812054213404	0.7113219543562869	0	0	1.818758620689655	1.5452374295002906	RPA1
MAP1LC3A	2/383	0.42891537529217544	0.7113219543562869	0	0	1.386323331205221	1.1735166553620058	PTPLAD1;RBBP6
COPS6	1/147	0.42977238815253693	0.7113219543562869	0	0	1.8062100456621004	1.5253435532773514	FBXO22
DBP5	1/149	0.4341299512336261	0.7113219543562869	0	0	1.7816216216216216	1.4866053254612128	PIM1
