Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	6/217	1.7682300717518883E-4	0.06241852153284166	0	0	8.007989167230873	69.19191957240747	MED23;ALAS1;SCD;PEX11A;HMGCS2;HADH
PPARA activates gene expression Homo sapiens R-HSA-1989781	4/113	9.063145499305413E-4	0.11758069537019074	0	0	10.099388379204893	70.75756858969703	MED23;ALAS1;PEX11A;HMGCS2
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	4/116	9.992693657523291E-4	0.11758069537019074	0	0	9.827380952380953	67.89232549780283	MED23;ALAS1;PEX11A;HMGCS2
G1/S-Specific Transcription Homo sapiens R-HSA-69205	2/17	0.0018677011427961764	0.16482462585176258	0	0	35.87207207207207	225.38591265569076	RRM2;CDC45
Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833	8/659	0.0034988280266078477	0.21579374499683737	0	0	3.4829673805005874	19.697320219740497	MED23;ALAS1;SCD;PEX11A;DDHD2;HMGCS2;HADH;PTGR1
Metabolism Homo sapiens R-HSA-1430728	15/1908	0.004950691840520804	0.21579374499683737	0	0	2.342235847340937	12.433121781929296	GLYATL2;ALAS1;RRM2;PEX11A;DDHD2;PTGR1;PAPSS2;MED23;SLC5A6;UGDH;CA2;SCD;ASL;HMGCS2;HADH
HSF1 activation Homo sapiens R-HSA-3371511	2/29	0.005413734751782822	0.21579374499683737	0	0	19.916916916916918	103.9427263100929	RPA1;FKBP4
Activation of the pre-replicative complex Homo sapiens R-HSA-68962	2/30	0.005786228730415143	0.21579374499683737	0	0	19.204633204633204	98.94754273926414	CDC45;RPA1
Phase II conjugation Homo sapiens R-HSA-156580	3/100	0.006547998483950072	0.21579374499683737	0	0	8.400084733794662	42.240631240424875	UGDH;GLYATL2;PAPSS2
DNA strand elongation Homo sapiens R-HSA-69190	2/32	0.006565377343359374	0.21579374499683737	0	0	17.922522522522524	90.07761774364816	CDC45;RPA1
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	2/33	0.006971852882838761	0.21579374499683737	0	0	17.3435047951177	86.12566391346115	CDC45;RRM2
Fanconi Anemia Pathway Homo sapiens R-HSA-6783310	2/35	0.007818162442566116	0.21579374499683737	0	0	16.290745290745292	79.03138603697384	UBE2T;RPA1
Activation of ATR in response to replication stress Homo sapiens R-HSA-176187	2/37	0.008708363774497123	0.21579374499683737	0	0	15.358301158301158	72.85166170930836	CDC45;RPA1
G1/S Transition Homo sapiens R-HSA-69206	3/112	0.008935400175760444	0.21579374499683737	0	0	7.4707804448912905	35.24515748086507	CDC45;RRM2;RPA1
Transport of vitamins, nucleosides, and related molecules Homo sapiens R-HSA-425397	2/38	0.009169705878052579	0.21579374499683737	0	0	14.93093093093093	70.05368929755022	SLC5A6;APOD
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279	3/136	0.01506973916573486	0.2543349813298782	0	0	6.11525388814502	25.653897181796435	CDC45;RRM2;RPA1
Meiotic recombination Homo sapiens R-HSA-912446	2/54	0.01795081422272284	0.2543349813298782	0	0	10.328482328482329	41.52173635894564	HIST1H2BK;RPA1
Cytochrome c-mediated apoptotic response Homo sapiens R-HSA-111461	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	APAF1
Activation of caspases through apoptosome-mediated cleavage Homo sapiens R-HSA-111459	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	APAF1
Beta oxidation of hexanoyl-CoA to butanoyl-CoA Homo sapiens R-HSA-77350	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	HADH
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA Homo sapiens R-HSA-77310	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	HADH
Beta oxidation of octanoyl-CoA to hexanoyl-CoA Homo sapiens R-HSA-77348	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	HADH
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA Homo sapiens R-HSA-77346	1/5	0.01885787265075893	0.2543349813298782	0	0	66.4	263.6627670535498	HADH
G2/M Checkpoints Homo sapiens R-HSA-69481	3/150	0.01951439394182967	0.2543349813298782	0	0	5.5289348616158795	21.76522120282455	CDC45;HIST1H2BK;RPA1
Telomere Maintenance Homo sapiens R-HSA-157579	2/59	0.021203700976539158	0.2543349813298782	0	0	9.420104314841156	36.30112123515011	HIST1H2BK;RPA1
Conjugation of benzoate with glycine Homo sapiens R-HSA-177135	1/6	0.022587129745657998	0.2543349813298782	0	0	53.117333333333335	201.3346131407168	GLYATL2
Transport and synthesis of PAPS Homo sapiens R-HSA-174362	1/6	0.022587129745657998	0.2543349813298782	0	0	53.117333333333335	201.3346131407168	PAPSS2
Synthesis of Lipoxins (LX) Homo sapiens R-HSA-2142700	1/6	0.022587129745657998	0.2543349813298782	0	0	53.117333333333335	201.3346131407168	PTGR1
Apoptotic factor-mediated response Homo sapiens R-HSA-111471	1/7	0.026302399386950583	0.2543349813298782	0	0	44.26222222222222	161.0301743357976	APAF1
Synthesis of Ketone Bodies Homo sapiens R-HSA-77111	1/7	0.026302399386950583	0.2543349813298782	0	0	44.26222222222222	161.0301743357976	HMGCS2
Erythrocytes take up oxygen and release carbon dioxide Homo sapiens R-HSA-1247673	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	CA2
Transport of fatty acids Homo sapiens R-HSA-804914	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	APOD
HuR (ELAVL1) binds and stabilizes mRNA Homo sapiens R-HSA-450520	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	XPO1
mitochondrial fatty acid beta-oxidation of saturated fatty acids Homo sapiens R-HSA-77286	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	HADH
Conjugation of salicylate with glycine Homo sapiens R-HSA-177128	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	GLYATL2
Ketone body metabolism Homo sapiens R-HSA-74182	1/8	0.030003733059445183	0.2543349813298782	0	0	37.93714285714286	133.0240674608429	HMGCS2
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	5/462	0.031213549776351757	0.2543349813298782	0	0	2.999815083058526	10.400067883118753	XPO1;CDC45;RRM2;HIST1H2BK;RPA1
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	3/182	0.032114248357937095	0.2543349813298782	0	0	4.533175174102701	15.58712098859485	CDC45;HIST1H2BK;RPA1
Conjugation of carboxylic acids Homo sapiens R-HSA-159424	1/9	0.0336911821161097	0.2543349813298782	0	0	33.193333333333335	112.54263179248726	GLYATL2
Amino Acid conjugation Homo sapiens R-HSA-156587	1/9	0.0336911821161097	0.2543349813298782	0	0	33.193333333333335	112.54263179248726	GLYATL2
G2/M DNA damage checkpoint Homo sapiens R-HSA-69473	2/78	0.03553950771256639	0.2543349813298782	0	0	7.058321479374111	23.554397365967027	HIST1H2BK;RPA1
Regulation of HSF1-mediated heat shock response Homo sapiens R-HSA-3371453	2/80	0.03721720307227453	0.2543349813298782	0	0	6.876645876645877	22.630932766884165	RPA1;FKBP4
GP1b-IX-V activation signalling Homo sapiens R-HSA-430116	1/10	0.0373647978046119	0.2543349813298782	0	0	29.503703703703703	96.97944863399397	FLNA
Removal of the Flap Intermediate from the C-strand Homo sapiens R-HSA-174437	1/10	0.0373647978046119	0.2543349813298782	0	0	29.503703703703703	96.97944863399397	RPA1
Urea cycle Homo sapiens R-HSA-70635	1/10	0.0373647978046119	0.2543349813298782	0	0	29.503703703703703	96.97944863399397	ASL
Processing of DNA double-strand break ends Homo sapiens R-HSA-5693607	2/81	0.038067329234485386	0.2543349813298782	0	0	6.789257612042422	22.190001874209994	HIST1H2BK;RPA1
DNA Replication Pre-Initiation Homo sapiens R-HSA-69002	2/82	0.03892488427816526	0.2543349813298782	0	0	6.704054054054054	21.762174231374228	CDC45;RPA1
M/G1 Transition Homo sapiens R-HSA-68874	2/82	0.03892488427816526	0.2543349813298782	0	0	6.704054054054054	21.762174231374228	CDC45;RPA1
Biological oxidations Homo sapiens R-HSA-211859	3/199	0.04018024277745715	0.2543349813298782	0	0	4.13642717360917	13.296048271044539	UGDH;GLYATL2;PAPSS2
Processive synthesis on the C-strand of the telomere Homo sapiens R-HSA-174414	1/11	0.041024631208246766	0.2543349813298782	0	0	26.552	84.79600603121183	RPA1
Biotin transport and metabolism Homo sapiens R-HSA-196780	1/11	0.041024631208246766	0.2543349813298782	0	0	26.552	84.79600603121183	SLC5A6
SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs Homo sapiens R-HSA-77588	1/11	0.041024631208246766	0.2543349813298782	0	0	26.552	84.79600603121183	SLBP
Signaling by FGFR4 in disease Homo sapiens R-HSA-5655291	1/11	0.041024631208246766	0.2543349813298782	0	0	26.552	84.79600603121183	FGFR4
Heme biosynthesis Homo sapiens R-HSA-189451	1/11	0.041024631208246766	0.2543349813298782	0	0	26.552	84.79600603121183	ALAS1
Meiosis Homo sapiens R-HSA-1500620	2/85	0.04154145371741377	0.2543349813298782	0	0	6.460761966786063	20.552093852105997	HIST1H2BK;RPA1
Chromosome Maintenance Homo sapiens R-HSA-73886	2/86	0.0424280572502087	0.2543349813298782	0	0	6.383526383526384	20.17159488240805	HIST1H2BK;RPA1
Erythrocytes take up carbon dioxide and release oxygen Homo sapiens R-HSA-1237044	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	CA2
O2/CO2 exchange in erythrocytes Homo sapiens R-HSA-1480926	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	CA2
Reversible hydration of carbon dioxide Homo sapiens R-HSA-1475029	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	CA2
Unwinding of DNA Homo sapiens R-HSA-176974	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	CDC45
TP53 Regulates Transcription of Caspase Activators and Caspases Homo sapiens R-HSA-6803207	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	APAF1
Vitamin B5 (pantothenate) metabolism Homo sapiens R-HSA-199220	1/12	0.04467073326473782	0.2543349813298782	0	0	24.136969696969697	75.02824312324114	SLC5A6
Cellular response to heat stress Homo sapiens R-HSA-3371556	2/96	0.0516738181926809	0.26927745852061763	0	0	5.701552616446233	16.89258314724502	RPA1;FKBP4
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta) Homo sapiens R-HSA-5358606	1/14	0.05192194616352185	0.26927745852061763	0	0	20.42153846153846	60.40719102216577	RPA1
Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha) Homo sapiens R-HSA-5358565	1/14	0.05192194616352185	0.26927745852061763	0	0	20.42153846153846	60.40719102216577	RPA1
Removal of the Flap Intermediate Homo sapiens R-HSA-69166	1/14	0.05192194616352185	0.26927745852061763	0	0	20.42153846153846	60.40719102216577	RPA1
FGFR4 ligand binding and activation Homo sapiens R-HSA-190322	1/14	0.05192194616352185	0.26927745852061763	0	0	20.42153846153846	60.40719102216577	FGFR4
Synthesis of Prostaglandins (PG) and Thromboxanes (TX) Homo sapiens R-HSA-2162123	1/14	0.05192194616352185	0.26927745852061763	0	0	20.42153846153846	60.40719102216577	PTGR1
Synthesis of DNA Homo sapiens R-HSA-69239	2/97	0.05263497064567314	0.26927745852061763	0	0	5.641251778093883	16.609958103366875	CDC45;RPA1
Mismatch Repair Homo sapiens R-HSA-5358508	1/15	0.05552715802056815	0.2760716448064867	0	0	18.961904761904762	54.81664896212504	RPA1
Processive synthesis on the lagging strand Homo sapiens R-HSA-69183	1/15	0.05552715802056815	0.2760716448064867	0	0	18.961904761904762	54.81664896212504	RPA1
Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	1/16	0.059118840526939886	0.27665070551670395	0	0	17.69688888888889	50.05044051882733	FLNA
Translesion synthesis by REV1 Homo sapiens R-HSA-110312	1/16	0.059118840526939886	0.27665070551670395	0	0	17.69688888888889	50.05044051882733	RPA1
Platelet degranulation Homo sapiens R-HSA-114608	2/105	0.06054954937053521	0.27665070551670395	0	0	5.200997113618473	14.585121105652236	TGFB2;FLNA
DNA Replication Homo sapiens R-HSA-69306	2/105	0.06054954937053521	0.27665070551670395	0	0	5.200997113618473	14.585121105652236	CDC45;RPA1
HATs acetylate histones Homo sapiens R-HSA-3214847	2/107	0.06258860371781234	0.27665070551670395	0	0	5.101415701415702	14.136900692312901	HIST1H2BK;ELP6
Translesion synthesis by POLK Homo sapiens R-HSA-5655862	1/17	0.06269704374316237	0.27665070551670395	0	0	16.59	45.94502588618206	RPA1
Translesion synthesis by POLI Homo sapiens R-HSA-5656121	1/17	0.06269704374316237	0.27665070551670395	0	0	16.59	45.94502588618206	RPA1
Mitochondrial Fatty Acid Beta-Oxidation Homo sapiens R-HSA-77289	1/17	0.06269704374316237	0.27665070551670395	0	0	16.59	45.94502588618206	HADH
Metabolism of porphyrins Homo sapiens R-HSA-189445	1/17	0.06269704374316237	0.27665070551670395	0	0	16.59	45.94502588618206	ALAS1
Cell Cycle Homo sapiens R-HSA-1640170	5/566	0.06415777589010443	0.2784573999497899	0	0	2.430644472897994	6.675546240822059	XPO1;CDC45;RRM2;HIST1H2BK;RPA1
Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	2/110	0.06569059129720567	0.2784573999497899	0	0	4.958958958958959	13.50225132502232	TGFB2;FLNA
Miscellaneous transport and binding events Homo sapiens R-HSA-5223345	1/18	0.06626181755179136	0.2784573999497899	0	0	15.613333333333333	42.376795202067306	AZGP1
Cytosolic sulfonation of small molecules Homo sapiens R-HSA-156584	1/18	0.06626181755179136	0.2784573999497899	0	0	15.613333333333333	42.376795202067306	PAPSS2
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA) Homo sapiens R-HSA-5693567	2/112	0.0677868530570091	0.2815148132838143	0	0	4.868304668304669	13.102491947685085	HIST1H2BK;RPA1
Translesion Synthesis by POLH Homo sapiens R-HSA-110320	1/19	0.06981321167142542	0.2832651002300365	0	0	14.745185185185186	39.25068041075836	RPA1
PCNA-Dependent Long Patch Base Excision Repair Homo sapiens R-HSA-5651801	1/19	0.06981321167142542	0.2832651002300365	0	0	14.745185185185186	39.25068041075836	RPA1
RHO GTPase Effectors Homo sapiens R-HSA-195258	3/255	0.07315194227164878	0.2877000032277684	0	0	3.20808871493803	8.389846861470366	XPO1;HIST1H2BK;FLNA
Lagging Strand Synthesis Homo sapiens R-HSA-69186	1/20	0.0733512756104792	0.2877000032277684	0	0	13.968421052631578	36.49243551909278	RPA1
Glucuronidation Homo sapiens R-HSA-156588	1/20	0.0733512756104792	0.2877000032277684	0	0	13.968421052631578	36.49243551909278	UGDH
Homology Directed Repair Homo sapiens R-HSA-5693538	2/118	0.07420639785316498	0.287855587276563	0	0	4.615097856477167	12.003430666225853	HIST1H2BK;RPA1
Transmembrane transport of small molecules Homo sapiens R-HSA-382551	5/594	0.07546453677948589	0.2881510291751546	0	0	2.3117482484038354	5.973771182531882	SLC5A6;AZGP1;TRPV6;APOD;ABCC11
RHO GTPases activate PAKs Homo sapiens R-HSA-5627123	1/21	0.07687605873194113	0.2881510291751546	0	0	13.269333333333334	34.043281187726755	FLNA
Synthesis of Leukotrienes (LT) and Eoxins (EX) Homo sapiens R-HSA-2142691	1/21	0.07687605873194113	0.2881510291751546	0	0	13.269333333333334	34.043281187726755	PTGR1
Resolution of AP sites via the multiple-nucleotide patch replacement pathway Homo sapiens R-HSA-110373	1/22	0.08038761020538497	0.2881510291751546	0	0	12.636825396825397	31.85611269580601	RPA1
Telomere C-strand (Lagging Strand) Synthesis Homo sapiens R-HSA-174417	1/22	0.08038761020538497	0.2881510291751546	0	0	12.636825396825397	31.85611269580601	RPA1
RA biosynthesis pathway Homo sapiens R-HSA-5365859	1/22	0.08038761020538497	0.2881510291751546	0	0	12.636825396825397	31.85611269580601	ALDH1A3
Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	1/22	0.08038761020538497	0.2881510291751546	0	0	12.636825396825397	31.85611269580601	XPO1
S Phase Homo sapiens R-HSA-69242	2/124	0.08081289486781956	0.2881510291751546	0	0	4.386796632698272	11.03550780129008	CDC45;RPA1
Gap-filling DNA repair synthesis and ligation in GG-NER Homo sapiens R-HSA-5696397	1/23	0.08388597903749243	0.2931856495072755	0	0	12.061818181818182	29.892765337545285	RPA1
SHC-mediated cascade:FGFR4 Homo sapiens R-HSA-5654719	1/23	0.08388597903749243	0.2931856495072755	0	0	12.061818181818182	29.892765337545285	FGFR4
Insulin processing Homo sapiens R-HSA-264876	1/24	0.0873712140350116	0.29655806302268356	0	0	11.536811594202899	28.122009760714384	CPE
Post-Elongation Processing of Intronless pre-mRNA Homo sapiens R-HSA-112297	1/24	0.0873712140350116	0.29655806302268356	0	0	11.536811594202899	28.122009760714384	SLBP
Processing of Capped Intronless Pre-mRNA Homo sapiens R-HSA-75067	1/24	0.0873712140350116	0.29655806302268356	0	0	11.536811594202899	28.122009760714384	SLBP
TRP channels Homo sapiens R-HSA-3295583	1/25	0.09084336383222283	0.30252554181862884	0	0	11.055555555555555	26.518060438580466	TRPV6
Synthesis and interconversion of nucleotide di- and triphosphates Homo sapiens R-HSA-499943	1/25	0.09084336383222283	0.30252554181862884	0	0	11.055555555555555	26.518060438580466	RRM2
Downregulation of TGF-beta receptor signaling Homo sapiens R-HSA-2173788	1/26	0.09430247690616043	0.3060977034833316	0	0	10.6128	25.05945090071607	XPO1
Attenuation phase Homo sapiens R-HSA-3371568	1/26	0.09430247690616043	0.3060977034833316	0	0	10.6128	25.05945090071607	FKBP4
