Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
down 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	10/958	0.0032866376297400962	0.14461205570856422	0	0	3.0328602480501217	17.34156199292555	TGOLN2;UGDH;RRM2;UBE2T;FLNA;PTPLAD1;ESAM;UBAP2;GTPBP4;EPHA2
down HS+LS 90min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	2/47	0.013793639037219786	0.3011770700536569	0	0	11.93933933933934	51.14272995357297	RRM2;PTPLAD1
down HS+LS 30min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	2/58	0.020534800230931155	0.3011770700536569	0	0	9.588803088803088	37.25858179275508	RRM2;PTPLAD1
up HS+LS 3min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745]	2/81	0.038067329234485386	0.3584115390443183	0	0	6.789257612042422	22.190001874209994	RRM2;PTPLAD1
up 10min EGF vs ctrl HeLa (Human) [17081983]	8/1038	0.042975515812609104	0.3584115390443183	0	0	2.1580810965162764	6.791750377757385	TMOD1;TGOLN2;RNF20;SLBP;SLC31A2;FLNA;PTPLAD1;RBBP6
up 240min BMP4 vs ctrl hESC (Human) [19664995]	3/229	0.0566627551042838	0.3584115390443183	0	0	3.581888713783489	10.282306428644425	TGOLN2;SLBP;RRM2
down PTP1B KO PDGF vs basal MEF (Mouse) [18515860]	1/22	0.08038761020538497	0.3584115390443183	0	0	12.636825396825397	31.85611269580601	EPHA2
down EGF PTP1B KO vs wt MEF (Mouse) [18515860]	1/23	0.08388597903749243	0.3584115390443183	0	0	12.061818181818182	29.892765337545285	EPHA2
down PDGF PTP1B KO vs wt MEF (Mouse) [18515860]	1/23	0.08388597903749243	0.3584115390443183	0	0	12.061818181818182	29.892765337545285	EPHA2
down starvation PTP1B KO vs wt MEF (Mouse) [18515860]	1/23	0.08388597903749243	0.3584115390443183	0	0	12.061818181818182	29.892765337545285	EPHA2
up 30min BMP4 vs ctrl hESC (Human) [19664995]	2/134	0.09220823009882584	0.3584115390443183	0	0	4.052416052416053	9.65976800824924	RNF20;FLNA
down PTP1B KO EGF vs basal MEF (Mouse) [18515860]	1/27	0.09774860155754135	0.3584115390443183	0	0	10.204102564102564	23.72817506630132	EPHA2
down 30min BMP4 vs ctrl hESC (Human) [19664995]	4/488	0.11486018542193958	0.38688041855083893	0	0	2.231404958677686	4.828848848666762	RRM2;FLNA;PTPLAD1;RBBP6
up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	7/1098	0.12309831499344875	0.38688041855083893	0	0	1.7512320833167285	3.6684318180471895	RNF20;UGDH;FLNA;RBBP6;ESAM;UBAP2;EPHA2
down basal PTP1B KO vs wt MEF (Mouse) [18515860]	1/38	0.13481237161133675	0.39104239498631355	0	0	7.166486486486487	14.360716643585402	EPHA2
up 60min BMP4 vs ctrl hESC (Human) [19664995]	2/179	0.14823525844954732	0.39104239498631355	0	0	3.0152695067949304	5.756012845958728	RNF20;RRM2
