Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HCC827 Cytosol C5 30609389	8/250	4.8275762479837035E-6	3.813785235907126E-4	0	0	9.56830335439961	117.12718996997451	UGDH;PIM1;FBXO3;FLNA;FKBP4;FBXO22;PAPSS2;AIF1L
H322 Cytosol C5 30609389	6/219	1.858347470671775E-4	0.007340472509153511	0	0	7.931991951710262	68.1409883602293	UGDH;FBXO3;UBAP2;FKBP4;FBXO22;PAPSS2
MCF7 Cytosol C5 30609389	5/172	5.008281418480684E-4	0.013188474401999134	0	0	8.331365438137809	63.312108360357335	UGDH;FLNA;UBAP2;FKBP4;PAPSS2
U251 Cytosol C5 30609389	3/72	0.0026053311498374695	0.051455290209290024	0	0	11.825491363907087	70.36398539234469	FBXO3;FLNA;FBXO22
MCF7 Nuclear N4 30609389	10/1028	0.005394212548127354	0.0852285582604122	0	0	2.813895338453295	14.695367635029386	KLF10;RNF20;SLBP;CDC45;UBE2T;ZNF207;ZBTB1;RPA1;RBBP6;FBXO22
U251 Cytosol Unclassified 30609389	18/2632	0.00865251640921778	0.10971660360775967	0	0	2.0551143708941244	9.761598202591461	NARF;RRM2;APAF1;DDHD2;PTGR1;ELP6;PAPSS2;AIF1L;ALDH1A3;UGDH;CA2;UBE2T;PIM1;ASL;C21ORF2;VIPAS39;UBAP2;FKBP4
MCF7 Cytosol Unclassified 30609389	19/2871	0.009721724370307818	0.10971660360775967	0	0	1.9953249181860682	9.245123055835718	TMOD1;ZNF121;NARF;RRM2;APAF1;CRISP3;PTGR1;ELP6;AIF1L;RCAN1;AZGP1;XPO1;PRRC1;LRG1;SLPI;CA2;FBXO3;ASL;FAM84B
HCC827 Cytosol Unclassified 30609389	17/2501	0.011500575349303736	0.1135681815743744	0	0	2.022980976555037	9.033334721417384	TMOD1;SLBP;NARF;RRM2;APAF1;DDHD2;PTGR1;FBXO32;ELP6;ALDH1A3;RCAN1;CDC45;UBE2T;CPE;ASL;VIPAS39;UBAP2
A431 Cytosol Unclassified 30609389	17/2549	0.013746467637567261	0.1159238131181729	0	0	1.979168340161191	8.48464200258442	SLBP;RRM2;APAF1;SLC31A2;PTGR1;ELP6;PAPSS2;UGDH;RCAN1;XPO1;CA2;UBE2T;PIM1;ASL;VIPAS39;UBAP2;FKBP4
HCC827 Secretory S3 30609389	5/379	0.01467390039470543	0.1159238131181729	0	0	3.681177976952625	15.540773282899956	SLC5A6;CRTAP;ZBTB1;ESAM;FGFR4
MCF7 Secretory Unclassified 30609389	13/1808	0.01805390707939368	0.12965987811564553	0	0	2.084069505239422	8.366274364577933	CRTAP;TGFB2;PEX11A;CYR61;SLC5A6;ZNF93;TCTN3;SCD;AGR2;PTPLAD1;ESAM;FGFR4;EPHA2
H322 Cytosol Unclassified 30609389	16/2508	0.024783226194739737	0.14844811001221864	0	0	1.865382557517389	6.8974165662973865	SLBP;NARF;RRM2;APAF1;PTGR1;ELP6;AIF1L;ALDH1A3;CDC45;PRRC1;CA2;UBE2T;PIM1;FLNA;ASL;VIPAS39
A431 Nuclear N1 30609389	6/598	0.02612505436484284	0.14844811001221864	0	0	2.799034749034749	10.202091160591529	MED23;RECQL4;ZNF121;PRRC1;LRG1;SP110
U251 Unclassified Unclassified 30609389	8/942	0.026307260002165326	0.14844811001221864	0	0	2.391988915480539	8.701841190092226	TMOD1;RECQL4;AZGP1;TGFB2;ALAS1;LRG1;HADH;FAM84B
HCC827 Nuclear N1 30609389	6/663	0.04018469317053266	0.20105367334148408	0	0	2.5136333985649055	8.07949421896923	KLF10;MED23;RECQL4;ZNF121;ZNF93;SLPI
U251 Cytosol C2 30609389	5/497	0.04071973130966766	0.20105367334148408	0	0	2.781403870376732	8.903392013335015	KLF10;XPO1;CDC45;PRRC1;SLPI
