Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nuclear Receptors Meta-Pathway WP2882	6/319	0.0013459259854368762	0.13265562291767594	0	0	5.3704244637151985	35.50212020383874	SLC5A6;TGFB2;ALAS1;SCD;PTGR1;EPHA2
NRF2 pathway WP2884	4/146	0.0023269386884749543	0.13265562291767594	0	0	7.73943661971831	46.92576560168329	SLC5A6;TGFB2;PTGR1;EPHA2
Fatty Acid Biosynthesis WP357	2/22	0.003133597391756124	0.13265562291767594	0	0	26.897297297297296	155.0783474227624	SCD;HADH
Retinoblastoma gene in cancer WP2446	3/87	0.004445836066787023	0.14115529512048797	0	0	9.706457925636007	52.56811191289744	CDC45;RRM2;RPA1
DNA Replication WP466	2/42	0.011121341657353713	0.23741539683623286	0	0	13.435135135135136	60.44318630537966	CDC45;RPA1
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	2/46	0.013238936206266351	0.23741539683623286	0	0	12.211302211302211	52.80891302442309	SCD;HMGCS2
Synthesis and Degradation of Ketone Bodies WP311	1/5	0.01885787265075893	0.23741539683623286	0	0	66.4	263.6627670535498	HMGCS2
G1 to S cell cycle control WP45	2/64	0.024681803928473307	0.23741539683623286	0	0	8.658238884045335	32.05010754891044	CDC45;RPA1
PPAR signaling pathway WP3942	2/67	0.026872841041134646	0.23741539683623286	0	0	8.257380457380457	29.863965266146195	SCD;HMGCS2
ATR Signaling WP3875	1/9	0.0336911821161097	0.23741539683623286	0	0	33.193333333333335	112.54263179248726	RPA1
Urea cycle and related diseases WP4571	1/9	0.0336911821161097	0.23741539683623286	0	0	33.193333333333335	112.54263179248726	ASL
Heme Biosynthesis WP561	1/9	0.0336911821161097	0.23741539683623286	0	0	33.193333333333335	112.54263179248726	ALAS1
Joubert Syndrome WP4656	2/76	0.033892342835198215	0.23741539683623286	0	0	7.24981738495252	24.537486624824087	TCTN3;FLNA
DNA IR-damage and cellular response via ATR WP4016	2/80	0.03721720307227453	0.23741539683623286	0	0	6.876645876645877	22.630932766884165	CDC45;RPA1
Liver X receptor pathway WP2874	1/10	0.0373647978046119	0.23741539683623286	0	0	29.503703703703703	96.97944863399397	SCD
Alanine and aspartate metabolism WP106	1/12	0.04467073326473782	0.23741539683623286	0	0	24.136969696969697	75.02824312324114	ASL
Bile acids synthesis and enterohepatic circulation  WP4389	1/12	0.04467073326473782	0.23741539683623286	0	0	24.136969696969697	75.02824312324114	FGFR4
Biomarkers for urea cycle disorders WP4583	1/12	0.04467073326473782	0.23741539683623286	0	0	24.136969696969697	75.02824312324114	ASL
Androgen receptor signaling pathway WP138	2/90	0.04604479477336015	0.23741539683623286	0	0	6.092137592137592	18.75245580061792	FLNA;FKBP4
Amino Acid metabolism WP3925	2/91	0.04696623705493484	0.23741539683623286	0	0	6.023382933495293	18.42147041608476	HMGCS2;HADH
Homologous recombination WP186	1/13	0.04830315471494212	0.23741539683623286	0	0	22.124444444444446	67.04278374363157	RPA1
Omega-9 FA synthesis WP4724	1/14	0.05192194616352185	0.23741539683623286	0	0	20.42153846153846	60.40719102216577	SCD
Pathways Regulating Hippo Signaling WP4540	2/98	0.05360252430785276	0.23741539683623286	0	0	5.582207207207207	16.33442651078147	FGFR4;EPHA2
Biomarkers for pyrimidine metabolism disorders WP4584	1/15	0.05552715802056815	0.23741539683623286	0	0	18.961904761904762	54.81664896212504	RRM2
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	1/16	0.059118840526939886	0.23741539683623286	0	0	17.69688888888889	50.05044051882733	SCD
Sulfation Biotransformation Reaction WP692	1/17	0.06269704374316237	0.23741539683623286	0	0	16.59	45.94502588618206	PAPSS2
Mitochondrial LC-Fatty Acid Beta-Oxidation WP368	1/17	0.06269704374316237	0.23741539683623286	0	0	16.59	45.94502588618206	HADH
Platelet-mediated interactions with vascular and circulating cells WP4462	1/17	0.06269704374316237	0.23741539683623286	0	0	16.59	45.94502588618206	TGFB2
Pyrimidine metabolism and related diseases WP4225	1/17	0.06269704374316237	0.23741539683623286	0	0	16.59	45.94502588618206	RRM2
Proteoglycan biosynthesis WP4784	1/18	0.06626181755179136	0.23741539683623286	0	0	15.613333333333333	42.376795202067306	PAPSS2
MAPK Signaling Pathway WP382	3/246	0.06722196297176802	0.23741539683623286	0	0	3.328428885506511	8.98594337425135	TGFB2;FLNA;FGFR4
Apoptosis Modulation by HSP70 WP384	1/19	0.06981321167142542	0.23741539683623286	0	0	14.745185185185186	39.25068041075836	APAF1
Nucleotide metabolism WP404	1/19	0.06981321167142542	0.23741539683623286	0	0	14.745185185185186	39.25068041075836	RRM2
Imatinib and Chronic Myeloid Leukemia WP3640	1/20	0.0733512756104792	0.23741539683623286	0	0	13.968421052631578	36.49243551909278	PIM1
Nanomaterial induced apoptosis WP2507	1/20	0.0733512756104792	0.23741539683623286	0	0	13.968421052631578	36.49243551909278	APAF1
Hypertrophy Model WP516	1/20	0.0733512756104792	0.23741539683623286	0	0	13.968421052631578	36.49243551909278	CYR61
Cell cycle WP179	2/120	0.07638836560652136	0.23741539683623286	0	0	4.536417773705909	11.667325724854228	TGFB2;CDC45
Hippo-Merlin Signaling Dysregulation WP4541	2/120	0.07638836560652136	0.23741539683623286	0	0	4.536417773705909	11.667325724854228	FGFR4;EPHA2
Urea cycle and metabolism of amino groups WP497	1/21	0.07687605873194113	0.23741539683623286	0	0	13.269333333333334	34.043281187726755	ASL
Host-pathogen interaction of human coronaviruses - apoptosis WP4864	1/21	0.07687605873194113	0.23741539683623286	0	0	13.269333333333334	34.043281187726755	APAF1
VEGFA-VEGFR2 Signaling Pathway WP3888	4/432	0.08214905749173364	0.23741539683623286	0	0	2.530633437175493	6.324609464978364	TMOD1;RCAN1;CYR61;EPHA2
DNA Mismatch Repair WP531	1/23	0.08388597903749243	0.23741539683623286	0	0	12.061818181818182	29.892765337545285	RPA1
Urea cycle and associated pathways WP4595	1/24	0.0873712140350116	0.23741539683623286	0	0	11.536811594202899	28.122009760714384	ASL
miRNA regulation of p53 pathway in prostate cancer WP3982	1/24	0.0873712140350116	0.23741539683623286	0	0	11.536811594202899	28.122009760714384	APAF1
22q11.2 copy number variation syndrome WP4657	2/131	0.0887414943260991	0.23741539683623286	0	0	4.147286821705427	10.044843536296465	XPO1;CDC45
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	1/25	0.09084336383222283	0.23741539683623286	0	0	11.055555555555555	26.518060438580466	FLNA
Glucuronidation WP698	1/26	0.09430247690616043	0.23741539683623286	0	0	10.6128	25.05945090071607	UGDH
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	1/28	0.10118178586647288	0.23741539683623286	0	0	9.82567901234568	22.509024314139115	TGFB2
Selective expression of chemokine receptors during T-cell polarization WP4494	1/29	0.10460207779228121	0.23741539683623286	0	0	9.474285714285715	21.389070339886597	TGFB2
Eicosanoid metabolism via lipooxygenases (LOX) WP4721	1/29	0.10460207779228121	0.23741539683623286	0	0	9.474285714285715	21.389070339886597	PTGR1
Eicosanoid metabolism via cyclooxygenases (COX) WP4719	1/30	0.10800952509913052	0.23741539683623286	0	0	9.14712643678161	20.3572579045293	PTGR1
Extracellular vesicle-mediated signaling in recipient cells WP2870	1/30	0.10800952509913052	0.23741539683623286	0	0	9.14712643678161	20.3572579045293	TGFB2
Ethanol effects on histone modifications WP3996	1/31	0.11140417537718053	0.23741539683623286	0	0	8.841777777777779	19.40408125999615	ALDH1A3
Gastric Cancer Network 2 WP2363	1/31	0.11140417537718053	0.23741539683623286	0	0	8.841777777777779	19.40408125999615	UBE2T
Hepatitis B infection WP4666	2/152	0.11378925738446663	0.23741539683623286	0	0	3.562882882882883	7.743595170848438	TGFB2;APAF1
Constitutive Androstane Receptor Pathway WP2875	1/32	0.11478607601940617	0.23741539683623286	0	0	8.556129032258065	18.52132495692828	ALAS1
Monoamine Transport WP727	1/32	0.11478607601940617	0.23741539683623286	0	0	8.556129032258065	18.52132495692828	FBXO32
Hair Follicle Development: Organogenesis - Part 2 of 3 WP2839	1/32	0.11478607601940617	0.23741539683623286	0	0	8.556129032258065	18.52132495692828	GTPBP4
Signal transduction through IL1R WP4496	1/33	0.118155274306829	0.23741539683623286	0	0	8.288333333333334	17.701854626205957	TGFB2
Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786	1/33	0.118155274306829	0.23741539683623286	0	0	8.288333333333334	17.701854626205957	CRTAP
Fluoropyrimidine Activity WP1601	1/33	0.118155274306829	0.23741539683623286	0	0	8.288333333333334	17.701854626205957	RRM2
Regucalcin in proximal tubule epithelial kidney cells WP4838	1/33	0.118155274306829	0.23741539683623286	0	0	8.288333333333334	17.701854626205957	APAF1
Type 2 papillary renal cell carcinoma WP4241	1/34	0.1215118172783869	0.23741539683623286	0	0	8.036767676767676	16.939446916298973	TGFB2
Fatty acid beta-oxidation WP143	1/34	0.1215118172783869	0.23741539683623286	0	0	8.036767676767676	16.939446916298973	HADH
p38 MAPK Signaling Pathway WP400	1/34	0.1215118172783869	0.23741539683623286	0	0	8.036767676767676	16.939446916298973	TGFB2
Neovascularisation processes WP4331	1/37	0.13150598255242812	0.24458815992342522	0	0	7.365925925925926	14.943275535371535	TGFB2
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850	1/37	0.13150598255242812	0.24458815992342522	0	0	7.365925925925926	14.943275535371535	FBXO32
Amyotrophic lateral sclerosis (ALS) WP2447	1/38	0.13481237161133675	0.24458815992342522	0	0	7.166486486486487	14.360716643585402	APAF1
Striated Muscle Contraction Pathway WP383	1/38	0.13481237161133675	0.24458815992342522	0	0	7.166486486486487	14.360716643585402	TMOD1
Parkinson's disease pathway WP2371	1/38	0.13481237161133675	0.24458815992342522	0	0	7.166486486486487	14.360716643585402	APAF1
