Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ZBTB2	1/5	0.01885787265075893	0.25951634578300525	0	0	66.4	263.6627670535498	ELP6
CDK19	1/5	0.01885787265075893	0.25951634578300525	0	0	66.4	263.6627670535498	MED23
UTP3	1/5	0.01885787265075893	0.25951634578300525	0	0	66.4	263.6627670535498	GTPBP4
PPP3CC	1/5	0.01885787265075893	0.25951634578300525	0	0	66.4	263.6627670535498	RCAN1
DDX55	1/5	0.01885787265075893	0.25951634578300525	0	0	66.4	263.6627670535498	GTPBP4
LTV1	1/6	0.022587129745657998	0.25951634578300525	0	0	53.117333333333335	201.3346131407168	GTPBP4
MED13	1/7	0.026302399386950583	0.25951634578300525	0	0	44.26222222222222	161.0301743357976	MED23
GNA11	1/7	0.026302399386950583	0.25951634578300525	0	0	44.26222222222222	161.0301743357976	EPHA2
MED27	1/8	0.030003733059445183	0.25951634578300525	0	0	37.93714285714286	133.0240674608429	MED23
MED20	1/9	0.0336911821161097	0.25951634578300525	0	0	33.193333333333335	112.54263179248726	MED23
MED6	1/10	0.0373647978046119	0.25951634578300525	0	0	29.503703703703703	96.97944863399397	MED23
C8orf33	1/11	0.041024631208246766	0.25951634578300525	0	0	26.552	84.79600603121183	GTPBP4
MED31	1/11	0.041024631208246766	0.25951634578300525	0	0	26.552	84.79600603121183	MED23
MED22	1/12	0.04467073326473782	0.25951634578300525	0	0	24.136969696969697	75.02824312324114	MED23
MED4	1/13	0.04830315471494212	0.25951634578300525	0	0	22.124444444444446	67.04278374363157	MED23
RRP1B	1/13	0.04830315471494212	0.25951634578300525	0	0	22.124444444444446	67.04278374363157	GTPBP4
MED9	1/14	0.05192194616352185	0.25951634578300525	0	0	20.42153846153846	60.40719102216577	MED23
MED21	1/15	0.05552715802056815	0.25951634578300525	0	0	18.961904761904762	54.81664896212504	MED23
MED7	1/16	0.059118840526939886	0.25951634578300525	0	0	17.69688888888889	50.05044051882733	MED23
UTP14A	1/17	0.06269704374316237	0.25951634578300525	0	0	16.59	45.94502588618206	GTPBP4
MED12	1/17	0.06269704374316237	0.25951634578300525	0	0	16.59	45.94502588618206	MED23
