Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ACVR1 human kinase ARCHS4 coexpression	8/299	8.867779815366462E-4	0.09266829907057952	0	0	4.305374570446736	30.25781044064545	ITGB5;ABLIM3;WFS1;F13A1;QSOX1;TGFBI;PEAR1;LGMN
RIPK4 human kinase ARCHS4 coexpression	8/299	8.867779815366462E-4	0.09266829907057952	0	0	4.305374570446736	30.25781044064545	TGM1;CDH3;CDH1;AIM1L;AHNAK2;MYH14;TMC4;UGT1A6
ERBB2 human kinase ARCHS4 coexpression	8/299	8.867779815366462E-4	0.09266829907057952	0	0	4.305374570446736	30.25781044064545	STEAP4;CDH3;ITGB5;CDH1;PODXL;MYH14;MISP;UGT1A6
STYK1 human kinase ARCHS4 coexpression	8/299	8.867779815366462E-4	0.09266829907057952	0	0	4.305374570446736	30.25781044064545	UGT1A10;CDH1;AIM1L;LCN2;MYH14;TMC4;MISP;ABCG2
MAP3K8 human kinase ARCHS4 coexpression	7/299	0.00390240093638891	0.3262407182821128	0	0	3.7243150684931505	20.655659515321116	MANBA;BTG1;HLA-DMB;HLA-DRA;TNFRSF14;LYZ;ICAM1
CDC42BPG human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	CDH3;CDH1;AIM1L;MYH14;TMC4;MISP
MYLK human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	COL16A1;IGFBP5;ITGB5;ABLIM3;QSOX1;PEAR1
NEK6 human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	ITGB5;MKNK2;TNFRSF14;TGFBI;ICAM1;LGMN
FLT3 human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	SOCS2;HLA-DMB;NPR3;HLA-DRA;LYZ;RUNX1
MST1R human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	UGT1A10;CDH1;CEACAM5;MYH14;TMC4;MISP
PTK6 human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	TGM1;AIM1L;MYH14;TMC4;MISP;KLK10
TNK1 human kinase ARCHS4 coexpression	6/299	0.015007138298975474	0.5227486507476458	0	0	3.1561635000403108	13.25345425909842	CDH3;CDH1;AIM1L;MYH14;TMC4;MISP
GRK5 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	IGFBP5;ABLIM3;F13A1;QSOX1;PEAR1
PRKCI human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	CDH3;FRAS1;CDH1;PODXL;TARS
SGK1 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	HLA-DMB;MYC;TNFRSF14;ICAM1;ABCG2
SGK2 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	ME1;MYH14;UGT1A4;UGT1A3;MISP
CLK1 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	BTG1;CREBRF;TXNIP;LYZ;EZH1
MAPK13 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	MYH14;TNFRSF14;MISP;ICAM1;LGMN
MAPK6 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	FRAS1;CDH1;ORC3;TARS;ZSWIM6
MAP3K2 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	MANBA;STEAP4;CREBRF;TXNIP;LYZ
MAP4K1 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	BTG1;HLA-DMB;STX16-NPEPL1;MKNK2;TNFRSF14
BLK human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	BTG1;HLA-DMB;MKNK2;HLA-DRA;TNFRSF14
EPHA1 human kinase ARCHS4 coexpression	5/299	0.049663556767027106	0.7414059545934761	0	0	2.600579294217687	7.808197407194777	CDH3;FRAS1;CDH1;PODXL;AIM1L
