Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ascorbate and aldarate metabolism	9/26	5.4865874238937835E-14	1.7227406360573748E-11	0	0	84.74857685009488	2587.703285744668	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Glucuronidation	9/27	8.18404102640083E-14	1.7227406360573748E-11	0	0	80.03629032258064	2411.813993593846	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Pentose and glucuronate interconversions	9/29	1.729370182717544E-13	2.4268828230802868E-11	0	0	72.02540322580646	2116.5276178066706	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Steroid hormone biosynthesis	10/56	3.2957565865534187E-12	3.4687838073474733E-10	0	0	35.031813361611874	926.1845814359634	UGT1A10;STS;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Porphyrin and chlorophyll metabolism	9/43	9.004794687911062E-12	7.582037127221115E-10	0	0	42.33799810246679	1076.7934803189905	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Retinol metabolism	10/65	1.5754305825828816E-11	1.1054271254456554E-9	0	0	29.286031042128602	728.458024321416	UGT1A10;UGT1A1;ALDH1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Drug metabolism: other enzymes	9/52	5.586514449157788E-11	3.3598894044220413E-9	0	0	33.46136534133533	789.9586053965025	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Starch and sucrose metabolism	9/53	6.691691711878189E-11	3.521502763375897E-9	0	0	32.699230205278596	766.0634819861034	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Drug metabolism: cytochrome P450	10/83	1.935158180419179E-10	9.052239932849715E-9	0	0	22.044771132642833	493.04589692965993	UGT1A10;ALDH3A1;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Estrogen metabolism	6/17	8.995061805175988E-10	3.786921019979091E-8	0	0	85.27988546886185	1776.3096747421948	NQO1;STS;UGT1A1;UGT1A3;UGT1A9;UGT1A6
Irinotecan pathway	5/13	1.4867264068051009E-8	5.690107429681341E-7	0	0	96.9677734375	1747.7572411775332	UGT1A10;UGT1A1;UGT1A9;ABCG2;UGT1A6
Phase II of biological oxidations: conjugation	8/71	2.3145149634861356E-8	8.120089996897193E-7	0	0	20.118349206349205	353.7103662227199	UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Biological oxidations	10/139	3.0961864334966034E-8	1.0026880680785154E-6	0	0	12.43965462910443	215.0879674431269	UGT1A1;ALDH1A1;UGT1A5;UGT1A4;UGT1A3;CYP4F11;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Metapathway biotransformation	9/174	2.506970732045967E-6	7.538819129938229E-5	0	0	8.666568914956011	111.76784626707091	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;CYP4F11;UGT1A9;UGT1A7;UGT1A6
Tamoxifen metabolism	3/19	2.5768666911502486E-4	0.007232405846495031	0	0	28.63125	236.6019552089904	UGT1A10;UGT1A4;UGT1A8
BDNF signaling pathway	8/261	3.6358456111713563E-4	0.009566818764394632	0	0	4.9616442687747035	39.29373512672699	NQO1;BTG1;IGFBP5;ITGB5;GDF15;MYC;TXNIP;TGFBI
Nicotine metabolism	2/6	6.46948912530899E-4	0.0156306677746941	0	0	75.81297709923665	556.7131306118104	UGT1A4;UGT1A9
Interleukin-9 regulation of target genes	3/26	6.682945841911968E-4	0.0156306677746941	0	0	19.910367892976588	145.5603489980788	SOCS2;MYC;LCN2
Arylamine metabolism	2/7	9.0178315414844E-4	0.01998161620507859	0	0	60.64732824427481	425.20669500729895	UGT1A4;UGT1A9
