Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
UGT1A10	4/15	2.410185533221184E-6	9.375621724230407E-4	0	0	55.97181113460183	724.0405366888943	LCN2;UGT1A9;KLK10;UGT1A7
PCDHA10	3/19	2.5768666911502486E-4	0.050120057142872335	0	0	28.63125	236.6019552089904	PCDHA12;PCDHA11;PCDHA6
NPPA	3/34	0.0014795807480749092	0.12666516933675845	0	0	14.766253101736973	96.21685367174459	TGM1;ME1;LCN2
LYZL1	3/37	0.0018934793703531646	0.12666516933675845	0	0	13.46131221719457	84.39353244292744	MANBA;STS;FRAS1
TBC1D22B	4/79	0.0019100738940368584	0.12666516933675845	0	0	8.182739018087855	51.22896513370727	TGM1;STS;LCN2;KLK10
CSNK1E	3/38	0.002045855147020029	0.12666516933675845	0	0	13.076043956043955	80.96607192567512	ZNF618;FAM110B;FOXP2
UBE2D2	2/11	0.0023209742239260786	0.12666516933675845	0	0	33.68617472434266	204.33252935417062	RNF114;NFYA
CDK15	4/86	0.002604939215151845	0.12666516933675845	0	0	7.481565513329552	44.51790296185119	TGM1;ME1;UGT1A9;KLK10
FTH1	3/47	0.003765066443247848	0.1539902840150047	0	0	10.396678321678321	58.034152036469116	TGM1;ME1;KLK10
ITGA9	2/15	0.004354481038984708	0.1539902840150047	0	0	23.316500293599532	126.76131594497146	LCN2;KLK10
CCDC103	2/15	0.004354481038984708	0.1539902840150047	0	0	23.316500293599532	126.76131594497146	TGM1;KLK10
FCF1	3/55	0.005861327063380907	0.16662765072422803	0	0	8.793639053254438	45.19384599174542	ME1;MYH14;KLK10
IGHG1	2/19	0.006969441855951406	0.16662765072422803	0	0	17.826672653794343	88.53118068173931	UGT1A10;ALDH3A1
EPHB4	2/20	0.007710305981795836	0.16662765072422803	0	0	16.835453774385073	81.90780602926974	HLA-DRA;PCDHA12
CISD2	2/22	0.009293197652452087	0.16662765072422803	0	0	15.150381679389312	70.8806452888945	TMEM63A;STS
ST8SIA4	3/65	0.009301013870010541	0.16662765072422803	0	0	7.371588089330025	34.48157535324612	FRAS1;ITGB5;TMEM67
TAZ	3/65	0.009301013870010541	0.16662765072422803	0	0	7.371588089330025	34.48157535324612	LMLN;MANBA;FRAS1
ADAMTS4	2/23	0.01013427718761092	0.16662765072422803	0	0	14.428207924391131	66.25190425368157	MANBA;FRAS1
AP3M1	2/23	0.01013427718761092	0.16662765072422803	0	0	14.428207924391131	66.25190425368157	TMEM63A;HLA-DMB
IGKC	2/23	0.01013427718761092	0.16662765072422803	0	0	14.428207924391131	66.25190425368157	UGT1A10;ALDH3A1
PCDHA4	2/24	0.011007821731507874	0.16662765072422803	0	0	13.771686328938237	62.09858828771937	PCDHA12;PCDHA11
GML	2/24	0.011007821731507874	0.16662765072422803	0	0	13.771686328938237	62.09858828771937	FRAS1;TMEM67
ATP11C	2/24	0.011007821731507874	0.16662765072422803	0	0	13.771686328938237	62.09858828771937	TMEM63A;STS
CTNNA3	2/24	0.011007821731507874	0.16662765072422803	0	0	13.771686328938237	62.09858828771937	CDH3;CDH1
LYPD3	3/71	0.011825330698549394	0.16662765072422803	0	0	6.719117647058823	29.816161015290284	HSDL1;TMEM67;QSOX1
SCGB1D1	3/72	0.012280543881752018	0.16662765072422803	0	0	6.621404682274248	29.132452860336144	MANBA;FRAS1;TMEM67
DDX19B	3/73	0.012745708790008777	0.16662765072422803	0	0	6.526483516483516	28.47218003820974	TGM1;LCN2;HLA-DRA
TCTN2	3/73	0.012745708790008777	0.16662765072422803	0	0	6.526483516483516	28.47218003820974	HLA-DMB;TMEM67;HLA-DRA
CSNK1D	2/26	0.01285046149544175	0.16662765072422803	0	0	12.622773536895675	54.96429651581209	ZNF618;FAM110B
EIF2AK3	2/26	0.01285046149544175	0.16662765072422803	0	0	12.622773536895675	54.96429651581209	HLA-DRA;PCDHA12
AP3S1	2/27	0.013818646080876924	0.1679829164206601	0	0	12.117251908396947	51.88287897057053	TMEM63A;ICAM1
ZSCAN12	2/27	0.013818646080876924	0.1679829164206601	0	0	12.117251908396947	51.88287897057053	TGM1;ME1
PCDHA3	2/29	0.015846502251824192	0.18679664775635182	0	0	11.218546791065876	46.49870544847218	PCDHA11;PCDHA6
DEFA1	3/81	0.016828645234069906	0.18789022742198852	0	0	5.854733727810651	23.9146714400516	MANBA;TMEM67;LGMN
KLK5	2/30	0.01690529038501182	0.18789022742198852	0	0	10.817339149400219	44.136135547977105	FRAS1;ITGB5
LGALS3	3/83	0.017950641526485147	0.18917389253574915	0	0	5.7077884615384615	22.946048346188437	TMEM63A;PODXL;CLCN3
PRG3	2/31	0.017993403660212643	0.18917389253574915	0	0	10.443801000263226	41.96058200741095	FRAS1;ITGB5
DDX31	3/90	0.022199106409952193	0.2146947464739211	0	0	5.246684350132626	19.9778170135177	LCN2;QSOX1;LYZ
ADAM33	2/36	0.023858925519385177	0.2146947464739211	0	0	8.905702739110911	33.26811550930288	ITGB5;TMEM67
LGALS8	3/93	0.024173296228133787	0.2146947464739211	0	0	5.071025641025641	18.87692700942244	TMEM63A;PODXL;CLCN3
GMCL1	2/37	0.02511409677524347	0.2146947464739211	0	0	8.65081788440567	31.872432958520882	TGM1;KLK10
ZIC1	2/41	0.030394798689099053	0.2146947464739211	0	0	7.761988647484831	27.116381447998105	TGM1;LCN2
SERPINB4	2/44	0.034617343063784264	0.2146947464739211	0	0	7.206470374409306	24.238245901127396	UGT1A10;UPRT
FRMD1	2/45	0.03607271884985003	0.2146947464739211	0	0	7.038522989526007	23.38351065407484	ALDH3A1;LYZ
IMPDH1	2/47	0.03905301769692138	0.2146947464739211	0	0	6.725021204410518	21.808134997616442	HSDL1;PODXL
FAM189A2	2/48	0.04057720615687149	0.2146947464739211	0	0	6.578493196150016	21.081102442927243	TMEM63A;RHBDD1
PDE4DIP	2/51	0.04528159945206039	0.2146947464739211	0	0	6.174793581554759	19.11008783905185	TGM1;LCN2
OS9	2/54	0.050176335683900855	0.2146947464739211	0	0	5.817674691720494	17.40771465255104	UGT1A10;FRAS1
SNX27	2/54	0.050176335683900855	0.2146947464739211	0	0	5.817674691720494	17.40771465255104	LCN2;LYZ
LYZL2	2/54	0.050176335683900855	0.2146947464739211	0	0	5.817674691720494	17.40771465255104	MANBA;TMEM67
DEFA5	2/61	0.06228608893497304	0.2146947464739211	0	0	5.125630741363695	14.228838943544543	FRAS1;QSOX1
U2SURP	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	CSTF2T
ARID2	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	ZNF23
FAM91A1	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	TXNIP
DTX3	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	RNF114
IDI2	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	RNF114
KCNIP4	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	HLA-DRA
CD93	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	RNF114
LRRFIP1	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	CCNB1
C19orf6	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	ST3GAL5
GPR18	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	ALDH3A1
LRRC4	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	ITGB5
JUP	1/10	0.06455869825192352	0.2146947464739211	0	0	16.715488215488215	45.803453495550436	BRF2
HLA-DPA1	2/63	0.06591135778480284	0.2146947464739211	0	0	4.957076711300212	13.480495016176326	QSOX1;FKTN
LGALS9	2/64	0.06774997144464087	0.2146947464739211	0	0	4.876877616350653	13.128219212543067	PODXL;CLCN3
SLC45A2	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	TMEM63A
TUBB4	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	ICAM1
ME1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	NFYA
PARVA	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	CCNB1
FCN1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	PODXL
HECTD1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	ZNF223
GPR89C	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	TMEM63A
IL12RB1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	TXNIP
SERPINB1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	NFYA
ITM2A	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	ATP7B
MGRN1	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	HSDL1
ST8SIA3	1/11	0.0707824821112975	0.2146947464739211	0	0	15.043181818181818	39.836507711922266	ITGB5
LYPD4	2/67	0.07336607305716086	0.2146947464739211	0	0	4.651086318261891	12.150003348507113	LMLN;ME1
PCDHGB1	2/68	0.07527053030632741	0.2146947464739211	0	0	4.580383992597733	11.847926218165062	CDH3;ATP7B
RAB3IL1	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	OPTN
HMGCS1	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	NFYA
PRSS37	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	MANBA
WDR20	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	OPTN
RNASE3	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	GTPBP2
LONP2	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	PCDHA12
AIRE	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	TGM1
FCGR1A	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	FRAS1
FTO	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	NFYA
DNAJC11	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	SUOX
EDC3	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	KLK10
SLCO6A1	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	TGM1
ZNF576	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	ZNF618
HDGFRP3	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	ZNF23
TTC28	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	ICAM1
NCS1	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	ICAM1
MFSD5	1/12	0.07696516706764417	0.2146947464739211	0	0	13.674931129476583	35.06802532248599	TMEM63A
PTPRK	2/72	0.08304269155518629	0.2146947464739211	0	0	4.317775354416576	10.744354123420981	MANBA;TMEM67
PLP1	1/13	0.08310702236346885	0.2146947464739211	0	0	12.534722222222221	31.1817018518508	RNF114
LASP1	1/13	0.08310702236346885	0.2146947464739211	0	0	12.534722222222221	31.1817018518508	NFYA
