Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Endometriosis	11/256	1.1622750231119136E-6	5.334842356083683E-4	0	0	7.221211107393777	98.67879754280706	CCNB1;CDH3;STS;CDH1;GDF15;MYC;LCN2;F3;ICAM1;RUNX1;ABCG2
Proteins Involved in Endometrial Cancer	4/50	3.3960601311329187E-4	0.07793958000950048	0	0	13.360970677451972	106.72375145089606	CDH3;CDH1;MYC;RUNX1
EZH2 Methyltransferase Role in Cancer	3/28	8.339171463202879E-4	0.08754377941925147	0	0	18.31569230769231	129.8468387277595	CCNB1;CDH1;TXNIP
Proteins Involved in Breast Cancer Related to NOTCH Signaling Pathway	3/31	0.0011276905714087079	0.08754377941925147	0	0	16.350824175824176	110.98258405472885	CCNB1;CDH1;MYC
Proteins Involved in Breast Cancer Related to WNT Signaling Pathway	3/34	0.0014795807480749092	0.08754377941925147	0	0	14.766253101736973	96.21685367174459	CCNB1;CDH1;MYC
WNT Signaling in Breast Cancer	3/35	0.001610473562600633	0.08754377941925147	0	0	14.304086538461538	91.99282762764864	CCNB1;CDH1;MYC
NOTCH1 Signaling in Breast Cancer	3/35	0.001610473562600633	0.08754377941925147	0	0	14.304086538461538	91.99282762764864	CCNB1;CDH1;MYC
Proteins Involved in Cholesteatoma	3/37	0.0018934793703531646	0.08754377941925147	0	0	13.46131221719457	84.39353244292744	MYC;LCN2;ICAM1
MHC2-Mediated Antigen Presentation	2/10	0.0019072718827723631	0.08754377941925147	0	0	37.89885496183206	237.32571441911304	HLA-DMB;LGMN
X-Linked Ichthyosis	2/10	0.0019072718827723631	0.08754377941925147	0	0	37.89885496183206	237.32571441911304	TGM1;STS
Aryl Hydrocarbon Receptor Genomic and non-Genomic Signaling	3/39	0.0022056488451517803	0.09203571090224247	0	0	12.712179487179487	77.75701479501116	NQO1;ALDH3A1;UGT1A6
Proteins Involved in Ulcerative Colitis	5/141	0.0025333329574117706	0.09689998562100023	0	0	5.6672219669117645	33.8798966963086	CDH1;MYC;TXNIP;LYZ;ICAM1
Proteins Involved in Polycystic Kidney Disease	4/97	0.0040188533372333725	0.1418964370607783	0	0	6.592981578728016	36.37188819681642	FRAS1;MYC;TMEM67;LCN2
Proteins Involved in Adhesion, Migration and Invasion of Endometriotic Cell	2/18	0.00626293883971156	0.20533492338768614	0	0	18.94179389312977	96.09372334068097	CDH3;CDH1
Genes with Mutations Associated with Ichthyosis	2/19	0.006969441855951406	0.2087692459897843	0	0	17.826672653794343	88.53118068173931	TGM1;STS
Low-Density Lipoproteins and Chemokines in Atherosclerosis	2/22	0.009293197652452087	0.2087692459897843	0	0	15.150381679389312	70.8806452888945	CX3CL1;ICAM1
STAT3 and NFkB Activate Inflammation-Induced Tumorigenesis	3/67	0.010103293762419658	0.2087692459897843	0	0	7.140504807692308	32.8098612212361	CCNB1;CDH1;MYC
Coagulation Cascade	2/23	0.01013427718761092	0.2087692459897843	0	0	14.428207924391131	66.25190425368157	F13A1;F3
Thrombophilia Hereditary	2/23	0.01013427718761092	0.2087692459897843	0	0	14.428207924391131	66.25190425368157	F13A1;F3
beta-Catenin/Androgen Receptor Signaling in Prostate Cancer	2/23	0.01013427718761092	0.2087692459897843	0	0	14.428207924391131	66.25190425368157	CDH1;MYC
Hereditary Thrombophilia and Pregnancy Complications	2/23	0.01013427718761092	0.2087692459897843	0	0	14.428207924391131	66.25190425368157	F13A1;F3
Antiphospholipid Antibodies and Endothelial Cell Interaction	2/24	0.011007821731507874	0.2087692459897843	0	0	13.771686328938237	62.09858828771937	F3;ICAM1
Antiphospholipid Antibodies in Endothelial Cell	2/24	0.011007821731507874	0.2087692459897843	0	0	13.771686328938237	62.09858828771937	F3;ICAM1
Proteins Involved in Chronic Bronchitis	2/25	0.011913369037225658	0.2087692459897843	0	0	13.172253567872552	58.35432230041653	LYZ;ICAM1
Sialophorin -> CTNNB/MYC/TP53 Signaling	2/25	0.011913369037225658	0.2087692459897843	0	0	13.172253567872552	58.35432230041653	MYC;ICAM1
Myeloid Cell Differentiation Block in Leukemia	2/25	0.011913369037225658	0.2087692459897843	0	0	13.172253567872552	58.35432230041653	MYC;RUNX1
Proteins Involved in Breast Cancer Related to ERBB2/VEGFR/Akt Signaling Pathway	3/72	0.012280543881752018	0.2087692459897843	0	0	6.621404682274248	29.132452860336144	CCNB1;CDH1;MYC
Proteins Involved in Prostate Cancer	4/138	0.013631423016222484	0.22345797015879	0	0	4.566238574569016	19.61371905146452	IGFBP5;CDH1;GDF15;MYC
Proteins with Altered Expression in Breast Cancer	2/28	0.014817474318661233	0.2345248521470864	0	0	11.650616559013505	49.071792250206045	CCNB1;CDH1
Proplatelet Maturation	3/79	0.01574730488464939	0.23469147886931116	0	0	6.009412955465587	24.945590268819537	F3;ICAM1;RUNX1
Proteins Involved in Cystic Kidney Disease	2/30	0.01690529038501182	0.23469147886931116	0	0	10.817339149400219	44.136135547977105	MYC;TMEM67
TNFR/NF-kB Classical Pathway in Multiple Myeloma Plasma Cells	2/30	0.01690529038501182	0.23469147886931116	0	0	10.817339149400219	44.136135547977105	MYC;ICAM1
Adherens Junction Assembly (Cadherins)	2/30	0.01690529038501182	0.23469147886931116	0	0	10.817339149400219	44.136135547977105	CDH3;CDH1
Acute Myeloid Leukemia	3/82	0.017384553990319344	0.23469147886931116	0	0	5.78033106134372	23.42290243302603	MYC;ICAM1;RUNX1
ROS in Triggering Vascular Inflammation	2/32	0.019110411413020896	0.2506193953879026	0	0	10.095165394402036	39.95183906409564	F3;ICAM1
G1/S Phase Transition	2/34	0.021429409424442845	0.2672619100190808	0	0	9.463263358778626	36.367236185581305	CCNB1;MYC
