Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CP724714	1/21	0.1308037401396383	0.8687125549532815	0	0	7.51780303030303	15.291641727999936	MKNK2
JNK-IN-8	1/32	0.19239030783275093	0.8687125549532815	0	0	4.847507331378299	7.9898027289773035	MKNK2
Torin2	1/32	0.19239030783275093	0.8687125549532815	0	0	4.847507331378299	7.9898027289773035	MKNK2
Foretinib	1/45	0.2596118217355405	0.8687125549532815	0	0	3.413050964187328	4.602730483015938	MKNK2
XMD11-50	1/47	0.2694485319234346	0.8687125549532815	0	0	3.264328063241107	4.280767625110474	MKNK2
5z-7-oxozeaenol	1/47	0.2694485319234346	0.8687125549532815	0	0	3.264328063241107	4.280767625110474	MKNK2
XMD8-85	1/48	0.2743181354387822	0.8687125549532815	0	0	3.1947130883301096	4.132255212667504	MKNK2
Ceritinib	1/58	0.3212767049483742	0.8687125549532815	0	0	2.6329080276448695	2.9895420496088705	MKNK2
XMD-12	1/59	0.3258033347637175	0.8687125549532815	0	0	2.5873824451410656	2.9016494027801927	MKNK2
HG-5-88-01	1/68	0.36521797151438384	0.8687125549532815	0	0	2.2388059701492535	2.255061764352553	MKNK2
Lestaurtinib	1/68	0.36521797151438384	0.8687125549532815	0	0	2.2388059701492535	2.255061764352553	MKNK2
SP600125	1/75	0.3942851446024616	0.8687125549532815	0	0	2.0263104013104014	1.8858484166961607	MKNK2
XMD13-2	1/77	0.40234467434918375	0.8687125549532815	0	0	1.9727870813397128	1.7961164204168933	MKNK2
Barasertib	1/85	0.4335322237039414	0.8687125549532815	0	0	1.7841810966810967	1.4911992053106211	MKNK2
ZM-447439	1/91	0.4558578516178445	0.8687125549532815	0	0	1.6647306397306398	1.3077695187201812	MKNK2
WZ4003	1/92	0.4594929288813865	0.8687125549532815	0	0	1.6463536463536463	1.2802568276675683	MKNK2
QL-X-138	1/93	0.4631039036987331	0.8687125549532815	0	0	1.6283761528326746	1.2535302089614808	MKNK2
HG-14-8-02	1/93	0.4631039036987331	0.8687125549532815	0	0	1.6283761528326746	1.2535302089614808	MKNK2
WZ4002	1/98	0.4808027571164223	0.8687125549532815	0	0	1.5440487347703842	1.1307040494954523	MKNK2
ZG-10	1/100	0.487719053875974	0.8687125549532815	0	0	1.512702785430058	1.0861444222602046	MKNK2
Sorafenib	1/106	0.5079240312601514	0.8687125549532815	0	0	1.425829725829726	0.965890402655994	MKNK2
WZ3105	1/110	0.5209525626293606	0.8687125549532815	0	0	1.3732276897414513	0.8954766845377898	MKNK2
GSK461364	1/110	0.5209525626293606	0.8687125549532815	0	0	1.3732276897414513	0.8954766845377898	MKNK2
XMD15-27	1/117	0.5429339082939053	0.8687125549532815	0	0	1.2899033437826541	0.7878312756800375	MKNK2
RO-3306	1/122	0.5580190924801853	0.8687125549532815	0	0	1.2362885048835461	0.7212038599871197	MKNK2
Momelotinib	1/122	0.5580190924801853	0.8687125549532815	0	0	1.2362885048835461	0.7212038599871197	MKNK2
AG1478	1/123	0.5609762962749735	0.8687125549532815	0	0	1.2260928961748634	0.7087756457866075	MKNK2
JWE-035	1/128	0.575470316173939	0.8687125549532815	0	0	1.1775232641374374	0.6506612409172355	MKNK2
