Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
tRNA charging Homo sapiens TRNA-CHARGING-PWY	2/38	0.026395668648894324	0.07426678292554034	0	0	8.410093299406277	30.566949583750137	WARS;TARS
thyroid hormone metabolism II (via conjugation and/or degradation) Homo sapiens PWY-6261	1/6	0.03924712768834303	0.07426678292554034	0	0	30.093939393939394	97.44047472504964	UGT1A8
2'-deoxy-&alpha;-D-ribose 1-phosphate degradation Homo sapiens PWY-7180	1/6	0.03924712768834303	0.07426678292554034	0	0	30.093939393939394	97.44047472504964	ALDH3A1
dermatan sulfate degradation (metazoa) Homo sapiens PWY-6576	1/6	0.03924712768834303	0.07426678292554034	0	0	30.093939393939394	97.44047472504964	HYAL1
chondroitin sulfate degradation (metazoa) Homo sapiens PWY-6573	1/7	0.04563803451072045	0.07426678292554034	0	0	25.0770202020202	77.41310792741105	HYAL1
retinoate biosynthesis I Homo sapiens PWY-6872	1/8	0.05198674804787824	0.07426678292554034	0	0	21.493506493506494	63.55127863735061	ALDH1A1
nicotine degradation III Homo sapiens PWY66-221	1/8	0.05198674804787824	0.07426678292554034	0	0	21.493506493506494	63.55127863735061	UGT1A4
putrescine degradation III Homo sapiens PWY-0	1/10	0.06455869825192352	0.0806983728149044	0	0	16.715488215488215	45.803453495550436	ALDH3A1
nicotine degradation IV Homo sapiens PWY66-201	1/15	0.09526931236514509	0.10585479151682788	0	0	10.742965367965368	25.25722220437665	UGT1A4
superpathway of methionine degradation Homo sapiens PWY-5328	1/17	0.10727147167528207	0.10727147167528207	0	0	9.399147727272727	20.98258726036805	SUOX
