Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PIM1	2/18	0.00626293883971156	0.25678049242817397	0	0	18.94179389312977	96.09372334068097	MYC;ABCG2
PIM2	1/3	0.019818461092005756	0.3550947097246317	0	0	75.24621212121212	295.05103733791884	MYC
LIMK1	1/4	0.026337621148016778	0.3550947097246317	0	0	50.16161616161616	182.4256036925459	CFL2
RAF1	1/6	0.03924712768834303	0.3550947097246317	0	0	30.093939393939394	97.44047472504964	MYC
PAK4	1/7	0.04563803451072045	0.3550947097246317	0	0	25.0770202020202	77.41310792741105	ITGB5
CDK6	1/10	0.06455869825192352	0.3550947097246317	0	0	16.715488215488215	45.803453495550436	RUNX1
MAPK1	5/326	0.06683995710253622	0.3550947097246317	0	0	2.3785533489096573	6.435067188282332	CCNB1;MYC;MKNK2;AHNAK2;RUNX1
TBK1	1/11	0.0707824821112975	0.3550947097246317	0	0	15.043181818181818	39.836507711922266	OPTN
HIPK2	1/14	0.08920831552654583	0.3550947097246317	0	0	11.56993006993007	27.961987399777197	RUNX1
PLK1	2/77	0.09308399889668514	0.3550947097246317	0	0	4.028905852417303	9.565641724381063	CCNB1;OPTN
PAK2	1/15	0.09526931236514509	0.3550947097246317	0	0	10.742965367965368	25.25722220437665	MYC
PLK3	1/18	0.11321315720990713	0.3651854454644013	0	0	8.845811051693405	19.270448026035922	CCNB1
CAMK2A	2/90	0.1206598187017143	0.3651854454644013	0	0	3.43147120055517	7.256807037912687	CFL2;CLCN3
MAPK14	5/396	0.1246974691829663	0.3651854454644013	0	0	1.9457320971867007	4.05075101110371	MYC;MKNK2;CSTF2T;F3;RUNX1
MAPK3	3/202	0.15165609709625713	0.4083472864545013	0	0	2.2807885581754928	4.301886167566153	MYC;MKNK2;RUNX1
CAMK2B	1/26	0.15935503861639075	0.4083472864545013	0	0	6.012727272727273	11.04309888437679	CFL2
CAMK2D	1/31	0.18697530817141164	0.4087347374916335	0	0	5.009343434343434	8.399560435360442	CFL2
CAMK2G	1/32	0.19239030783275093	0.4087347374916335	0	0	4.847507331378299	7.9898027289773035	CFL2
GSK3A	1/34	0.20311315338179647	0.4087347374916335	0	0	4.553259871441689	7.257860033982993	MYC
MAPK4	1/34	0.20311315338179647	0.4087347374916335	0	0	4.553259871441689	7.257860033982993	CCNB1
CSNK1E	2/128	0.20935193871522692	0.4087347374916335	0	0	2.3919786744214226	3.7404292063687303	PER3;CDH1
PRKCE	1/46	0.26454649880748893	0.4880942624192072	0	0	3.337037037037037	4.437385770595149	UGT1A7
GSK3B	5/527	0.2738089764790675	0.4880942624192072	0	0	1.4476323036398469	1.8751537084024634	CDH1;MYC;MKNK2;CSTF2T;RUNX1
CDK2	5/553	0.3073097236417966	0.5249874445547358	0	0	1.3770956888686132	1.6248340577820024	BTG1;NFYA;MYC;MKNK2;RUNX1
PRKACG	2/176	0.327116126289916	0.5364704471154622	0	0	1.7279108537334387	1.9308367819072718	MYOM1;LYZ
CSNK1D	1/72	0.381993171491774	0.5930214353538892	0	0	2.1122492530943235	2.032728446948277	CDH1
AURKB	1/77	0.40234467434918375	0.5930214353538892	0	0	1.9727870813397128	1.7961164204168933	MISP
MTOR	1/78	0.40633443538790825	0.5930214353538892	0	0	1.9470680834317198	1.7534880939718522	MYC
CSNK1A1	1/84	0.4297239002029063	0.5930214353538892	0	0	1.8057685286600949	1.5251744349937915	CDH1
MAPK8	2/225	0.44240375527612247	0.5930214353538892	0	0	1.3448807037962551	1.0967937079150538	MYC;MKNK2
CSNK2A2	2/229	0.4513619466373341	0.5930214353538892	0	0	1.320913340283149	1.0507676981147052	CDH1;MYC
ABL1	1/94	0.46669093472805845	0.5930214353538892	0	0	1.6107852720755946	1.2275602076257284	MYC
CDK5	1/97	0.4773099357726425	0.5930214353538892	0	0	1.5602114898989898	1.1539156278180718	MYC
MAPK10	1/105	0.5046123246234886	0.6085030973400891	0	0	1.439612470862471	0.9846442823902223	MYC
PRKACB	1/111	0.5241558381282374	0.6140111246645067	0	0	1.3606749311294766	0.8789500662229016	LYZ
CSNK2A1	2/286	0.5694810882982853	0.6470661142702959	0	0	1.0527362649177507	0.5927217878370193	CDH1;MYC
MAPK9	1/131	0.583937712878072	0.6470661142702959	0	0	1.1501748251748252	0.618749150672192	MYC
CDK1	3/494	0.641677325905012	0.6841222663649027	0	0	0.9106689644367852	0.40403623468952726	CCNB1;MYC;RUNX1
RPS6KA3	2/332	0.650750448493444	0.6841222663649027	0	0	0.9038630580615313	0.3883258232709918	WARS;CFL2
PRKACA	1/393	0.9292273581941142	0.9493185418246676	0	0	0.3763721397649969	0.027626405994895537	MYOM1
PRKCA	1/442	0.9493185418246676	0.9493185418246676	0	0	0.3337112622826909	0.01735661514341814	F3
