Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ascorbate and aldarate metabolism	9/30	2.456764216859254E-13	3.586875756614511E-11	0	0	68.59216589861751	1991.5571490882849	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Pentose and glucuronate interconversions	9/34	8.807624318286399E-13	6.42956575234907E-11	0	0	57.60580645161291	1599.0213108707521	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Steroid hormone biosynthesis	10/61	8.116072232916308E-12	3.2867500610875375E-10	0	0	31.589351187629525	806.7027829056819	UGT1A10;STS;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Porphyrin and chlorophyll metabolism	9/43	9.004794687911062E-12	3.2867500610875375E-10	0	0	42.33799810246679	1076.7934803189905	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Retinol metabolism	10/68	2.5161314092061272E-11	7.347103714881892E-10	0	0	27.76703111858705	677.6742050053484	UGT1A10;UGT1A1;ALDH1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Metabolism of xenobiotics by cytochrome P450	10/76	7.898109460652996E-11	1.9218733020922288E-9	0	0	24.39147573293915	567.3899375585071	UGT1A10;ALDH3A1;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Bile secretion	10/90	4.3761941264544875E-10	9.127490606605074E-9	0	0	20.108739837398375	433.33673785902323	UGT1A10;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;ABCG2;UGT1A6
Drug metabolism	10/108	2.677905885592342E-9	4.887178241206024E-8	0	0	16.400365024058402	323.714188964028	UGT1A10;ALDH3A1;UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Chemical carcinogenesis	10/239	4.595676763318495E-6	7.455208971605558E-5	0	0	6.9719884971775485	85.68848929208076	UGT1A10;UGT1A1;MYC;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Antigen processing and presentation	4/78	0.0018226386626867097	0.02661052447522596	0	0	8.293735596061177	52.312488569540164	HLA-DMB;NFYA;HLA-DRA;LGMN
Cell adhesion molecules	5/148	0.0031218694316893967	0.04143572154787745	0	0	5.387893356643357	31.084498571411327	CDH3;HLA-DMB;CDH1;HLA-DRA;ICAM1
Viral myocarditis	3/60	0.007463680845191997	0.09080811694983597	0	0	8.020242914979757	39.28079646236463	HLA-DMB;HLA-DRA;ICAM1
Asthma	2/31	0.017993403660212643	0.19113413330909496	0	0	10.443801000263226	41.96058200741095	HLA-DMB;HLA-DRA
Herpes simplex virus 1 infection	8/498	0.018327930591283077	0.19113413330909496	0	0	2.530873469387755	10.121795967359255	HLA-DMB;ZNF549;HLA-DRA;ZNF514;TNFRSF14;ZNF546;ZNF23;ZNF223
Rheumatoid arthritis	3/93	0.024173296228133787	0.21409820126325396	0	0	5.071025641025641	18.87692700942244	HLA-DMB;HLA-DRA;ICAM1
Thyroid cancer	2/37	0.02511409677524347	0.21409820126325396	0	0	8.65081788440567	31.872432958520882	CDH1;MYC
Staphylococcus aureus infection	3/95	0.025540564445727585	0.21409820126325396	0	0	4.960284280936455	18.191779744419428	HLA-DMB;HLA-DRA;ICAM1
Allograft rejection	2/38	0.026395668648894324	0.21409820126325396	0	0	8.410093299406277	30.566949583750137	HLA-DMB;HLA-DRA
Bladder cancer	2/41	0.030394798689099053	0.22961367890657514	0	0	7.761988647484831	27.116381447998105	CDH1;MYC
Graft-versus-host disease	2/42	0.03177800408907005	0.22961367890657514	0	0	7.567557251908397	26.100360601897908	HLA-DMB;HLA-DRA
Type I diabetes mellitus	2/43	0.033185645827692525	0.22961367890657514	0	0	7.382610314652765	25.14249712779407	HLA-DMB;HLA-DRA
Th17 cell differentiation	3/107	0.034599321479072964	0.22961367890657514	0	0	4.3852810650887575	14.751739975885153	HLA-DMB;HLA-DRA;RUNX1
Intestinal immune network for IgA production	2/48	0.04057720615687149	0.2575770477784016	0	0	6.578493196150016	21.081102442927243	HLA-DMB;HLA-DRA
Epstein-Barr virus infection	4/202	0.046071572836480695	0.280172788324003	0	0	3.080259963980894	9.47968226878474	HLA-DMB;MYC;HLA-DRA;ICAM1
Autoimmune thyroid disease	2/53	0.04852418578503084	0.280172788324003	0	0	5.932046100883102	17.94854994405718	HLA-DMB;HLA-DRA
Cell cycle	3/124	0.04989378422208273	0.280172788324003	0	0	3.7659249841068023	11.289711537036563	CCNB1;MYC;ORC3
Riboflavin metabolism	1/8	0.05198674804787824	0.28104368052718365	0	0	21.493506493506494	63.55127863735061	FLAD1
Lysosome	3/128	0.053898788046309196	0.28104368052718365	0	0	3.644676923076923	10.64481576572201	MANBA;HYAL1;LGMN
Endometrial cancer	2/58	0.05698276334815424	0.28493574114226017	0	0	5.40103598691385	15.474002962305127	CDH1;MYC
Human T-cell leukemia virus 1 infection	4/219	0.058645275100515065	0.28493574114226017	0	0	2.83425274923382	8.038644451298095	HLA-DMB;MYC;HLA-DRA;ICAM1
Mineral absorption	2/60	0.06050005462609634	0.28493574114226017	0	0	5.214266912345354	14.626597530295765	ATP7B;SLC26A9
Sulfur metabolism	1/10	0.06455869825192352	0.2945490607744011	0	0	16.715488215488215	45.803453495550436	SUOX
Inflammatory bowel disease	2/65	0.06960549619163363	0.3039483055367481	0	0	4.799224524415364	12.789509809152563	HLA-DMB;HLA-DRA
Ubiquinone and other terpenoid-quinone biosynthesis	1/11	0.0707824821112975	0.3039483055367481	0	0	15.043181818181818	39.836507711922266	NQO1
Acute myeloid leukemia	2/67	0.07336607305716086	0.3060413333241568	0	0	4.651086318261891	12.150003348507113	MYC;RUNX1
Phagosome	3/152	0.0809767818180162	0.32840583737306567	0	0	3.0538977800722766	7.676255501310348	HLA-DMB;ITGB5;HLA-DRA
Chronic myeloid leukemia	2/76	0.0910482174223788	0.35763852207673763	0	0	4.08355683928203	9.785696977017368	MYC;RUNX1
Leishmaniasis	2/77	0.09308399889668514	0.35763852207673763	0	0	4.028905852417303	9.565641724381063	HLA-DMB;HLA-DRA
Influenza A	3/172	0.10718319473877978	0.38646392250298967	0	0	2.689758761948111	6.006811787241086	HLA-DMB;HLA-DRA;ICAM1
Phenylalanine metabolism	1/17	0.10727147167528207	0.38646392250298967	0	0	9.399147727272727	20.98258726036805	ALDH3A1
Complement and coagulation cascades	2/85	0.10982463461697008	0.38646392250298967	0	0	3.639106042490573	8.038313678244936	F13A1;F3
Other glycan degradation	1/18	0.11321315720990713	0.38646392250298967	0	0	8.845811051693405	19.270448026035922	MANBA
ECM-receptor interaction	2/88	0.11629404041244032	0.38646392250298967	0	0	3.511627906976744	7.555736117766491	FRAS1;ITGB5
Tuberculosis	3/180	0.11848553208089632	0.38646392250298967	0	0	2.5671447196870925	5.475628342962343	HLA-DMB;NFYA;HLA-DRA
Glycosaminoglycan degradation	1/19	0.11911559255229133	0.38646392250298967	0	0	8.353956228956228	17.77438595644681	HYAL1
Th1 and Th2 cell differentiation	2/92	0.12506570536655415	0.39694767355471533	0	0	3.354877014418999	6.97450762693261	HLA-DMB;HLA-DRA
Histidine metabolism	1/22	0.13658996202983947	0.4095292952989619	0	0	7.159451659451659	14.252834602798108	ALDH3A1
Hematopoietic cell lineage	2/99	0.14077640497698626	0.4095292952989619	0	0	3.111670732667034	6.100686958911392	HLA-DMB;HLA-DRA
Mannose type O-glycan biosynthesis	1/23	0.1423379529533211	0.4095292952989619	0	0	6.833677685950414	13.322603840135233	FKTN
AGE-RAGE signaling pathway in diabetic complications	2/100	0.14305475383730862	0.4095292952989619	0	0	3.07976320299112	5.988685251990531	F3;ICAM1
Viral protein interaction with cytokine and cytokine receptor	2/100	0.14305475383730862	0.4095292952989619	0	0	3.07976320299112	5.988685251990531	TNFRSF14;CX3CL1
Protein digestion and absorption	2/103	0.14993617451393298	0.42097464382758104	0	0	2.9878316075882396	5.6695466568149975	COL16A1;COL7A1
TNF signaling pathway	2/112	0.17095189171336597	0.4622032627805821	0	0	2.742123525329632	4.843613223988164	CX3CL1;ICAM1
Toxoplasmosis	2/112	0.17095189171336597	0.4622032627805821	0	0	2.742123525329632	4.843613223988164	HLA-DMB;HLA-DRA
