Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ROCK1 knockdown 156 GSE34769	8/300	9.060646397673962E-4	0.10782169213232015	0	0	4.2904109589041095	30.060334948368737	ITGB5;PODXL;NPR3;ALDH1A1;LCN2;TXNIP;SUOX;ICAM1
ERBB3 drugactivation 70 GSE21463	8/300	9.060646397673962E-4	0.10782169213232015	0	0	4.2904109589041095	30.060334948368737	SOCS2;FRAS1;AHNAK2;SSPN;ZBTB20;TXNIP;OPTN;EZH1
ERBB2 overexpression 230 GSE14990	7/300	0.003973985947999104	0.31526955187459554	0	0	3.7114144861585134	20.51664609804297	ABLIM3;CFL2;AHNAK2;TXNIP;SPIRE1;TGFBI;LPIN1
MAP3K7 knockdown 37 GDS5023	6/300	0.015232305060544068	0.453161075551186	0	0	3.145267555841234	13.160858696479778	ALDH3A1;CDH1;GDF15;AIM1L;MKNK2;LGMN
AKT1 activemutant 9 GDS2304	6/300	0.015232305060544068	0.453161075551186	0	0	3.145267555841234	13.160858696479778	RNF114;CFL2;MKNK2;CREBRF;EZH1;ABCG2
MET knockdown 254 GSE38343	6/300	0.015232305060544068	0.453161075551186	0	0	3.145267555841234	13.160858696479778	ALDH3A1;TMEM63A;UGT1A1;WFS1;GDF15;CEACAM5
ERBB3 drugactivation 31 GDS4361	6/300	0.015232305060544068	0.453161075551186	0	0	3.145267555841234	13.160858696479778	ITGB5;SLC4A11;CSTF2T;CYP4F11;TMC4;F3
HIPK2 defectivemutant 29 GDS4233	6/300	0.015232305060544068	0.453161075551186	0	0	3.145267555841234	13.160858696479778	SOCS2;MYOM1;WARS;ZFAS1;NPR3;F3
SYK knockdown 279 GDS3609	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	STS;PODXL;KLK10;EZH1;PCDHA6
PIK3CA knockdown 182 GSE46869	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	TARS;ST3GAL5;CLCN3;OPTN;ICAM1
FGFR1 activemutant 58 GSE17916	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	COL16A1;BTG1;ZBTB20;C21ORF91;UGT1A6
PIK3CG knockdown 96 GSE27869	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	TGM1;SPIRE1;ZNF514;TRIB3;FKTN
ATM knockdown 18 GDS1852	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	NFYA;WFS1;TCTA;CLCN3;HDHD1
ATM knockout 74 GSE23116	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	SGCE;CDH3;OARD1;ME1;LYZ
ATM knockout 75 GSE23116	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	SGCE;CDH3;CDH1;OARD1;LYZ
SRC overexpression 276 GSE37428	5/300	0.05024713788101834	0.7474261759801478	0	0	2.5916313559322033	7.751055442436115	CFL2;NPR3;ME1;F3;MISP
GSK3B knockdown 204 GDS4305	4/300	0.13998525859918434	0.7932497987287113	0	0	2.050178085061806	4.031097377237829	STS;SSPN;UGT1A4;CX3CL1
SYK druginhibition 153 GSE34176	4/300	0.13998525859918434	0.7932497987287113	0	0	2.050178085061806	4.031097377237829	ABLIM3;CDH1;HLA-DRA;RUNX1
KSR1 knockout 126 GSE28228	4/300	0.13998525859918434	0.7932497987287113	0	0	2.050178085061806	4.031097377237829	BTG1;MYC;ZBTB37;CLCN3
