Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FGFR3 druginhibition 36 GDS5023	8/300	9.060646397673962E-4	0.07550538664728301	0	0	4.2904109589041095	30.060334948368737	ALDH3A1;BTG1;IGFBP5;CDH1;SSPN;TXNIP;TMC4;MISP
PDK1 knockout 80 GSE26290	8/300	9.060646397673962E-4	0.07550538664728301	0	0	4.2904109589041095	30.060334948368737	BTG1;AHNAK2;CREBRF;ZBTB20;TXNIP;MARCH8;OPTN;EZH1
ROCK2 knockdown 157 GSE34769	8/300	9.060646397673962E-4	0.07550538664728301	0	0	4.2904109589041095	30.060334948368737	SGCE;MANBA;GDF15;TXNIP;TRIB3;F3;OPTN;LGMN
SYK druginhibition 283 GSE43510	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	SGCE;STS;BTG1;HLA-DMB;OARD1;MARCH8;CLCN3
SYK druginhibition 285 GSE43510	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	SGCE;RNF114;BTG1;KCNMB2;ST3GAL5;MARCH8;HDHD1
SYK druginhibition 286 GSE43510	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	SGCE;HLA-DMB;OARD1;ZFAS1;MKNK2;ST3GAL5;HLA-DRA
CDK19 knockdown 162 GSE38061	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	NQO1;CDH3;CDH1;PODXL;ZBTB20;TMC4;MISP
ERBB3 drugactivation 31 GDS4361	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	TGM1;SLC22A15;ABLIM3;FAM110B;AHNAK2;LCN2;LPIN1
LRRK2 activemutant 159 GSE36321	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	NQO1;STS;ITGB5;ME1;LPIN1;OPTN;CX3CL1
LRRK2 mutant 33 GDS4401	7/300	0.003973985947999104	0.0993496486999776	0	0	3.7114144861585134	20.51664609804297	NQO1;STS;ITGB5;ME1;LPIN1;OPTN;CX3CL1
RAF1 activemutant 219 GSE42964	6/300	0.015232305060544068	0.29292894347200127	0	0	3.145267555841234	13.160858696479778	HLA-DMB;AIM1L;TXNIP;SLC4A11;SLC26A9;KLK10
WEE1 druginhibition 307 GSE38972	6/300	0.015232305060544068	0.29292894347200127	0	0	3.145267555841234	13.160858696479778	SOCS2;BTG1;SLC22A15;WARS;TRIB3;OPTN
CDK19 knockdown 164 GSE38061	6/300	0.015232305060544068	0.29292894347200127	0	0	3.145267555841234	13.160858696479778	ORC3;LCN2;TXNIP;SLC4A11;F3;KLK10
ERBB3 knockdown 65 GSE19921	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	CDH3;RNF114;ZFAS1;HLA-DRA;CLCN3
BRAF knockdown 193 GSE5481	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	TGM1;COL16A1;AIM1L;TMEM67;KCNMB2
AURKA druginhibition 196 GSE57810	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	AHNAK2;QSOX1;ZSWIM6;TCTA;F3
ILK activemutant 78 GSE25729	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	TMEM63A;ZBTB20;MARCH8;SUOX;FKTN
SYK druginhibition 282 GSE43510	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	BTG1;ZFAS1;CREBRF;ST3GAL5;HLA-DRA
SYK druginhibition 284 GSE43510	5/300	0.05024713788101834	0.4187261490084862	0	0	2.5916313559322033	7.751055442436115	SGCE;HLA-DMB;CREBRF;HMHA1;LPIN1
