Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EPHB2 knockdown 96h HEPG2	7/300	0.003973985947999104	0.8669217043701227	0	0	3.7114144861585134	20.51664609804297	MANBA;COL16A1;GDF15;HMHA1;CLCN3;RUNX1;FKTN
GPR34 knockdown 96h HEPG2	7/300	0.003973985947999104	0.8669217043701227	0	0	3.7114144861585134	20.51664609804297	MANBA;COL16A1;TMEM63A;HMHA1;TARS;LPIN1;FKTN
LPHN1 knockdown 96h A549	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	MANBA;ITGB5;ABLIM3;MYC;COL7A1;EZH1
PRKX knockdown 96h A549	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	MANBA;ITGB5;ABLIM3;WFS1;COL7A1;EZH1
RIPK4 knockdown 96h A549	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	MANBA;ITGB5;ABLIM3;WFS1;COL7A1;EZH1
MASTL knockdown 96h HEPG2	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	MANBA;GDF15;SSPN;HMHA1;CLCN3;FKTN
OPN5 knockdown 96h HEPG2	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	MANBA;TMEM63A;GDF15;HMHA1;TARS;OPTN
CHEK1 knockdown 96h MCF7	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	CDH1;GDF15;AIM1L;CSTF2T;XIST;ICAM1
TNIK knockdown 96h MCF7	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	ITGB5;WFS1;GDF15;MYH14;ABCG2;LGMN
KCNN4 knockdown 96h A375	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	CCNB1;ATP7B;ITGB5;ME1;CYP4F11
FZD7 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	BRF2;GDF15;MYC;TGFBI;FKTN
LGR6 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	BRF2;GDF15;MYC;TGFBI;FKTN
OPN4 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	WFS1;GDF15;COL7A1;TRIB3;EZH1
RAF1 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	BRF2;GDF15;MYC;TGFBI;FKTN
RXFP1 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	ITGB5;ABLIM3;COL7A1;TRIB3;EZH1
GPR64 knockdown 96h HA1E	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MANBA;FLAD1;ZNF549;CSTF2T;TNFRSF14
TAAR8 knockdown 96h HA1E	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	CCNB1;BRF2;FRAS1;CYP4F11;ICAM1
BRAF knockdown 96h HCC515	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	GDF15;ZNF549;SSPN;EZH1;ICAM1
KCNK2 knockdown 96h HCC515	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	NFYA;C21ORF91;SUOX;CX3CL1;RUNX1
SGK1 knockdown 96h HCC515	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	BTG1;ITGB5;TRIB3;SUOX;RUNX1
VIPR1 knockdown 96h HCC515	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	CCNB1;ZNF549;C21ORF91;KLK10;RUNX1
GABRB3 knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	NFYA;GDF15;ST3GAL5;TGFBI;GTPBP2
GPR142 knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MANBA;GDF15;NPR3;ST3GAL5;SUOX
LPAR5 knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MANBA;ZNF549;HMHA1;CX3CL1;FKTN
MCHR2 knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MYOM1;GDF15;TRIB3;EZH1;ICAM1
RARG knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MANBA;RNF114;GDF15;HMHA1;FKTN
VRK1 knockdown 96h HEPG2	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	FRAS1;ITGB5;NFYA;GDF15;MYC
BDKRB2 knockdown 96h MCF7	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	ITGB5;WFS1;GDF15;AIM1L;MYH14
