Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
OPN3 knockdown 96h PC3	7/300	0.003973985947999104	0.8669217043701227	0	0	3.7114144861585134	20.51664609804297	HYAL1;ZNF549;TARS;MYH14;ZNF223;ICAM1;LGMN
NR1H4 knockdown 96h A375	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	FRAS1;ORC3;ZNF549;KCNMB2;GTPBP2;PCDHA6
CDK9 knockdown 96h HEPG2	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	COL16A1;NPR3;MYH14;SUOX;LPIN1;EZH1
FLT4 knockdown 96h HEPG2	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	NPR3;KCNMB2;ST3GAL5;MYH14;SUOX;LPIN1
MASTL knockdown 96h HT29	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	BRF2;FLAD1;PNMA3;ZNF23;KLK10;RUNX1
STK38L knockdown 96h HT29	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	CDH3;ITGB5;FLAD1;ST3GAL5;HLA-DRA;EZH1
AKT1 knockdown 96h MCF7	6/300	0.015232305060544068	0.8669217043701227	0	0	3.145267555841234	13.160858696479778	STS;TMEM63A;MYC;AIM1L;GTPBP2;EZH1
AGTR1 knockdown 96h A375	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	IGFBP5;NFYA;ORC3;F13A1;GTPBP2
CDK16 knockdown 96h A375	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	FRAS1;MYC;ORC3;KCNMB2;GTPBP2
GPR110 knockdown 96h A375	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MYOM1;IGFBP5;FLAD1;ZNF549;PCDHA6
QRFPR knockdown 96h A375	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	SOCS2;MYC;NPR3;MKNK2;RUNX1
EPHB4 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	MYC;AIM1L;ZNF549;ZNF23;RUNX1
GPR174 knockdown 96h A549	5/300	0.05024713788101834	0.8669217043701227	0	0	2.5916313559322033	7.751055442436115	TMEM63A;GDF15;ZNF549;TXNIP;RUNX1
