Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Apical Junction	7/200	3.87175514194545E-4	0.016648547110365435	0	0	5.66321243523316	44.49377854852881	SGCE;COL16A1;CDH3;CDH1;TGFBI;CX3CL1;ICAM1
Myogenesis	5/200	0.010910360530728545	0.09382910056426548	0	0	3.940705128205128	17.80427298827229	MYOM1;NQO1;ITGB5;SSPN;LPIN1
Interferon Gamma Response	5/200	0.010910360530728545	0.09382910056426548	0	0	3.940705128205128	17.80427298827229	BTG1;SSPN;TXNIP;ST3GAL5;ICAM1
Epithelial Mesenchymal Transition	5/200	0.010910360530728545	0.09382910056426548	0	0	3.940705128205128	17.80427298827229	COL16A1;ITGB5;COL7A1;QSOX1;TGFBI
Inflammatory Response	5/200	0.010910360530728545	0.09382910056426548	0	0	3.940705128205128	17.80427298827229	MYC;KCNMB2;F3;CX3CL1;ICAM1
UV Response Dn	4/144	0.0157090741270984	0.11258169791087189	0	0	4.36921373200443	18.147602480109086	IGFBP5;MYC;F3;RUNX1
Fatty Acid Metabolism	4/158	0.021301133577726037	0.13084982054888852	0	0	3.9691935971005736	15.277406261924881	ALDH3A1;ALDH1A1;ME1;XIST
TNF-alpha Signaling via NF-kB	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	BTG1;MYC;F3;ICAM1
Hypoxia	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	BTG1;TGFBI;F3;TMEM45A
Estrogen Response Early	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	PODXL;WFS1;MYC;KLK10
Estrogen Response Late	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	CDH1;WFS1;CYP4F11;KLK10
mTORC1 Signaling	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	IGFBP5;ME1;TRIB3;LGMN
p53 Pathway	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	BTG1;MKNK2;TXNIP;TRIB3
heme Metabolism	4/200	0.04470242553954898	0.13730030701432902	0	0	3.1120075937351683	9.671271629689837	CLCN3;OPTN;EZH1;ABCG2
Cholesterol Homeostasis	2/74	0.08701739323137853	0.24944986059661844	0	0	4.197413061916879	10.248602093782685	TRIB3;LGMN
Protein Secretion	2/96	0.13399060779053126	0.3164808842808809	0	0	3.2114666233555305	6.455001579841206	SSPN;CLCN3
Complement	3/200	0.14852526377909447	0.3164808842808809	0	0	2.304178055447091	4.394068032736382	ME1;F3;LGMN
Glycolysis	3/200	0.14852526377909447	0.3164808842808809	0	0	2.304178055447091	4.394068032736382	ME1;QSOX1;TGFBI
Allograft Rejection	3/200	0.14852526377909447	0.3164808842808809	0	0	2.304178055447091	4.394068032736382	HLA-DMB;HLA-DRA;ICAM1
Pperoxisome	2/104	0.15224477036161102	0.3164808842808809	0	0	2.958389462655291	5.5684750778900085	STS;ALDH1A1
PI3K/AKT/mTOR  Signaling	2/105	0.15456043185810464	0.3164808842808809	0	0	2.929519009856963	5.469910344797488	MKNK2;TRIB3
Bile Acid Metabolism	2/112	0.17095189171336597	0.3240279635571435	0	0	2.742123525329632	4.843613223988164	ALDH1A1;OPTN
Unfolded Protein Response	2/113	0.1733172828328907	0.3240279635571435	0	0	2.7172821676638472	4.762393939395157	NFYA;WFS1
Coagulation	2/138	0.23378233787897978	0.41886002203317213	0	0	2.214975303098339	3.219167086373048	F3;LGMN
