Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL4037 (CORO1A)	4/124	0.009489238465654996	0.9612292079503085	0	0	5.102583979328165	23.76577940350287	TGM1;NFYA;LYZ;LPIN1
BL7759 (ABCC4)	3/94	0.02485181884396613	0.9612292079503085	0	0	5.015046491969569	18.529715825712767	TGM1;MYH14;LYZ
BL4014 (BCAS3)	2/41	0.030394798689099053	0.9612292079503085	0	0	7.761988647484831	27.116381447998105	CSTF2T;LYZ
BL6840 (AGFG1)	2/47	0.03905301769692138	0.9612292079503085	0	0	6.725021204410518	21.808134997616442	LYZ;F3
BL1490 (NIPBL)	2/49	0.04212360389231727	0.9612292079503085	0	0	6.43820042228358	20.3907273645284	MYH14;LYZ
SC-32856 (RNF14)	2/55	0.05184860270843882	0.9612292079503085	0	0	5.7076191847904365	16.89128399579087	LYZ;F3
BL1868 (TRIP4)	5/311	0.056933568730998224	0.9612292079503085	0	0	2.497063929738562	7.15626098308679	NFYA;AHNAK2;LCN2;CSTF2T;ZNF223
BL4268 (PPP2R3B)	2/59	0.058732173161942444	0.9612292079503085	0	0	5.306013124414089	15.041314130298508	NFYA;LYZ
BL866 (PXN)	2/60	0.06050005462609634	0.9612292079503085	0	0	5.214266912345354	14.626597530295765	WARS;CSTF2T
BL8525 (CLASP2)	3/136	0.06235579181144442	0.9612292079503085	0	0	3.42406015037594	9.501420125901351	MKNK2;LYZ;LONRF2
BL5899 (NIN)	3/137	0.06345398543419857	0.9612292079503085	0	0	3.3983352468427097	9.370706476211785	MYH14;LYZ;LPIN1
SC-584 (EP300)	3/140	0.06680223198398978	0.9612292079503085	0	0	3.3234138124649073	8.993220210393813	TGM1;ALDH3A1;LYZ
BL7142 (CCDC43)	2/65	0.06960549619163363	0.9612292079503085	0	0	4.799224524415364	12.789509809152563	CSTF2T;LYZ
BL5346 (PTPN12)	2/65	0.06960549619163363	0.9612292079503085	0	0	4.799224524415364	12.789509809152563	NFYA;LYZ
BL9701 (CAMK1D)	2/66	0.0714776297360171	0.9612292079503085	0	0	4.723998091603053	12.463658383507363	LYZ;PCDHA6
BL1821 (IRF3)	2/67	0.07336607305716086	0.9612292079503085	0	0	4.651086318261891	12.150003348507113	AHNAK2;LYZ
BL940 (POLR2B)	1/12	0.07696516706764417	0.9612292079503085	0	0	13.674931129476583	35.06802532248599	LYZ
CS-2947B (CDKN1A)	2/71	0.0810770743248191	0.9612292079503085	0	0	4.3805730722425045	11.005554844274629	CCNB1;LYZ
