Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BRCA1	5/216	0.014805221871790966	0.9834562226608058	0	0	3.6389218009478674	15.329959995441326	CCNB1;NFYA;MYC;ORC3;XIST
SP1	4/195	0.041381462494750776	0.9834562226608058	0	0	3.194285482365356	10.173550951172574	PER3;NFYA;MYC;RUNX1
KAT5	3/126	0.051877387302948004	0.9834562226608058	0	0	3.704315196998124	10.96059555719745	CCNB1;MYC;TRIB3
IL7R	3/127	0.05288338271712376	0.9834562226608058	0	0	3.6742555831265507	10.80108463849234	SOCS2;CFL2;F13A1
RFC1	3/128	0.053898788046309196	0.9834562226608058	0	0	3.644676923076923	10.64481576572201	IGFBP5;MYC;ICAM1
FLNA	3/135	0.06126662004909961	0.9834562226608058	0	0	3.450174825174825	9.634682612074325	CCNB1;ITGB5;F3
UBC	7/540	0.06916851316504052	0.9834562226608058	0	0	2.0152178444861373	5.383069115195072	CCNB1;RNF114;CDH1;MYC;TRIB3;OPTN;RUNX1
HDAC3	3/164	0.09633448610269596	0.9834562226608058	0	0	2.824558050645007	6.609265049561975	MYC;TNFRSF14;RUNX1
FOS	3/173	0.10857179786625683	0.9834562226608058	0	0	2.6738009049773757	5.93675670929504	MYC;OPTN;RUNX1
CSNK1E	3/195	0.14079378537945508	0.9834562226608058	0	0	2.3647836538461537	4.636061336135026	PER3;CDH1;FAM110B
HDAC2	3/214	0.17086783279897763	0.9834562226608058	0	0	2.1497630331753554	3.7983409088382025	CDH1;MYC;RUNX1
CRK	3/215	0.1724998766627379	0.9834562226608058	0	0	2.139513788098694	3.7598932923277766	PCDHA12;PCDHA11;PCDHA6
HDAC1	4/346	0.19909338148887068	0.9834562226608058	0	0	1.7702525046466295	2.8571544575598824	CDH1;MYC;TXNIP;RUNX1
EEF1G	2/124	0.19965552357077665	0.9834562226608058	0	0	2.4709047678638467	3.981027322978443	MYC;TRIB3
CAV1	2/125	0.2020746247775896	0.9834562226608058	0	0	2.450691987835909	3.9189462098740426	ITGB5;CDH1
CDH1	2/127	0.2069229826115136	0.9834562226608058	0	0	2.411236641221374	3.798682988544665	CDH3;CDH1
CASP8	2/130	0.2142186674011968	0.9834562226608058	0	0	2.354365458015267	3.6275073563658355	CDH3;CDH1
ACTG1	3/246	0.22503507393115868	0.9834562226608058	0	0	1.8636277302943969	2.779598905029233	CDH1;CFL2;MYH14
HSPA1A	2/145	0.25098763257603807	0.9834562226608058	0	0	2.1058025943522125	2.9109596143726506	NQO1;CDH1
TBP	2/154	0.2731569382732013	0.9834562226608058	0	0	1.9802129369224588	2.5697397214434803	BRF2;MYC
