Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nicotine degradation Homo sapiens P05914	3/6	5.666376128991683E-6	1.4732577935378376E-4	0	0	152.8	1845.9708064574359	UGT1A5;UGT1A4;UGT1A3
Cadherin signaling pathway Homo sapiens P00012	5/150	0.0033067354733557755	0.04298756115362508	0	0	5.313038793103448	30.346982240010256	CDH3;CDH1;PCDHA12;PCDHA11;PCDHA6
Wnt signaling pathway Homo sapiens P00057	6/278	0.010798573842806285	0.07155084125480118	0	0	3.403485409911996	15.412143222877457	CDH3;CDH1;MYC;PCDHA12;PCDHA11;PCDHA6
Oxidative stress response Homo sapiens P00046	2/24	0.011007821731507874	0.07155084125480118	0	0	13.771686328938237	62.09858828771937	MYC;MKNK2
5-Hydroxytryptamine degredation Homo sapiens P04372	1/5	0.032813749721153695	0.17063149854999923	0	0	37.61931818181818	128.54173618163773	ALDH3A1
Circadian clock system Homo sapiens P00015	1/8	0.05198674804787824	0.1930936356064049	0	0	21.493506493506494	63.55127863735061	PER3
Pyruvate metabolism Homo sapiens P02772	1/8	0.05198674804787824	0.1930936356064049	0	0	21.493506493506494	63.55127863735061	ME1
Salvage pyrimidine ribonucleotides Homo sapiens P02775	1/10	0.06455869825192352	0.20981576931875145	0	0	16.715488215488215	45.803453495550436	UPRT
Cytoskeletal regulation by Rho GTPase Homo sapiens P00016	2/70	0.07912631894369963	0.22105951478886351	0	0	4.4452177817691965	11.276227196947195	CFL2;MYH14
T cell activation Homo sapiens P00053	2/73	0.08502289030340904	0.22105951478886351	0	0	4.2567465863885605	10.492176955148778	HLA-DMB;HLA-DRA
Interleukin signaling pathway Homo sapiens P00036	2/86	0.11197022056627494	0.2646568849748317	0	0	3.5956015994183934	7.872649994739898	MYC;MKNK2
Alzheimer disease-presenilin pathway Homo sapiens P00004	2/99	0.14077640497698626	0.2963166123031677	0	0	3.111670732667034	6.100686958911392	CDH3;CDH1
Interferon-gamma signaling pathway Homo sapiens P00035	1/28	0.17051316022960905	0.2963166123031677	0	0	5.566778900112234	9.847313449757165	SOCS2
General transcription regulation Homo sapiens P00023	1/28	0.17051316022960905	0.2963166123031677	0	0	5.566778900112234	9.847313449757165	BRF2
PDGF signaling pathway Homo sapiens P00047	2/112	0.17095189171336597	0.2963166123031677	0	0	2.742123525329632	4.843613223988164	MYC;MKNK2
p38 MAPK pathway Homo sapiens P05918	1/32	0.19239030783275093	0.3126342502282203	0	0	4.847507331378299	7.9898027289773035	MKNK2
Blood coagulation Homo sapiens P00011	1/38	0.22413675173359407	0.34279738500432033	0	0	4.060196560196561	6.0720195488162965	F3
p53 pathway feedback loops 2 Homo sapiens P04398	1/45	0.2596118217355405	0.3749948536180029	0	0	3.413050964187328	4.602730483015938	MYC
Integrin signalling pathway Homo sapiens P00034	2/156	0.27808331332727604	0.38053506034258827	0	0	1.9542976107861605	2.501177548470881	COL16A1;ITGB5
CCKR signaling map ST Homo sapiens P06959	2/165	0.30021705364507956	0.3902821697386034	0	0	1.8455486348522456	2.2206555713733906	CDH1;MYC
Inflammation mediated by chemokine and cytokine signaling pathway Homo sapiens P00031	2/188	0.3561455532119026	0.42712470157624804	0	0	1.6154477550685382	1.6678137449753954	MYH14;CX3CL1
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	1/68	0.36521797151438384	0.42712470157624804	0	0	2.2388059701492535	2.255061764352553	MYH14
p53 pathway Homo sapiens P00059	1/71	0.37784108216360407	0.42712470157624804	0	0	2.1425324675324675	2.085287405168396	CCNB1
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.4448064037918686	0.4818736041078576	0	0	1.7223963775687914	1.3953411034566685	GDF15
Huntington disease Homo sapiens P00029	1/124	0.5639138616726069	0.5864704161395112	0	0	1.2160630697216064	0.6966263100091936	OPTN
Angiogenesis Homo sapiens P00005	1/142	0.6135754201434601	0.6135754201434601	0	0	1.0598538577261982	0.5176878299590535	F3
