Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glucuronidation Homo sapiens R-HSA-156588	8/20	3.639465448958753E-13	1.1245948237282548E-10	0	0	105.89333333333333	3032.9724335618607	UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Biological oxidations Homo sapiens R-HSA-211859	11/199	9.406184834994588E-8	1.4532555570066639E-5	0	0	9.437957795605163	152.69967618041008	ALDH3A1;UGT1A1;ALDH1A1;UGT1A5;UGT1A4;UGT1A3;CYP4F11;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Phase II conjugation Homo sapiens R-HSA-156580	8/100	3.445467787796308E-7	3.548831821430197E-5	0	0	13.756521739130434	204.71129479804006	UGT1A1;UGT1A5;UGT1A4;UGT1A3;UGT1A9;UGT1A8;UGT1A7;UGT1A6
Heme degradation Homo sapiens R-HSA-189483	2/6	6.46948912530899E-4	0.049976803493011944	0	0	75.81297709923665	556.7131306118104	UGT1A1;UGT1A4
Integrin cell surface interactions Homo sapiens R-HSA-216083	4/67	0.0010360002295377265	0.0640248141854315	0	0	9.74726221237849	66.98696701887772	COL16A1;ITGB5;CDH1;ICAM1
Organic cation transport Homo sapiens R-HSA-549127	2/9	0.001532484054900992	0.0736277166009437	0	0	43.31515812431843	280.71970502841697	SLC22A15;RUNX1
Metabolism Homo sapiens R-HSA-1430728	24/1908	0.001667941800021378	0.0736277166009437	0	0	2.1016770875942266	13.442673150978756	NQO1;MANBA;UGT1A1;NFYA;CYP4F11;SUOX;AK9;ALDH3A1;STS;FLAD1;HYAL1;ALDH1A1;ME1;UGT1A5;UGT1A4;TRIB3;UGT1A3;UGT1A9;LPIN1;UGT1A8;UGT1A7;ABCG2;LGMN;UGT1A6
E2F-enabled inhibition of pre-replication complex formation Homo sapiens R-HSA-113507	2/10	0.0019072718827723631	0.07366837647208252	0	0	37.89885496183206	237.32571441911304	CCNB1;ORC3
Organic cation/anion/zwitterion transport Homo sapiens R-HSA-549132	2/14	0.003790331615886722	0.1301347188121108	0	0	25.260814249363868	140.83666229810896	SLC22A15;RUNX1
Depolymerisation of the Nuclear Lamina Homo sapiens R-HSA-4419969	2/15	0.004354481038984708	0.13455346410462748	0	0	23.316500293599532	126.76131594497146	CCNB1;LPIN1
Metabolism of porphyrins Homo sapiens R-HSA-189445	2/17	0.005591282949328958	0.1570642210311498	0	0	20.20559796437659	104.79727360900532	UGT1A1;UGT1A4
PPARA activates gene expression Homo sapiens R-HSA-1989781	4/113	0.006885737441145267	0.17730773910949063	0	0	5.620652869639428	27.98131329111859	NFYA;ME1;TRIB3;UGT1A9
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	4/116	0.007541844602651634	0.17926384478610424	0	0	5.469269102990033	26.729895906335635	NFYA;ME1;TRIB3;UGT1A9
Cytosolic tRNA aminoacylation Homo sapiens R-HSA-379716	2/24	0.011007821731507874	0.24295835107399524	0	0	13.771686328938237	62.09858828771937	WARS;TARS
