Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Papiine alphaherpesvirus 2 envelope glycoprotein C (gene: UL44)	8/308	0.0010727952612392302	0.23862222674075337	0	0	4.174293333333333	28.541679085741873	HLA-DMB;COL7A1;TARS;HLA-DRA;TRIB3;LYZ;CLCN3;F3
Ectromelia virus ERPV hemagglutinin	7/262	0.001874076113148493	0.23862222674075337	0	0	4.27276688453159	26.83143561971837	ITGB5;COL7A1;TARS;TRIB3;LYZ;F3;ICAM1
Human mastadenovirus F encapsidation protein IVa2 (gene: IVa2)	4/80	0.002000371993327179	0.23862222674075337	0	0	8.074663402692778	50.17936685360852	TARS;TRIB3;ABCG2;AK9
Monkeypox virus Zaire-96-I-16 B2R (gene: B2R)	12/702	0.002545109341037971	0.23862222674075337	0	0	2.756306144448437	16.465019852628178	MYOM1;ITGB5;CDH1;COL7A1;LCN2;TARS;HLA-DRA;TRIB3;LYZ;F3;KLK10;ICAM1
Salivirus FHB full_polyprotein 1..2365	3/54	0.005568355292356677	0.23862222674075337	0	0	8.966515837104073	46.54209517874171	TARS;TRIB3;ICAM1
Human adenovirus 21a maturation protein IVa2 (gene: IVa2)	3/57	0.0064745637514775824	0.23862222674075337	0	0	8.467094017094016	42.673087398351086	TARS;TRIB3;ABCG2
Human adenovirus 41 IVa2	3/58	0.006794968504717591	0.23862222674075337	0	0	8.312727272727273	41.49358390080327	TARS;ABCG2;AK9
Rhinovirus A81 1D	2/19	0.006969441855951406	0.23862222674075337	0	0	17.826672653794343	88.53118068173931	TRIB3;ICAM1
Human mastadenovirus F DNA polymerase (gene: E2B)	2/19	0.006969441855951406	0.23862222674075337	0	0	17.826672653794343	88.53118068173931	TARS;TRIB3
Monkeypox virus Zaire-96-I-16 B3R (gene: B3R)	5/181	0.007275141745953179	0.23862222674075337	0	0	4.3703391335227275	21.5164556152814	CCNB1;MYC;MKNK2;TARS;TRIB3
Human adenovirus B3 protein IVa2 (gene: IVa2)	3/60	0.007463680845191997	0.23862222674075337	0	0	8.020242914979757	39.28079646236463	TARS;TRIB3;ABCG2
Human papillomavirus type 97 E7 protein	2/21	0.008485050041259871	0.23862222674075337	0	0	15.948573724387304	76.06591669956174	CCNB1;TARS
Alkhumra hemorrhagic fever virus non-structural protein NS3	3/63	0.008537420297261475	0.23862222674075337	0	0	7.618076923076923	36.287158304416394	COL7A1;TARS;TRIB3
Human gammaherpesvirus 8 vIRF-4 (gene: vIRF-4)	3/64	0.008914405434386204	0.23862222674075337	0	0	7.49281210592686	35.36672293621763	CCNB1;TARS;TRIB3
