Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Glioma	3/290	3.0173801481531106E-6	2.760953619142981E-4	0	0	59130.0	751608.6204259213	CYP27B1;PLAU;CCL2
RAGE/AGER and S100 Proteins in Cardiovascular Injury	2/30	6.518791747577496E-6	2.760953619142981E-4	0	0	1426.357142857143	17031.876058058097	PLAU;CCL2
ROS in Triggering Vascular Inflammation	2/32	7.432436142121351E-6	2.760953619142981E-4	0	0	1331.1333333333334	15720.22791997129	PLAU;CCL2
Tumor Infiltrating Macrophages in Cancer Progression and Immune Escape	2/36	9.439157672283696E-6	2.760953619142981E-4	0	0	1174.2941176470588	13587.338965138712	PLAU;CCL2
IL1B Expression Targets -> Nociception	2/47	1.6190543832870734E-5	3.7885872568917513E-4	0	0	886.7555555555556	9781.874311549509	PLAU;CCL2
Hepatic Stellate Cells in non-Alcoholic Fatty Liver Disease	2/55	2.223553625089906E-5	4.3359295689253163E-4	0	0	752.6037735849056	8063.260471080951	PLAU;CCL2
Plasmin Effects in Inflammation	2/68	3.4094799344218043E-5	5.698702176105017E-4	0	0	603.969696969697	6212.653173060806	PLAU;CCL2
Proteins Involved in HIV Type 1 Infection	2/88	5.7255629992687093E-5	7.786876421499459E-4	0	0	463.04651162790697	4523.031185349276	PLAU;CCL2
Mast-Cells De Novo Synthesized Mediators via IgE Independent Signaling	2/90	5.9899049396149684E-5	7.786876421499459E-4	0	0	452.47727272727275	4399.3686162123795	PLAU;CCL2
Proteins Involved in Diabetes Mellitus Type 1	2/97	6.961924731643517E-5	8.145451936022914E-4	0	0	418.9894736842105	4010.7639521960828	CYP27B1;CCL2
Proteins Involved in Prostate Cancer	2/138	1.411538742971557E-4	0.0015013639357061108	0	0	292.0735294117647	2589.4245937840133	PLAU;CCL2
Proteins Involved in Pulmonary Hypertension	2/165	2.01850280328247E-4	0.001968040233200408	0	0	243.36196319018404	2070.5197673619323	PLAU;CCL2
Proteins Involved in Amyotrophic Lateral Sclerosis	2/181	2.428959701678469E-4	0.0021860637315106223	0	0	221.43016759776538	1842.9361182230073	PLAU;CCL2
Proteins Involved in Atherosclerosis	2/200	2.9653513283962846E-4	0.0024775558240944153	0	0	199.989898989899	1624.586916946672	PLAU;CCL2
Proteins Involved in Myocarditis	2/207	3.176353620633866E-4	0.0024775558240944153	0	0	193.09268292682927	1555.285577707275	PLAU;CCL2
UrokinaseR -> STAT Signaling	1/7	0.001049661432299498	0.007675649223690079	0	0	1665.9166666666667	11427.001554688255	PLAU
ADK Expression Downregulation after Acute Seizures	1/8	0.0011995541091196305	0.00825575475099981	0	0	1427.857142857143	9603.48923469958	CCL2
Neuroinflammation in Amyotrophic Lateral Sclerosis	1/10	0.0014992947695318503	0.009071071670131148	0	0	1110.4444444444443	7220.954198683598	CCL2
Hexosamine Pathway in Diabetic Microangiopathy	1/11	0.0016491427308511233	0.009071071670131148	0	0	999.35	6403.334808352065	PLAU
Cochlear Inflammation (Noise-Induced)	1/12	0.0017989757687595922	0.009071071670131148	0	0	908.4545454545455	5741.921288120221	CCL2
Proteins with Altered Expression in Systemic Scleroderma	1/12	0.0017989757687595922	0.009071071670131148	0	0	908.4545454545455	5741.921288120221	CCL2
Chemokines Signaling in Atherosclerosis	1/13	0.001948793877001376	0.009071071670131148	0	0	832.7083333333334	5196.553511599695	CCL2
Mast-Cell Activation without Degranulation through TNFSF8 Signaling	1/13	0.001948793877001376	0.009071071670131148	0	0	832.7083333333334	5196.553511599695	CCL2
Proteins Involved in Urolithiasis	1/14	0.0020985970505495682	0.009071071670131148	0	0	768.6153846153846	4739.656184381286	PLAU
Keep out Signal: LTF Inhibits Neutrophil Recruitment and Inflammation	1/14	0.0020985970505495682	0.009071071670131148	0	0	768.6153846153846	4739.656184381286	CCL2
TLR7 and TLR9 in Plasmacytoid Dendritic Cell	1/15	0.0022483852857590027	0.009071071670131148	0	0	713.6785714285714	4351.685756891909	CCL2
Vitamin D Represses Transcription	1/15	0.0022483852857590027	0.009071071670131148	0	0	713.6785714285714	4351.685756891909	CYP27B1
NF-kB Signaling Activation in Huntington Disease	1/15	0.0022483852857590027	0.009071071670131148	0	0	713.6785714285714	4351.685756891909	CCL2
Adipose Tissue Inflammation Provokes Insulin Resistance	1/15	0.0022483852857590027	0.009071071670131148	0	0	713.6785714285714	4351.685756891909	CCL2
Fatty Acids in Hypertension and Atherosclerosis Development	1/16	0.0023981585785517907	0.009352818456351983	0	0	666.0666666666667	4018.4162309154813	CCL2
Genes with Mutations Associated with Systemic Scleroderma	1/17	0.0025479169262706313	0.0096163316249569	0	0	624.40625	3729.2533063250903	CCL2
Ions Reabsorption Dysregulation in Nephrolithiasis	1/19	0.002847388777574066	0.01019109580134941	0	0	554.9722222222222	3252.888056951129	CYP27B1
CCL2 Role in CGRP Expression and Release	1/21	0.0031468008242819096	0.01019109580134941	0	0	499.425	2877.3716896348615	CCL2
