Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Steroid biosynthesis	1/20	0.0029971022769704784	0.036198043830764345	0	0	525.7368421052631	3054.5885497256336	CYP27B1
Malaria	1/50	0.007481552373416279	0.036198043830764345	0	0	203.55102040816325	996.4463577649728	CCL2
Complement and coagulation cascades	1/85	0.012696403776118125	0.036198043830764345	0	0	118.5297619047619	517.552677869987	PLAU
Rheumatoid arthritis	1/93	0.013885800458940983	0.036198043830764345	0	0	108.17934782608695	462.67100981235643	CCL2
IL-17 signaling pathway	1/94	0.014034407867363635	0.036198043830764345	0	0	107.01075268817205	456.53390237907763	CCL2
Prostate cancer	1/97	0.014480140531248308	0.036198043830764345	0	0	103.65104166666667	438.9597968541588	PLAU
AGE-RAGE signaling pathway in diabetic complications	1/100	0.014925738877681147	0.036198043830764345	0	0	100.4949494949495	422.54790984855003	CCL2
Viral protein interaction with cytokine and cytokine receptor	1/100	0.014925738877681147	0.036198043830764345	0	0	100.4949494949495	422.54790984855003	CCL2
Chagas disease	1/102	0.015222729833167328	0.036198043830764345	0	0	98.4950495049505	412.1983924062594	CCL2
NF-kappa B signaling pathway	1/104	0.01551966110087719	0.036198043830764345	0	0	96.57281553398059	402.288317326718	PLAU
Parathyroid hormone synthesis, secretion and action	1/106	0.0158165326939135	0.036198043830764345	0	0	94.72380952380952	392.79117482031205	CYP27B1
TNF signaling pathway	1/112	0.016706789460352776	0.036198043830764345	0	0	89.57657657657657	366.54198460977204	CCL2
Yersinia infection	1/137	0.020410415306419013	0.03845456278061997	0	0	73.01838235294117	284.1663654413698	CCL2
Fluid shear stress and atherosclerosis	1/139	0.020706303035718444	0.03845456278061997	0	0	71.95289855072464	278.98420614565964	CCL2
Influenza A	1/172	0.025579853317342374	0.03888625992609172	0	0	57.97076023391813	212.5179210660911	CCL2
Tuberculosis	1/180	0.026758880297526048	0.03888625992609172	0	0	55.357541899441344	200.44350827487673	CYP27B1
NOD-like receptor signaling pathway	1/181	0.026906191772978462	0.03888625992609172	0	0	55.047222222222224	199.0176634459947	CCL2
Transcriptional misregulation in cancer	1/192	0.028525637136025263	0.03888625992609172	0	0	51.84816753926702	184.42144568410632	PLAU
Chemokine signaling pathway	1/192	0.028525637136025263	0.03888625992609172	0	0	51.84816753926702	184.42144568410632	CCL2
Proteoglycans in cancer	1/205	0.03043720969101589	0.03888625992609172	0	0	48.51225490196079	169.40913189219572	PLAU
Lipid and atherosclerosis	1/215	0.03190594272795973	0.03888625992609172	0	0	46.22196261682243	159.2329507309712	CCL2
Human cytomegalovirus infection	1/225	0.03337319188349377	0.03888625992609172	0	0	44.136160714285715	150.06304968532913	CCL2
Coronavirus disease	1/232	0.034399383780773445	0.03888625992609172	0	0	42.78354978354978	144.16843911532118	CCL2
Cytokine-cytokine receptor interaction	1/295	0.04360244973547407	0.04723598721343024	0	0	33.50850340136054	104.97014322277121	CCL2
MicroRNAs in cancer	1/310	0.0457850030466385	0.047616403168504046	0	0	31.857605177993527	98.24244098318539	PLAU
Herpes simplex virus 1 infection	1/498	0.07285868764340657	0.07285868764340657	0	0	19.617706237424546	51.38335336227892	CCL2
