Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ROCK2 knockdown 157 GSE34769	2/300	6.660828040604682E-4	0.010657324864967491	0	0	132.20805369127515	966.9824713331468	PLAU;CCL2
ERBB2 druginhibition 7 GDS2139	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
SYK druginhibition 153 GSE34176	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
SYK druginhibition 155 GSE34176	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
ROCK1 knockdown 156 GSE34769	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
RAF1 activemutant 219 GSE42964	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
TBK1 druginhibition 188 GSE53658	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
AKT1 knockout 214 GSE39699	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
FGFR1 mutant 26 GDS4046	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
LRRK2 activemutant 159 GSE36321	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
LRRK2 mutant 33 GDS4401	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
SYK knockdown 279 GDS3609	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
CDK8 knockdown 163 GSE38061	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
TIE1 knockdown 107 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
MAPK1 knockdown 131 GSE31534	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
JAK2 knockdown 192 GSE54645	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
